Code	Comment	Sand	Silt	Clay	Bulkdensity	Theta33	Theta1500
Id	pedon_horizon	%	%	%	gr/cm3	cm3/cm3	cm3/cm3
1	B11A1	40	55	5	-9.9	-9.9	-9.9
2	B11A2	40	55	5	-9.9	-9.9	-9.9
3	B11BA	85	10	5	-9.9	-9.9	-9.9
4	B11B	85	10	5	-9.9	-9.9	-9.9
5	B11B2	55	38	7	-9.9	-9.9	-9.9
6	B11B3	60	33	7	-9.9	-9.9	-9.9
7	B11Ab	85	8	7	-9.9	-9.9	-9.9
8	B12A	60	35	5	-9.9	-9.9	-9.9
9	B12B	65	30	5	-9.9	-9.9	-9.9
10	B12B	70	25	5	-9.9	-9.9	-9.9
11	B12R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
12	B13A	60	35	5	-9.9	-9.9	-9.9
13	B13B	65	30	5	-9.9	-9.9	-9.9
14	B13BC	75	15	10	-9.9	-9.9	-9.9
15	B13C	80	17	3	-9.9	-9.9	-9.9
16	B14A	55	38	7	-9.9	-9.9	-9.9
17	B14B	55	38	7	-9.9	-9.9	-9.9
18	B14B2	75	22	3	-9.9	-9.9	-9.9
19	B14B3	65	25	10	-9.9	-9.9	-9.9
20	B14B4	75	20	5	-9.9	-9.9	-9.9
21	B15A	55	40	5	-9.9	-9.9	-9.9
22	B15B	65	30	5	-9.9	-9.9	-9.9
23	B15B2	60	35	5	-9.9	-9.9	-9.9
24	B15B3	70	25	5	-9.9	-9.9	-9.9
25	B15B4	55	40	5	-9.9	-9.9	-9.9
26	B15R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
27	B16A	65	30	5	-9.9	-9.9	-9.9
28	B16B	70	25	5	-9.9	-9.9	-9.9
29	B16B2	75	18	7	-9.9	-9.9	-9.9
30	B16Cr	65	30	5	-9.9	-9.9	-9.9
31	B16R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
32	B17A	60	35	5	-9.9	-9.9	-9.9
33	B17AB	60	35	5	-9.9	-9.9	-9.9
34	B17B	60	35	5	-9.9	-9.9	-9.9
35	B17C	65	30	5	-9.9	-9.9	-9.9
36	B18A	80	13	7	-9.9	-9.9	-9.9
37	B18B	70	25	5	-9.9	-9.9	-9.9
38	B18BC	80	15	5	-9.9	-9.9	-9.9
39	B18C	80	15	5	-9.9	-9.9	-9.9
40	B18Ab	60	30	10	-9.9	-9.9	-9.9
41	B19A	50	45	5	-9.9	-9.9	-9.9
42	B19B	60	35	5	-9.9	-9.9	-9.9
43	B19B2	55	40	5	-9.9	-9.9	-9.9
44	B19B3	55	38	7	-9.9	-9.9	-9.9
45	B19B4	60	33	7	-9.9	-9.9	-9.9
46	B19B5	45	48	7	-9.9	-9.9	-9.9
47	B19B6	55	35	10	-9.9	-9.9	-9.9
48	B19R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
49	B110A	50	45	5	-9.9	-9.9	-9.9
50	B110B	30	63	7	-9.9	-9.9	-9.9
51	B110B2	75	10	15	-9.9	-9.9	-9.9
52	B110Cr	70	25	5	-9.9	-9.9	-9.9
53	B21A	55	40	5	-9.9	-9.9	-9.9
54	B21B	65	30	5	-9.9	-9.9	-9.9
55	B21B2	60	35	5	-9.9	-9.9	-9.9
56	B21C	75	22	3	-9.9	-9.9	-9.9
57	B22A	50	45	5	-9.9	-9.9	-9.9
58	B22B	50	45	5	-9.9	-9.9	-9.9
59	B22B2	50	45	5	-9.9	-9.9	-9.9
60	B22C	80	17	3	-9.9	-9.9	-9.9
61	B22Ab	60	33	7	-9.9	-9.9	-9.9
62	B22Bb	75	20	5	-9.9	-9.9	-9.9
63	B22Cb	55	40	5	-9.9	-9.9	-9.9
64	B24A	65	30	5	-9.9	-9.9	-9.9
65	B24A2	50	45	5	-9.9	-9.9	-9.9
66	B24B	60	33	7	-9.9	-9.9	-9.9
67	B24B2	60	33	7	-9.9	-9.9	-9.9
68	B242Cr	80	17	3	-9.9	-9.9	-9.9
69	B25A	60	35	5	-9.9	-9.9	-9.9
70	B25B	70	25	5	-9.9	-9.9	-9.9
71	B25B2	70	25	5	-9.9	-9.9	-9.9
72	B25B3	70	25	5	-9.9	-9.9	-9.9
73	B25B4	70	25	5	-9.9	-9.9	-9.9
74	B25R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
75	B26A	55	40	5	-9.9	-9.9	-9.9
