Code    Description        Theta_r    Theta_s    Alpha      N          Ks         Ko         L          Theta_r_u  Theta_s_u  Alpha_u    N_u        Ks_u       Ko_u       L_u        
                           cm3/cm3    cm3/cm3    log(1/cm)  Log10      L(cm/day)  L(cm/day)  No units   cm3/cm3    cm3/cm3    log(1/cm)  Log10      L(cm/day)  L(cm/day)  No units   
1       B11A1              0.03581    0.42327   -2.18709    0.20835    1.83931    0.51775    0.54780    0.00758    0.01363    0.07276    0.01424    0.26969    0.25069    1.25099
2       B11A2              0.03581    0.42327   -2.18709    0.20835    1.83931    0.51775    0.54780    0.00758    0.01363    0.07276    0.01424    0.26969    0.25069    1.25099
3       B11BA              0.04463    0.38235   -1.41805    0.30157    2.20986    1.48887   -0.84449    0.00367    0.00521    0.04023    0.01103    0.06876    0.24312    0.57812
4       B11B               0.04463    0.38235   -1.41805    0.30157    2.20986    1.48887   -0.84449    0.00367    0.00521    0.04023    0.01103    0.06876    0.24312    0.57812
5       B11B2              0.03586    0.39484   -1.74165    0.15809    1.60841    1.00132   -0.51438    0.00586    0.00852    0.06072    0.00924    0.14736    0.19119    0.69212
6       B11B3              0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
7       B11Ab              0.04875    0.37868   -1.45818    0.28826    2.17369    1.38878   -0.86053    0.00358    0.00512    0.03398    0.01052    0.06571    0.24328    0.58395
8       B12A               0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
9       B12B               0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
10      B12B               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
11      B12R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
12      B13A               0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
13      B13B               0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
14      B13BC              0.04481    0.38217   -1.43898    0.17306    1.75189    1.33796   -1.08158    0.00533    0.00644    0.04220    0.01109    0.06477    0.23379    0.78153
15      B13C               0.03533    0.39060   -1.34350    0.23767    2.03494    1.62919   -0.88237    0.00604    0.00872    0.07035    0.01631    0.10637    0.24423    0.69549
16      B14A               0.03586    0.39484   -1.74165    0.15809    1.60841    1.00132   -0.51438    0.00586    0.00852    0.06072    0.00924    0.14736    0.19119    0.69212
17      B14B               0.03586    0.39484   -1.74165    0.15809    1.60841    1.00132   -0.51438    0.00586    0.00852    0.06072    0.00924    0.14736    0.19119    0.69212
18      B14B2              0.03171    0.39395   -1.34345    0.18960    1.91978    1.59140   -0.96529    0.00693    0.01088    0.07731    0.01600    0.11748    0.22979    0.80382
19      B14B3              0.04151    0.38631   -1.51581    0.14731    1.60222    1.22501   -1.07964    0.00546    0.00588    0.03967    0.00793    0.09515    0.21726    0.83171
20      B14B4              0.03538    0.38939   -1.37277    0.18511    1.86188    1.51548   -0.99505    0.00653    0.00812    0.06547    0.01366    0.08123    0.22869    0.78103
21      B15A               0.03219    0.40127   -1.73940    0.15957    1.69067    1.04062   -0.44122    0.00665    0.00958    0.06269    0.00962    0.20488    0.18709    0.69003
22      B15B               0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
23      B15B2              0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
24      B15B3              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
25      B15B4              0.03219    0.40127   -1.73940    0.15957    1.69067    1.04062   -0.44122    0.00665    0.00958    0.06269    0.00962    0.20488    0.18709    0.69003
26      B15R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
27      B16A               0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
28      B16B               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
29      B16B2              0.03914    0.38603   -1.40008    0.18050    1.81373    1.44336   -1.02722    0.00606    0.00705    0.05436    0.01221    0.06760    0.22955    0.77168
30      B16Cr              0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
31      B16R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
32      B17A               0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
33      B17AB              0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
34      B17B               0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
35      B17C               0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
36      B18A               0.04299    0.38305   -1.41139    0.22141    1.95699    1.45512   -0.93178    0.00500    0.00626    0.04468    0.01264    0.06015    0.23805    0.66419
37      B18B               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
38      B18BC              0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
39      B18C               0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
40      B18Ab              0.04126    0.38778   -1.61026    0.14824    1.55780    1.11064   -0.90229    0.00496    0.00617    0.04544    0.00841    0.10876    0.20735    0.77484
41      B19A               0.03280    0.40699   -1.90301    0.17346    1.68867    0.84450   -0.05691    0.00610    0.00964    0.05935    0.00851    0.25853    0.19595    0.76192
42      B19B               0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
43      B19B2              0.03219    0.40127   -1.73940    0.15957    1.69067    1.04062   -0.44122    0.00665    0.00958    0.06269    0.00962    0.20488    0.18709    0.69003
44      B19B3              0.03586    0.39484   -1.74165    0.15809    1.60841    1.00132   -0.51438    0.00586    0.00852    0.06072    0.00924    0.14736    0.19119    0.69212
45      B19B4              0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
46      B19B5              0.03772    0.40593   -2.05778    0.18864    1.59342    0.62311    0.18712    0.00522    0.00778    0.05662    0.00811    0.27033    0.21761    0.94511
47      B19B6              0.04160    0.38978   -1.73437    0.15540    1.49878    0.96104   -0.63106    0.00478    0.00762    0.05892    0.00930    0.11033    0.19854    0.71140
48      B19R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
49      B110A              0.03280    0.40699   -1.90301    0.17346    1.68867    0.84450   -0.05691    0.00610    0.00964    0.05935    0.00851    0.25853    0.19595    0.76192
50      B110B              0.04353    0.43444   -2.34076    0.23165    1.75323    0.32699    0.72322    0.00840    0.01319    0.07009    0.01697    0.20161    0.29111    1.59351
51      B110B2             0.05389    0.37640   -1.50431    0.15863    1.58950    1.16055   -1.18780    0.00496    0.00503    0.04398    0.00928    0.06694    0.24626    0.85067
52      B110Cr             0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
53      B21A               0.03219    0.40127   -1.73940    0.15957    1.69067    1.04062   -0.44122    0.00665    0.00958    0.06269    0.00962    0.20488    0.18709    0.69003
54      B21B               0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
55      B21B2              0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
56      B21C               0.03171    0.39395   -1.34345    0.18960    1.91978    1.59140   -0.96529    0.00693    0.01088    0.07731    0.01600    0.11748    0.22979    0.80382
57      B22A               0.03280    0.40699   -1.90301    0.17346    1.68867    0.84450   -0.05691    0.00610    0.00964    0.05935    0.00851    0.25853    0.19595    0.76192
58      B22B               0.03280    0.40699   -1.90301    0.17346    1.68867    0.84450   -0.05691    0.00610    0.00964    0.05935    0.00851    0.25853    0.19595    0.76192
59      B22B2              0.03280    0.40699   -1.90301    0.17346    1.68867    0.84450   -0.05691    0.00610    0.00964    0.05935    0.00851    0.25853    0.19595    0.76192
60      B22C               0.03533    0.39060   -1.34350    0.23767    2.03494    1.62919   -0.88237    0.00604    0.00872    0.07035    0.01631    0.10637    0.24423    0.69549
61      B22Ab              0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
62      B22Bb              0.03538    0.38939   -1.37277    0.18511    1.86188    1.51548   -0.99505    0.00653    0.00812    0.06547    0.01366    0.08123    0.22869    0.78103
63      B22Cb              0.03219    0.40127   -1.73940    0.15957    1.69067    1.04062   -0.44122    0.00665    0.00958    0.06269    0.00962    0.20488    0.18709    0.69003
64      B24A               0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
65      B24A2              0.03280    0.40699   -1.90301    0.17346    1.68867    0.84450   -0.05691    0.00610    0.00964    0.05935    0.00851    0.25853    0.19595    0.76192
66      B24B               0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
67      B24B2              0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
68      B242Cr             0.03533    0.39060   -1.34350    0.23767    2.03494    1.62919   -0.88237    0.00604    0.00872    0.07035    0.01631    0.10637    0.24423    0.69549
69      B25A               0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
70      B25B               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
71      B25B2              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
72      B25B3              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
73      B25B4              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
74      B25R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
75      B26A               0.03219    0.40127   -1.73940    0.15957    1.69067    1.04062   -0.44122    0.00665    0.00958    0.06269    0.00962    0.20488    0.18709    0.69003
76      B26B               0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
77      B26B2              0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
78      B26C               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
79      B26Ab              0.06370    0.38651   -1.57782    0.12453    1.19159    0.96808   -1.45733    0.00592    0.00591    0.05067    0.00832    0.10477    0.24648    1.01832
80      B26Bb              0.05781    0.39513   -1.78572    0.15346    1.17379    0.78896   -0.71667    0.00452    0.00617    0.05981    0.00973    0.09963    0.20991    0.77707
81      B27A               0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
