Code	Comment	Sand	Silt	Clay	Bulkdensity	Theta33	Theta1500
Id	pedon_horizon	%	%	%	gr/cm3	cm3/cm3	cm3/cm3
1	CLHS01PA	95	2	3	-9.9	-9.9	-9.9
2	CLHS01PAB	95	3	2	-9.9	-9.9	-9.9
3	CLHS01PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
4	CLHS02PA	75	15	10	-9.9	-9.9	-9.9
5	CLHS02PBk1	80	14	6	-9.9	-9.9	-9.9
6	CLHS02PBk2	85	10	5	-9.9	-9.9	-9.9
7	CLHS03PA	80	10	10	-9.9	-9.9	-9.9
8	CLHS03PBw	85	11	4	-9.9	-9.9	-9.9
9	CLHS03PBk1	85	9	6	-9.9	-9.9	-9.9
10	CLHS03PBk2	85	10	5	-9.9	-9.9	-9.9
11	CLHS03PBk3	85	9	6	-9.9	-9.9	-9.9
12	CLHS04PA	85	9	6	-9.9	-9.9	-9.9
13	CLHS04PBk1	85	7	8	-9.9	-9.9	-9.9
14	CLHS04PBk2	85	7	8	-9.9	-9.9	-9.9
15	CLHS04PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
16	CLHS05PA	85	7	8	-9.9	-9.9	-9.9
17	CLHS05PBk	80	10	10	-9.9	-9.9	-9.9
18	CLHS05PC	85	7	8	-9.9	-9.9	-9.9
19	CLHS05PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
20	CLHS06PA	80	12	8	-9.9	-9.9	-9.9
21	CLHS06PBk1	85	8	7	-9.9	-9.9	-9.9
22	CLHS06PBk2	85	10	5	-9.9	-9.9	-9.9
23	CLHS06PBk3	75	15	10	-9.9	-9.9	-9.9
24	CLHS06PBk4	80	11	9	-9.9	-9.9	-9.9
25	CLHS06PBk5	80	11	9	-9.9	-9.9	-9.9
26	CLHS06PBk6	50	29	21	-9.9	-9.9	-9.9
27	CLHS07PA	85	7	8	-9.9	-9.9	-9.9
28	CLHS07PC	85	7	8	-9.9	-9.9	-9.9
29	CLHS07PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
30	CLHS08PA	85	9	6	-9.9	-9.9	-9.9
31	CLHS08PBk1	85	9	6	-9.9	-9.9	-9.9
32	CLHS08PBk2	85	11	4	-9.9	-9.9	-9.9
33	CLHS08PBk3	80	13	7	-9.9	-9.9	-9.9
34	CLHS09PA	85	10	5	-9.9	-9.9	-9.9
35	CLHS09PBk	70	20	10	-9.9	-9.9	-9.9
36	CLHS09PC	70	15	15	-9.9	-9.9	-9.9
37	CLHS09PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
38	CLHS10PA	85	10	5	-9.9	-9.9	-9.9
39	CLHS10PBk	75	15	10	-9.9	-9.9	-9.9
40	CLHS10PC	87	9	4	-9.9	-9.9	-9.9
41	CLHS10PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
42	CLHS11PA	85	7	8	-9.9	-9.9	-9.9
43	CLHS11PBk1	85	9	6	-9.9	-9.9	-9.9
44	CLHS11PBk2	85	9	6	-9.9	-9.9	-9.9
45	CLHS11PBk3	75	17	8	-9.9	-9.9	-9.9
46	CLHS12PA	85	10	5	-9.9	-9.9	-9.9
47	CLHS12PC1	75	15	10	-9.9	-9.9	-9.9
48	CLHS12PC2	75	15	10	-9.9	-9.9	-9.9
49	CLHS12PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
50	CLHS13PA	75	15	10	-9.9	-9.9	-9.9
51	CLHS13PBk1	75	17	8	-9.9	-9.9	-9.9
52	CLHS13PBk2	80	13	7	-9.9	-9.9	-9.9
53	CLHS13PBw1	90	6	4	-9.9	-9.9	-9.9
54	CLHS13PBw2	90	4	6	-9.9	-9.9	-9.9
55	CLHS14PA	80	14	6	-9.9	-9.9	-9.9
56	CLHS14PBk1	85	7	8	-9.9	-9.9	-9.9
57	CLHS14PBk2	70	24	6	-9.9	-9.9	-9.9
58	CLHS14PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
59	CLHS15PA	80	14	6	-9.9	-9.9	-9.9
60	CLHS15PBk1	80	12	8	-9.9	-9.9	-9.9
61	CLHS15PBk2	75	15	10	-9.9	-9.9	-9.9
62	CLHS15PBk3	70	20	10	-9.9	-9.9	-9.9
63	CLHS15PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
64	CLHS16PA	85	9	6	-9.9	-9.9	-9.9
65	CLHS16PBk	80	12	8	-9.9	-9.9	-9.9
66	CLHS16PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
67	CLHS17PA	85	8	7	-9.9	-9.9	-9.9
68	CLHS17PBk1	80	12	8	-9.9	-9.9	-9.9
69	CLHS17PBk2	75	15	10	-9.9	-9.9	-9.9
70	CLHS17PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
71	CLHS18PA	85	9	6	-9.9	-9.9	-9.9
72	CLHS18PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
73	CLHS19PA	75	15	10	-9.9	-9.9	-9.9
74	CLHS19PABw	75	15	10	-9.9	-9.9	-9.9
75	CLHS19PBw	75	15	10	-9.9	-9.9	-9.9
76	CLHS19PBk	76	14	10	-9.9	-9.9	-9.9
77	CLHS19PBkk	77	14	9	-9.9	-9.9	-9.9
78	CLHS19PBk	77	14	9	-9.9	-9.9	-9.9
79	CLHS19PBkk	75	13	12	-9.9	-9.9	-9.9
80	CLHS20PA	60	30	10	-9.9	-9.9	-9.9
81	CLHS20PBA	45	40	15	-9.9	-9.9	-9.9
82	CLHS20PBk	50	32	18	-9.9	-9.9	-9.9
83	CLHS20PCrBk	42	40	18	-9.9	-9.9	-9.9
84	CLHS20PCr	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
85	CLHS20PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
86	CLHS21PA	85	7	8	-9.9	-9.9	-9.9
87	CLHS21PBk1	80	10	10	-9.9	-9.9	-9.9
88	CLHS21PBk2	85	10	5	-9.9	-9.9	-9.9
89	CLHS21PBk3	88	8	4	-9.9	-9.9	-9.9
90	CLHS22PA	82	9	9	-9.9	-9.9	-9.9
91	CLHS22PAB	70	15	15	-9.9	-9.9	-9.9
92	CLHS22PNA	76	12	12	-9.9	-9.9	-9.9
93	CLHS22PBk	78	11	11	-9.9	-9.9	-9.9
