Code	Description	Theta_r	Theta_s	Alpha	N	Ks	Ko	L	Theta_r_u	Theta_s_u	Alpha_u	N_u	Ks_u	Ko_u	L_u
		cm3/cm3	cm3/cm3	log(1/cm)	Log10	L(cm/day)	L(cm/day)	No units	cm3/cm3	cm3/cm3	log(1/cm)	Log10	L(cm/day)	L(cm/day)	No units
1	CLHS01PA	0.05352	0.37525	-1.49159	0.52263	2.85895	1.33407	-0.91856	0.00302	0.00472	0.03372	0.01357	0.07115	0.2372	0.48434
2	CLHS01PAB	0.05099	0.37793	-1.46641	0.53214	2.8708	1.40815	-0.90622	0.00303	0.00484	0.03096	0.01382	0.06063	0.23619	0.48848
3	CLHS01PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
4	CLHS02PA	0.04481	0.38217	-1.43898	0.17306	1.75189	1.33796	-1.08158	0.00533	0.00644	0.0422	0.01109	0.06477	0.23379	0.78153
5	CLHS02PBk1	0.04105	0.38467	-1.39459	0.22554	1.97453	1.49866	-0.91816	0.00523	0.00648	0.05018	0.013	0.06838	0.23876	0.66745
6	CLHS02PBk2	0.04463	0.38235	-1.41805	0.30157	2.20986	1.48887	-0.84449	0.00367	0.00521	0.04023	0.01103	0.06876	0.24312	0.57812
7	CLHS03PA	0.04878	0.37858	-1.46237	0.20863	1.89031	1.32215	-0.97698	0.00465	0.00568	0.03671	0.01234	0.07125	0.23974	0.67629
8	CLHS03PBw	0.04257	0.38432	-1.39827	0.30804	2.22532	1.53789	-0.83775	0.00394	0.00558	0.04642	0.01227	0.08093	0.24352	0.57877
9	CLHS03PBk1	0.04669	0.38048	-1.43798	0.29497	2.1934	1.43923	-0.85211	0.00354	0.00511	0.03583	0.01048	0.06269	0.24306	0.57986
10	CLHS03PBk2	0.04463	0.38235	-1.41805	0.30157	2.20986	1.48887	-0.84449	0.00367	0.00521	0.04023	0.01103	0.06876	0.24312	0.57812
11	CLHS03PBk3	0.04669	0.38048	-1.43798	0.29497	2.1934	1.43923	-0.85211	0.00354	0.00511	0.03583	0.01048	0.06269	0.24306	0.57986
12	CLHS04PA	0.04669	0.38048	-1.43798	0.29497	2.1934	1.43923	-0.85211	0.00354	0.00511	0.03583	0.01048	0.06269	0.24306	0.57986
13	CLHS04PBk1	0.05081	0.37692	-1.47872	0.28145	2.14815	1.33738	-0.86958	0.00378	0.00517	0.03519	0.01096	0.07187	0.24378	0.59032
14	CLHS04PBk2	0.05081	0.37692	-1.47872	0.28145	2.14815	1.33738	-0.86958	0.00378	0.00517	0.03519	0.01096	0.07187	0.24378	0.59032
15	CLHS04PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
16	CLHS05PA	0.05081	0.37692	-1.47872	0.28145	2.14815	1.33738	-0.86958	0.00378	0.00517	0.03519	0.01096	0.07187	0.24378	0.59032
17	CLHS05PBk	0.04878	0.37858	-1.46237	0.20863	1.89031	1.32215	-0.97698	0.00465	0.00568	0.03671	0.01234	0.07125	0.23974	0.67629
18	CLHS05PC	0.05081	0.37692	-1.47872	0.28145	2.14815	1.33738	-0.86958	0.00378	0.00517	0.03519	0.01096	0.07187	0.24378	0.59032
19	CLHS05PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
20	CLHS06PA	0.04493	0.38152	-1.42822	0.21722	1.93858	1.41125	-0.9462	0.00482	0.00608	0.04033	0.01248	0.05922	0.23797	0.66448
21	CLHS06PBk1	0.04875	0.37868	-1.45818	0.28826	2.17369	1.38878	-0.86053	0.00358	0.00512	0.03398	0.01052	0.06571	0.24328	0.58395
22	CLHS06PBk2	0.04463	0.38235	-1.41805	0.30157	2.20986	1.48887	-0.84449	0.00367	0.00521	0.04023	0.01103	0.06876	0.24312	0.57812
23	CLHS06PBk3	0.04481	0.38217	-1.43898	0.17306	1.75189	1.33796	-1.08158	0.00533	0.00644	0.0422	0.01109	0.06477	0.23379	0.78153
24	CLHS06PBk4	0.04686	0.38004	-1.4452	0.21296	1.91707	1.36694	-0.96131	0.0047	0.00589	0.03755	0.0124	0.06537	0.23854	0.6685
25	CLHS06PBk5	0.04686	0.38004	-1.4452	0.21296	1.91707	1.36694	-0.96131	0.0047	0.00589	0.03755	0.0124	0.06537	0.23854	0.6685
26	CLHS06PBk6	0.06285	0.39778	-1.74415	0.14595	1.10634	0.80517	-0.88373	0.0053	0.00712	0.0584	0.00916	0.10248	0.21705	0.82859
27	CLHS07PA	0.05081	0.37692	-1.47872	0.28145	2.14815	1.33738	-0.86958	0.00378	0.00517	0.03519	0.01096	0.07187	0.24378	0.59032
28	CLHS07PC	0.05081	0.37692	-1.47872	0.28145	2.14815	1.33738	-0.86958	0.00378	0.00517	0.03519	0.01096	0.07187	0.24378	0.59032
29	CLHS07PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
30	CLHS08PA	0.04669	0.38048	-1.43798	0.29497	2.1934	1.43923	-0.85211	0.00354	0.00511	0.03583	0.01048	0.06269	0.24306	0.57986
31	CLHS08PBk1	0.04669	0.38048	-1.43798	0.29497	2.1934	1.43923	-0.85211	0.00354	0.00511	0.03583	0.01048	0.06269	0.24306	0.57986
32	CLHS08PBk2	0.04257	0.38432	-1.39827	0.30804	2.22532	1.53789	-0.83775	0.00394	0.00558	0.04642	0.01227	0.08093	0.24352	0.57877
33	CLHS08PBk3	0.04299	0.38305	-1.41139	0.22141	1.95699	1.45512	-0.93178	0.005	0.00626	0.04468	0.01264	0.06015	0.23805	0.66419
34	CLHS09PA	0.04463	0.38235	-1.41805	0.30157	2.20986	1.48887	-0.84449	0.00367	0.00521	0.04023	0.01103	0.06876	0.24312	0.57812
35	CLHS09PBk	0.04255	0.38461	-1.45713	0.15445	1.6596	1.30229	-1.13569	0.00563	0.00639	0.04264	0.00893	0.07601	0.22623	0.83962
36	CLHS09PC	0.05172	0.38057	-1.49682	0.14479	1.52858	1.17058	-1.2641	0.0048	0.00584	0.04281	0.00778	0.07938	0.2399	0.901
37	CLHS09PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
38	CLHS10PA	0.04463	0.38235	-1.41805	0.30157	2.20986	1.48887	-0.84449	0.00367	0.00521	0.04023	0.01103	0.06876	0.24312	0.57812
39	CLHS10PBk	0.04481	0.38217	-1.43898	0.17306	1.75189	1.33796	-1.08158	0.00533	0.00644	0.0422	0.01109	0.06477	0.23379	0.78153
40	CLHS10PC	0.04514	0.38239	-1.41994	0.34556	2.33616	1.48744	-0.8356	0.00315	0.00491	0.03986	0.01239	0.07089	0.24033	0.54494
41	CLHS10PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
42	CLHS11PA	0.05081	0.37692	-1.47872	0.28145	2.14815	1.33738	-0.86958	0.00378	0.00517	0.03519	0.01096	0.07187	0.24378	0.59032
43	CLHS11PBk1	0.04669	0.38048	-1.43798	0.29497	2.1934	1.43923	-0.85211	0.00354	0.00511	0.03583	0.01048	0.06269	0.24306	0.57986
44	CLHS11PBk2	0.04669	0.38048	-1.43798	0.29497	2.1934	1.43923	-0.85211	0.00354	0.00511	0.03583	0.01048	0.06269	0.24306	0.57986
45	CLHS11PBk3	0.04103	0.38464	-1.41321	0.1781	1.79277	1.40808	-1.04448	0.00581	0.0068	0.04943	0.01175	0.06304	0.2306	0.77188
46	CLHS12PA	0.04463	0.38235	-1.41805	0.30157	2.20986	1.48887	-0.84449	0.00367	0.00521	0.04023	0.01103	0.06876	0.24312	0.57812
47	CLHS12PC1	0.04481	0.38217	-1.43898	0.17306	1.75189	1.33796	-1.08158	0.00533	0.00644	0.0422	0.01109	0.06477	0.23379	0.78153
48	CLHS12PC2	0.04481	0.38217	-1.43898	0.17306	1.75189	1.33796	-1.08158	0.00533	0.00644	0.0422	0.01109	0.06477	0.23379	0.78153
