id,Elevation,Landform,Aspect,Slope,SlopeShape,ParentMaterial1,ParentMaterial2,BedrockGeology1,BedrockGeology2,SoilDepthClass,CarbonateStage,BioticCrustClass,ExcavationDepth,IRLDepth,IRL150,
B1_1,6220,BS,40,1,LV,Eolian,NA,Sandstone,Silicate,Very Deep,0,1,188,150+,N,
B1_2,6150,BS,100,6,LC,Eolian,Residuum,Sandstone,NA,Moderately Deep,0,1,51,51,Y,
B1_3,6158,SH,170,4,VL,Eolian,Residuum,Sandstone,NA,Very Deep,1,1,165,150+,N,
B1_4,6187,BS,30,3,LC,Eolian,Alluvium,Sandstone,NA,Very Deep,0,1,187,150+,N,
B1_5,6177,GULLY,60,4,LC,Eolian,Alluvium,Sandstone,Silicate,Very Deep,1,0,153,153,N,*
B1_6,6168,SUMMIT,270,3,VV,Eolian,Residuum,Sandstone,NA,Moderately Deep,1,0,59,53,Y,
B1_7,6206,BS,0,5,LC,Eolian,Residuum,Sandstone,NA,Deep,1,1,116,116,Y,
B1_8,6146,FLAT,320,2,LL,Eolian,NA,Sandstone,Silicate,Very Deep,0,1,150,150+,N,
B1_9,6208,TS,20,5,CL,Eolian,Alluvium,Sandstone,NA,Very Deep,0,1,180,180,N,*
B1_10,6191,SH,344,2,LV,Eolian,Residuum,Sandstone,NA,Shallow,0,0,44,NA,NA,Too many rocks to excavate deep enough. Don't know if 150 or not. 
B2_1,6171,BS,350,4,LL,Eolian,NA,Sandstone,NA,Very Deep,0,0,179,150+,N,
B2_2,6173,SH,0,4,LV,Eolian,Residuum,Sandstone,NA,Very Deep,0,2,189,150+,N,
B2_4,6222,BS,91,1,LV,Eolian,Residuum,Sandstone(w),NA,Deep,1,1,107,67,Y,Cr or Bkk? 
B2_5,6155,SH,200,4,LV,Eolian,Residuum,Sandstone,NA,Very Deep,0,1,185,185,N,*
B2_6,6158,BS,10,3,CC,Eolian,NA,Sandstone,NA,Very Deep,1,1,175,150+,N,
B2_7,6121,BS,0,10,CL,Eolian,NA,Sandstone,NA,Deep,1,1,106,106,Y,
B2_8,6164,BS,250,3,LC,Eolian,Alluvium,Sandstone,NA,Very Deep,0,1,156,150+,N,
B2_9,6215,BS,100,5,VL,Residuum,NA,Sandstone,NA,Shallow,1,1,27,27,Y,
B2_10,6169,SUMMIT,210,1,VV,Eolian,Residuum,Sandstone,NA,Very Deep,1,1,190,150+,N,
B3_1,6124,SH,310,6,VC,Eolian,NA,Sandstone,NA,Moderately Deep,1,1,81,81,Y,
B3_2,6202,SH,250,4,VV,Eolian,Residuum,Sandstone,NA,Moderately Deep,1,0,67,40,Y,
B3_3,6161,BS,90,2,LL,Eolian,NA,Sandstone,NA,Very Deep,0,0,188,150+,N,
B3_4,6147,TS,100,5,LC,Eolian,Residuum,Sandstone,NA,Deep,0,0,148,127,Y,
B3_5,6213,GULLY,35,1,LC,Eolian,Alluvium,Sandstone,NA,Very Deep,1,0,178,150+,N,
B3_6,6128,SH,270,6,VV,Eolian,NA,Sandstone,NA,Very Deep,1,1,169,169,N,*
B3_7,6151,SH,260,5,CC,Eolian,Residuum,Sandstone,NA,Deep,0,2,135,135,Y,
