Site,PedonID,ARTR2_L_Total,ARTR2_D_Total,ARTR2_ALL_Total,ARTR2_L_Mature,ARTR2_D_Mature,ARTER_ALL_Mature,ARTR2_L_GT050,ARTR2_D_GT050,ARTR2_ALL_GT050,ATCA2_L_Total,ATCA2_D_Total,ATCA2_ALL_Total,EPVI_L_Total,EPVI_D_Total,EPVI_ALL_Total,KRLA2_L_Total,KRLA2_D_total,KRLA2_ALL_total,JUOS_PIED_Total,LPI_ARTR_D_DP,LPI_ARTR_Alive,LPI_ARTR_all,Bare_Soil,PerGrass,Total_Foliar,Total_Litter
April's Sites,B1_1,15,40,55,15,37,52,9,5,14,1,1,2,0,0,0,55,1,56,0,0.0466,0.0366,0.0832,0.0898,0.6334,0.7334,0.4266
April's Sites,B1_10,4,34,38,4,34,38,1,0,1,0,0,0,0,0,0,67,0,67,0,0.0234,0.0100,0.0334,0.1134,0.5604,0.6234,0.2470
April's Sites,B1_2,3,4,7,3,4,7,2,0,2,19,0,19,0,0,0,1,0,1,0,0.0000,0.0000,0.0000,0.1168,0.4834,0.5866,0.3732
April's Sites,B1_3,2,0,2,1,0,1,0,0,0,19,1,20,0,0,0,55,0,55,0,0.0000,0.0000,0.0000,0.2066,0.4600,0.5702,0.3234
April's Sites,B1_4,0,1,1,0,1,1,0,0,0,13,0,13,0,0,0,88,0,88,0,0.0066,0.0000,0.0066,0.1300,0.4466,0.5298,0.3632
April's Sites,B1_5,0,14,14,0,14,14,0,1,1,26,0,26,0,0,0,0,0,0,0,0.0068,0.0000,0.0068,0.1866,0.4468,0.5034,0.3932
April's Sites,B1_6,1,47,48,1,47,48,0,10,10,27,1,28,0,0,0,6,0,6,0,0.0100,0.0000,0.0100,0.1000,0.5804,0.6502,0.3234
April's Sites,B1_7,65,50,115,59,50,109,24,16,40,4,0,4,0,0,0,0,0,0,0,0.0702,0.0536,0.1238,0.1032,0.4634,0.6566,0.3300
April's Sites,B1_8,0,1,1,0,1,1,0,0,0,4,0,4,0,0,0,18,0,18,0,0.0000,0.0000,0.0000,0.1468,0.4102,0.5166,0.4366
April's Sites,B1_9,0,52,52,0,52,52,0,4,4,2,0,2,0,0,0,1,0,1,0,0.0232,0.0000,0.0232,0.1298,0.6000,0.6300,0.3468
April's Sites,B2_1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,400,0,400,0,0.0000,0.0000,0.0000,0.2234,0.4502,0.5700,0.2566
April's Sites,B2_10,18,30,48,18,30,48,2,0,2,0,0,0,0,0,0,4,0,4,0,0.0436,0.0202,0.0638,0.2334,0.3800,0.4600,0.3598
April's Sites,B2_2,1,79,80,1,79,80,0,4,4,25,0,25,0,0,0,2,0,2,0,0.0300,0.0000,0.0300,0.1468,0.6070,0.6602,0.3668
April's Sites,B2_4,9,46,55,9,46,55,0,0,0,0,0,0,0,0,0,186,1,187,0,0.0134,0.0066,0.0200,0.1000,0.5300,0.5802,0.3400
April's Sites,B2_5,11,41,52,9,41,50,2,4,6,4,0,4,1,0,1,0,0,0,0,0.0200,0.0000,0.0200,0.1166,0.6134,0.6532,0.2966
April's Sites,B2_6,2,3,5,2,3,5,0,0,0,1,0,1,0,0,0,121,0,121,0,0.0034,0.0000,0.0034,0.1568,0.4800,0.5434,0.2966
April's Sites,B2_7,2,27,29,2,27,29,0,2,2,2,2,4,0,0,0,0,0,0,0,0.0566,0.0000,0.0566,0.1568,0.4900,0.5734,0.2834
April's Sites,B2_8,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,2,1,3,0,0.0000,0.0000,0.0000,0.2768,0.5064,0.5866,0.1468
April's Sites,B2_9,5,54,59,5,54,59,0,3,3,1,0,1,0,0,0,48,0,48,0,0.0268,0.0102,0.0370,0.2300,0.5166,0.5700,0.2834
April's Sites,B3_1,14,31,45,12,31,43,0,1,1,0,0,0,44,0,44,0,0,0,0,0.0200,0.0068,0.0268,0.1798,0.4038,0.5098,0.3698
April's Sites,B3_10,67,28,95,67,28,95,9,1,10,1,0,1,0,0,0,85,0,85,2,0.0266,0.0500,0.0766,0.1364,0.3904,0.5234,0.3534
