Landform,Aspect,Slope,SlopeShape,ParentMaterial1,BedrockGeology1,ExcavationDepth,IRLDepth,IRL150,CarbonateStage,PedonID
SB,104,15,LC (at pit level),ALL,SST,30,30,Y,0,CLHS01P
Structural bench,150,7,LL,Eolian sand,NA,157,150+,N,1,CLHS02P
structural bench,180,6,VV,eolian/residuem,NA,168,150+,N,2,CLHS03P
SB,239,6,LV,EOS/ALL,SST,48,48,Y,1,CLHS04P
SB,35,4,VV,EOL/ALL,SST,91,91,Y,1,CLHS05P
Alluvial flat,35,1,LL,ALL,NA,161,150+,N,2,CLHS06P
SB,320,5,LV,ALLUVIUM,SST,27,27,Y,0,CLHS07P
Alluvial Fan,304,2,LC,EOL/ALU,SST,150,150+,N,2,CLHS08P
SB,135,6,LC,EOL/ALU,SST,45,45,Y,1,CLHS09P
SB,352,5,VV,ALU,SST,53,53,Y,1,CLHS10P
Alluvial Fan,16,4,LC,EOL/ALU,SST,150,150+,N,1,CLHS11P
SB,287,12,LV,ALU,SST,65,65,Y,0,CLHS12P
Alluvial Fan,34,5,CV,Eol/All,SST,150,150+,N,1,CLHS13P
SB,322,4,LV,EOS/ALL,SST,31,31,Y,1,CLHS14P
Structural bench,41,6,VV,EOS/ALU,SST,44,44,Y,2,CLHS15P
SB,138,4,LC,EOL,SST,28,28,Y,1,CLHS16P
SB,305,5,VV,EOS/ALL,SST,26,26,Y,2,CLHS17P
Dip slope,121,5,LV,Eol,SST,5,5,Y,0,CLHS18P
BS,237,3,LC,NA,NA,153,150+,N,3,CLHS19P
SH shoulder,51,8.5°,VL,Residuum and Eolian,Flaggy Sandstone,46,41,Y,1,CLHS20P
Alluvial fan,100,3,LC,EOL/ALU,SST,95,NA,N,1,CLHS21P
CT,277,3,LV,Eolian,NA,154,150+,N,2,CLHS22P
Toe Slope,54,1,LL,Eolian over residuive,Sandstone,81,81,Y,1,CLHS23P
CT,256,NA,LL,NA,NA,48,NA,N,3,CLHS24P
BS,288,3,LC,NA,NA,150,150+,N,1,CLHS25P
SB,137,3,CV,EOL/ALU,SST,31,31,Y,0,CLHS26P
SB,50,15,CL,All,SST,153,150+,N,0,CLHS27P
Floodplain/wash,196,1,VV,EOL/ALU,SST,83,83,Y,1,CLHS28P
Alluvial fan,330,3,CC,eolian/alluvium,NA,163,150+,N,1,CLHS29P
"Wash, bank slope from alluvial fan to wash",231,6,LV,EOL/ALU,SST,134,NA,NA,0,CLHS30P
SB,35,5,LL,All,SST,20,20,Y,1,CLHS31P
Alluvial Fan,319,3,LC,EOL/ALU,SST,114,114,Y,0,CLHS32P
SB,321,4,CV,Eol/All,SST,86,86,Y,0,CLHS33P
SB,14,6,VV,All,SST,19,19,Y,0,CLHS34P
AF,250,5,LC,EOL/ALU,SST,77,77,Y,2,CLHS35P
Alluvial Fan,337,4,LL,EOL/ALV,SST,152,150+,N,2,CLHS36P
SB,303,7,LV,All,SST,17,17,Y,0,CLHS37P
SH,36,8,VLQ,NA,NA,94,94,Y,1,CLHS38P
Dip slope,174,6,LV,Alluvium,SST,19,19,Y,0,CLHS39P
BS,328,NA,LL,NA,NA,122,122,Y,3,CLHS40P
Alluvial fan,272,4,LL,Eol/Alu,SST,151,150+,N,1,CLHS41P
BS,233,5,LC,NA,NA,58,NA,NA,2,CLHS42P
BS,0,4,LC,NA,NA,154,150+,N,3,CLHS43P
Alluvial fan,328,3,LL,Eol/All,SST,126,NA,NA,1,CLHS44P
Alluvial Fan,348,1,CC,Eol/Alu,SST,104,NA,N,0,CLHS45P
Stream terrace,327,1,LL,Alluvium,NA,99,150+,N,1,CLHS46P
midslope on hill,150,5,VV,EOLION SAND/ALLUVIUM,NA,150,150+,N,0,CLHS47P
Alluvial fan,271,2,CC,Eol/All,SST,80,80,Y,0,CLHS48P
Alluvial Flat,349,1,LL,EOL/ALU,SST,150,150+,N,1,CLHS49P
"wash, wash bank",150,10,LL,Alluvium,SST,26,26,Y,0,CLHS50P
BS,224,3,LC,Eolian over residuum,Sandstone,87,87,Y,3,CLHS57P
BS,238,3,LL,Eolian over residuum,Sandstone,150,150+,N,1,CLHS59P
BS,288,2,LL,Eolian,Sandstone,150,150+,N,1,CLHS60P
BS,58,7,LL,Eolian,NA,150,150+,N,1,CLHS61P
BS,216,3,LC,NA,NA,122,107,Y,2,CLHS67P
SU,305,0,LV,NA,NA,139,150+,N,0,CLHS68P
BS,303,3,LC,NA,NA,96,NA,NA,2,CLHS73P
BS,0,4,LC,Eolian,Sandstone,58,58,Y,3,CLHS77P
BS,124,4,LL,NA,NA,152,150+,N,3,CLHS80P
BS,170,6,LL,Eolian,Sandstone,64,64,Y,1,CLHS82P
Shoulder,NA,NA,LC,NA,NA,123,123,Y,2,CLHS85P
SB,108,4,LL,Eol/Alu,SST,25,25,Y,0,CLHS90P
SH,195,2,LV,Eolian over residuum,NA,145,145,Y,2,CLHS97P
SH,62,1,LL,Eolian over residuum,NA,152,150+,N,2,CLHS98P
