Plot.Name,lat,long,Northing,Easting,Date,altitude
CLHS01P,38.02654758,-109.9060049,4209325.263,596016.632,09-JUL-14 8:45:37AM,2003.498047
CLHS02P,38.02114595,-109.9067268,4208725.166,595960.3138,26-JUN-14 4:14:26PM,1992.443115
CLHS03P,38.01719723,-109.9108276,4208282.804,595605.4958,26-JUN-14 2:29:41PM,1972.015381
CLHS04P,38.01628696,-109.9341039,4208158.134,593563.446,08-JUL-14 12:00:50PM,1886.939209
CLHS05P,38.01061492,-109.938822,4207524.047,593156.4639,08-JUL-14 1:22:59PM,1900.397461
CLHS06P,38.00726133,-109.9036272,4207187.768,596250.5443,26-JUN-14 6:23:34PM,1956.634277
CLHS07P,38.00737037,-109.9345031,4207168.375,593539.7326,08-JUL-14 4:05:14PM,1936.446533
CLHS08P,38.00676629,-109.9115273,4207124.697,595557.6159,09-JUL-14 1:38:07PM,1948.463135
CLHS09P,38.00625558,-109.9444512,4207034.725,592667.7735,08-JUL-14 10:09:51AM,1944.137207
CLHS10P,38.00544446,-109.9066418,4206983.06,595988.2581,09-JUL-14 2:57:14PM,1953.990723
CLHS11P,38.00419095,-109.9119414,4206838.52,595524.6054,09-JUL-14 12:40:07PM,1947.742188
CLHS12P,38.00268103,-109.9162667,4206666.552,595146.8107,09-JUL-14 11:14:45AM,1966.968262
CLHS13P,38.00029622,-109.9409633,4206376.973,592981.5125,17-JUL-14 9:40:35AM,1947.501709
CLHS14P,37.99883667,-109.9085617,4206247.9,595828.2959,07-JUL-14 3:56:23PM,2005.661133
CLHS15P,37.99721193,-109.9044139,4206071.903,596194.6048,07-JUL-14 2:23:38PM,2012.630615
CLHS16P,37.99674606,-109.8689962,4206057.416,599305.0766,07-JUL-14 5:45:05PM,2003.97876
CLHS17P,37.99665327,-109.8996324,4206014.87,596615.1789,07-JUL-14 12:33:50PM,2001
CLHS18P,37.98496127,-109.8810865,4204736.977,598259.203,10-JUL-14 8:07:33AM,1981.868652
CLHS19P,37.98371966,-109.940883,4204537.139,593010.4594,20-MAY-13 9:32:10AM,1895
CLHS20P,37.98291558,-109.8716177,4204519.394,599094.4633,13-MAY-13 12:30:14PM,1987
CLHS21P,37.98243471,-109.8812624,4204456.452,598247.1291,10-JUL-14 8:36:21AM,1966.247314
CLHS22P,37.98304056,-109.9450253,4204457.658,592647.5394,15-MAY-13 10:11:47AM,1877
CLHS23P,37.98183382,-109.8711196,4204399.896,599139.6656,13-MAY-13 5:37:42PM,1980
CLHS24P,37.98236347,-109.942642,4204384.905,592857.6908,15-MAY-13 2:01:27PM,1886
CLHS25P,37.98145655,-109.8623667,4204367.393,599908.8838,23-MAY-13 2:13:55PM,2013
CLHS26P,37.97923928,-109.8436128,4204142.302,601558.014,11-JUL-14 9:50:46AM,2047.95874
CLHS27P,37.97965905,-109.8983776,4204130.547,596747.672,17-JUL-14 11:51:50AM,1929.957764
CLHS28P,37.97881994,-109.8821969,4204054.382,598169.8752,10-JUL-14 9:32:11AM,1943.176025
CLHS29P,37.97700081,-109.8409897,4203896.792,601791.4853,26-JUN-14 10:34:54AM,2058.533203
CLHS30P,37.96982557,-109.8559168,4203084.433,600490.2289,11-JUL-14 8:26:12AM,2018.158203
CLHS31P,37.96938367,-109.9411031,4202946.888,593008.255,15-JUL-14 11:36:12AM,1857.619141
CLHS32P,37.96903666,-109.8748262,4202976.659,598830.3314,10-JUL-14 10:59:43AM,1965.045654
CLHS33P,37.96621414,-109.9594887,4202577.004,591397.2461,15-JUL-14 1:33:15PM,1844.641602
CLHS34P,37.96383267,-109.9535649,4202318.597,591920.5638,15-JUL-14 12:29:02PM,1873.480713
CLHS35P,37.96331677,-109.9141366,4202301.006,595384.7779,10-JUL-14 12:27:44PM,1897.032959
CLHS36P,37.96431036,-109.9511665,4202373.969,592130.6518,10-JUL-14 1:50:40PM,1860.503174
