id,L.D.DenM2,L.DenM2,L.PropIndM2,L.PropCov,L.D.RelCov,L.RelCov,PG.RelCov
B1_1,0.305555556,0.083333333,0.272727273,0.444444437,48.67256637,13.27433628,0.822660099
B1_10,0.211111111,0.022222222,0.105263158,0.628571428,36.19047619,3.80952381,0.782383419
B1_2,0.038888889,0.016666667,0.428571429,0.809523809,25.92592593,11.11111111,0.813186813
B1_3,0.011111111,0.011111111,1,0.124999994,2.597402597,2.597402597,0.814814814
B1_4,0.005555556,0,0,0,0.980392157,0,0.939560439
B1_5,0.077777778,0,0,0,35,0,0.805970149
B1_6,0.266666667,0.005555556,0.020833333,0.2,57.14285714,1.19047619,0.921465968
B1_7,0.638888889,0.361111111,0.565217391,0,87.78625954,49.61832061,0.849246231
B1_8,0.005555556,0,0,0.666666667,4.347826087,0,0.071428571
B1_9,0.288888889,0,0,0.111111101,94.54545455,0,0.924170616
B2_1,0,0,,0,0,0,0.544217687
B2_10,0.266666667,0.1,0.375,,92.30769231,34.61538462,0.74301676
B2_2,0.444444444,0.005555556,0.0125,0.388888893,74.76635514,0.934579439,0.596491229
B2_4,0.305555556,0.05,0.163636364,0.199999993,22.72727273,3.719008264,0.601226994
B2_5,0.288888889,0.061111111,0.211538462,0.157894737,91.22807018,19.29824561,0.86
B2_6,0.027777778,0.011111111,0.4,,2.906976744,1.162790698,0.64
B2_7,0.161111111,0.011111111,0.068965517,,74.35897436,5.128205128,0.378109453
B2_8,0.011111111,0,0,,40,0,0.631205674
B2_9,0.327777778,0.027777778,0.084745763,0.157894732,54.62962963,4.62962963,0.867298578
B3_1,0.25,0.077777778,0.311111111,1,42.05607477,13.08411215,0.591666667
B3_10,0.527777778,0.372222222,0.705263158,0,51.91256831,36.61202186,0.861344538
B3_2,0.216666667,0.022222222,0.102564103,,15.11627907,1.550387597,0.809210526
B3_3,0,0,,,0,0,0.619834711
B3_4,0.011111111,0,0,,3.846153846,0,0.494047619
B3_5,0.005555556,0.005555556,1,,9.090909091,9.090909091,0.688118812
B3_6,0.377777778,0.011111111,0.029411765,0,97.14285714,2.857142857,0.611842104
B3_7,0.333333333,0.033333333,0.1,,78.94736842,7.894736842,0.94054054
B3_8,0.066666667,0.033333333,0.5,0.133333335,50,25,0.766839377
B3_9,0,0,,0.666666642,,,0.839285714
B4_1,0.177777778,0.033333333,0.1875,0,66.66666667,12.5,0.894736843
B4_10,0.233333333,0,0,0.666666652,76.36363636,0,0.619402985
B4_2,0.105555556,0.05,0.473684211,0,54.28571429,25.71428571,0.79245283
B4_3,0.305555556,0.1,0.327272727,1,82.08955224,26.86567164,0.788732395
B4_4,0.161111111,0,0,0,85.29411765,0,0.913934426
B4_6,0.188888889,0.066666667,0.352941176,0,80.95238095,28.57142857,0.883977901
B4_7,0.005555556,0,0,,7.692307692,0,0.718562874
B4_8,0,0,,0.095238098,0,0,0.804733728
B4_9,0.083333333,0.027777778,0.333333333,0,48.38709677,16.12903226,0.622093023
IL1_1,0.4,0.272222222,0.680555556,0.897435899,94.73684211,64.47368421,0.601156069
IL1_10,0.033333333,0,0,,6.52173913,0,0
IL1_3,0,0,,0.333333333,0,0,0.229050279
IL1_4,0.444444444,0.261111111,0.5875,0,49.68944099,29.19254658,0.085106384
IL1_5,0.094444444,0.016666667,0.176470588,,70.83333333,12.5,0.450495049
IL1_8,0.072222222,0.016666667,0.230769231,,92.85714286,21.42857143,0
IL1_9,0.205555556,0.172222222,0.837837838,,84.09090909,70.45454545,0.009009009
IL2_1,0.177777778,0.083333333,0.46875,,69.56521739,32.60869565,0
IL2_10,0.377777778,0.044444444,0.117647059,,51.12781955,6.015037594,0.368159203
IL2_2,0,0,,,0,0,0
IL2_3,0.305555556,0.127777778,0.418181818,,94.82758621,39.65517241,0.009615385
IL2_4,0.055555556,0,0,0.880000001,62.5,0,0.378378378
IL2_5,0,0,,,0,0,0.33519553
IL2_7,0.433333333,0.266666667,0.615384615,0,62.4,38.4,0.48502994
IL2_8,0.127777778,0.077777778,0.608695652,,57.5,35,0.395833333
IL2_9,0.205555556,0,0,0.666666672,24.02597403,0,0.414285714
IL3_1,0.177777778,0.005555556,0.03125,0,84.21052632,2.631578947,0.463636364
IL3_10,0.194444444,0.094444444,0.485714286,1,57.37704918,27.86885246,0.022222222
IL3_2,0.294444444,0.205555556,0.698113208,1,96.36363636,67.27272727,0.397058824
IL3_3,0.244444444,0,0,,57.14285714,0,0.094488189
IL3_4,0.55,0.394444444,0.717171717,0.4,92.52336449,66.35514019,0.451456312
IL3_6,0.444444444,0.322222222,0.725,0.400000004,91.95402299,66.66666667,0.406542055
IL3_7,0.177777778,0.055555556,0.3125,1,71.11111111,22.22222222,0.391061452
IL3_9,0.427777778,0.255555556,0.597402597,0.090909087,98.71794872,58.97435897,0.257641921
IL4_10,0.25,0.15,0.6,0.142857147,80.35714286,48.21428571,0.366666667
IL4_2,0.227777778,0.044444444,0.195121951,0.857142853,66.12903226,12.90322581,0.391304348
IL4_3,0.066666667,0,0,0.588235295,12.63157895,0,0.132275132
IL4_4,0.061111111,0.011111111,0.181818182,0.333333333,78.57142857,14.28571429,0.06741573
IL4_5,0.116666667,0.044444444,0.380952381,0,19.26605505,7.339449541,0.374331552
IL4_7,0.288888889,0,0,,73.23943662,0,0
IL4_8,0.433333333,0.377777778,0.871794872,0,84.7826087,73.91304348,0.153333334
IL4_9,0.233333333,0.011111111,0.047619048,0,93.33333333,4.444444444,0.245283019
M1_1,0.038888889,0.038888889,1,0.222222227,5.64516129,5.64516129,0.378109454
M1_10,0.05,0,0,0,56.25,0,0.457142857
M1_2,0.427777778,0.205555556,0.480519481,0,35.98130841,17.28971963,0.358490566
M1_4,0.066666667,0.005555556,0.083333333,0.133333331,7.643312102,0.636942675,0.347826087
M1_5,0.261111111,0.05,0.191489362,,74.6031746,14.28571429,0.176470589
M1_6,0,0,,,0,0,0
M1_7,0.005555556,0.005555556,1,,1.851851852,1.851851852,0.455813954
M1_8,0,0,,0.333333348,0,0,0.143939395
M2_1,0.305555556,0.077777778,0.254545455,,74.32432432,18.91891892,0
M2_10,0,0,,,0,0,0.392241379
M2_3,0.316666667,0,0,0.249999989,89.0625,0,0.396551723
M2_5,0,0,,,0,0,0.063414634
M2_6,0,0,,0,0,0,0.41509434
M2_7,0,0,,0,0,0,0.457142858
M2_8,0.022222222,0,0,0.166666661,15.38461538,0,0.30927835
M2_9,0.066666667,0.005555556,0.083333333,,12.12121212,1.01010101,0.393665159
M3_1,0,0,,0.666666674,0,0,0.205882353
M3_2,0.338888889,0.077777778,0.229508197,0.333333325,68.53932584,15.73033708,0.493562231
M3_3,0.2,0.033333333,0.166666667,0,33.64485981,5.607476636,0.455882354
M3_5,0.444444444,0,0,0,97.56097561,0,0.505050505
M3_7,0.016666667,0.011111111,0.666666667,0.100000005,10.71428571,7.142857143,0.46551724
M3_8,0.277777778,0,0,,71.42857143,0,0.036363636
M4_2,0.144444444,0.038888889,0.269230769,0,21.8487395,5.882352941,0.025862069
M4_3,0.2,0.027777778,0.138888889,0.625000004,67.9245283,9.433962264,0.431718062
M4_4,0.011111111,0,0,0,2.325581395,0,0.190217392
M4_5,0,0,,0,0,0,0.397515527
M4_6,0.311111111,0.027777778,0.089285714,0.666666667,56,5,0.05479452
M4_7,0.122222222,0.033333333,0.272727273,,10.13824885,2.764976959,0.193548387
M4_9,0.677777778,0.611111111,0.901639344,1,91.72932331,82.70676692,0.458333333
