id,Elevation,Aspect,Slope,SlopeShape,CarbonateStage,BioticCrustClass,PedonDepth,Depth200,H1.DryRed,H1.DryValue,H1.DryCClass,H1.MoistRed,H1.MoistValue,H1.MoistCClass,H1.Texture,H1.SandPercent,H1.SandSize,H1.ClayPercent,H1.pH,H1.EfferScale,H1.Depth,H1.DryHue,H1.MoistHue,H1.DryChroma,H1.MoistChroma,H1.Effervescence,Tot.DryRed,Tot.DryHue,Tot.DryValue,Tot.DryCClass,Tot.DryChroma,Tot.MoistRed,Tot.MoistHue,Tot.MoistValue,Tot.MoistCClass,Tot.MoistChroma,Tot.Texture,Tot.SandSize,Tot.Effervescence,Tot.EfferScale,Sub.DryRed,Sub.DryHue,Sub.DryValue,Sub.DryCClass,Sub.DryChroma,Sub.MoistRed,Sub.MoistHue,Sub.MoistValue,Sub.MoistCClass,Sub.MoistChroma,Sub.Texture,Sub.SandSize,Sub.Effervescence,Sub.EfferScale,AWC.0.25,AWC.0.50,AWC.0.100,AWC.0.150,AWC.0.200,AWC.25.50,AWC.50.100,AWC.100.150,AWC.150.200,DWAClay,DWASand,DWApH,SubDWAClay,SubDWASand,SubDWApH,SubAWC
1,2003.498047,104,15,CL,0,1,30,0,2,6,2,2,5,2,S,95,M,3,8.2,2,12,7.5YR,7.5YR,3,3,SL,2,7.5YR,6,2,3,2,7.5YR,4,2,3,S,F,VE,4,2,7.5YR,6,2,3,2,7.5YR,4,2,3,S,F,VE,4,0.106943632,0.10438737,0.10438737,0.10438737,0.10438737,0.091606059,.,.,.,2.4,95,8.26,2,95,8.3,0.091606059
10,1953.990723,352,5,VV,1,1,53,0,3,6,3,3,4,2,LS,85,VF,5,8.1,4,9,5YR,5YR,6,4,VE,3,5YR,7,3,6,3,5YR,4,2,4,LS,F,VE,4,3,5YR,7,2,4,3,5YR,5,2,4,LS,F,VE,4,6.217592194,4.265731138,4.109161497,4.109161497,4.109161497,2.313870083,1.49966747,.,.,6.320754717,82.35849057,8.335849057,6.590909091,81.81818182,8.384090909,4.429563235
100,1898,53,3,CL,1,1,155,0,2,6,2,2,3,2,SL,76,VF,9,7.8,0,5,7.5YR,7.5YR,4,3,NE,3,5YR,6,3,6,3,5YR,4,2,4,SL,VF,VE,4,3,5YR,6,3,6,3,5YR,4,2,4,SL,VF,VE,4,9.151730576,9.322522514,9.47992114,9.354164733,9.342729339,9.493314452,9.637319767,9.102651917,8.999667523,12.20645161,72.01290323,8.090322581,12.31333333,71.88,8.1,9.394640481
11,1947.742188,16,4,CL,1,1,150,0,3,6,3,3,4,3,LS,85,VF,8,8.1,4,7,5YR,5YR,6,6,VE,3,5YR,5,3,6,3,5YR,4,2,4,SL,VF,VE,4,3,5YR,5,3,6,3,5YR,4,2,4,SL,VF,VE,4,3.010819527,2.920137255,4.305483923,5.516674042,5.516674042,2.829454983,5.69083059,7.939054282,.,7.133333333,79.8,8.446666667,7.090909091,79.54545455,8.463636364,5.616509146
12,1966.968262,287,12,LV,0,1,65,0,3,5,2,3,4,2,LS,85,VF,5,8.1,4,9,5YR,5YR,4,4,VE,3,5YR,4,2,4,3,5YR,3,2,4,SL,F,VE,4,3,5YR,4,2,4,3,5YR,3,2,4,SL,F,VE,4,6.217592194,7.251140718,7.489651915,7.489651915,7.489651915,8.284689241,8.284689241,.,.,9.307692308,76.38461538,8.358461538,10,75,8.4,8.284689241
13,1947.501709,34,5,CV,1,1,150,0,2,5,3,2,4,3,SL,75,VF,10,8.1,4,13,7.5YR,7.5YR,6,6,VE,2,7.5YR,7,2,4,2,7.5YR,5,3,6,S,VF,VE,4,2,7.5YR,7,2,4,2,7.5YR,5,3,6,S,VF,VE,4,8.118784461,7.936759716,6.19471486,4.403262921,4.403262921,7.754734971,4.452670005,0.820359041,.,6.48,82.53333333,8.654,6.145985401,83.24817518,8.706569343,4.034952394
14,2005.661133,322,4,LV,1,4,31,0,2,8,2,2,5,2,LS,80,VF,6,8.1,3,5,7.5YR,7.5YR,4,4,ST,2,7.5YR,8,2,3,2,7.5YR,4,3,6,SL,VF,VE,4,2,7.5YR,8,2,3,2,7.5YR,4,3,6,SL,VF,VE,4,6.609111857,7.114475196,7.114475196,7.114475196,7.114475196,9.220155775,.,.,.,6.516129032,75.48387097,8.3,6.615384615,74.61538462,8.338461538,7.453087997
15,2012.630615,41,6,VV,2,3,44,0,2,7,3,2,4,3,LS,80,VF,6,8,2,8,7.5YR,7.5YR,6,6,SL,2,7.5YR,7,3,6,2,7.5YR,5,3,6,SL,VF,VE,4,2,7.5YR,7,3,6,2,7.5YR,5,3,6,SL,VF,VE,4,6.68572299,7.733279501,7.733279501,7.733279501,7.733279501,9.111643333,.,.,.,8.954545455,75.22727273,8.390909091,9.611111111,74.16666667,8.477777778,8.262077473
16,2003.97876,138,4,CL,1,1,28,0,2,7,2,2,4,3,LS,85,VF,6,8.1,3,9,7.5YR,7.5YR,4,6,ST,2,7.5YR,6,2,4,2,7.5YR,4,3,6,LS,VF,VE,4,2,7.5YR,6,2,4,2,7.5YR,4,3,6,LS,VF,VE,4,4.809842495,4.929196207,4.929196207,4.929196207,4.929196207,5.923810471,.,.,.,7.357142857,81.60714286,8.235714286,8,80,8.3,5.923810471
17,2001,305,5,VV,2,3,26,0,2,7,2,2,5,3,LS,85,VF,7,8,3,5,7.5YR,7.5YR,4,6,ST,2,7.5YR,7,3,6,2,7.5YR,4,3,6,LS,VF,VE,4,2,7.5YR,7,3,6,2,7.5YR,4,2,4,SL,VF,VE,4,6.405993215,6.478250754,6.478250754,6.478250754,6.478250754,8.284689241,.,.,.,8.730769231,78.65384615,8.242307692,9.142857143,77.14285714,8.3,7.272884054
