id,Elevation,Aspect,Slope,SlopeShape,CarbonateStage,BioticCrustClass,DepthClass,PedonDepth,Depth200,H1.DryRed,H1.DryValue,H1.DryCClass,H1.MoistRed,H1.MoistValue,H1.MoistCClass,H1.Texture,H1.SandPercent,H1.SandSize,H1.ClayPercent,H1.pH,H1.EfferScale,H1.Depth,H1.DWA_AWC,Tot.DryRed,Tot.DryValue,Tot.DryCClass,Tot.MoistRed,Tot.MoistValue,Tot.MoistCClass,Tot.Texture,Tot.SandSize,Tot.EfferScale,DWAClay,DWASand,DWApH,DWA.AWHC,Sand.50,Clay.50,pH.50,DryValue.50,EfferScale.50,AWHC.50,MaxClay,MaxSand,MaxpH,MaxDryValue,MaxAWHC,MaxEffervescence
B1_1,1895.879054,40,1,LV,0,1,VeryDeep,188,0,2,6,2,2,4,2,SiL,40,VF,5,7.8,3,5,0.517811549,2,5,2,2,4,2,SL,F,4,6.574468085,64.12234043,8.035106383,10.10693588,55,7,8,5,4,12.83080608,7,85,8.2,7,19.46971424,4
B1_10,1887.039746,344,2,LV,0,0,VeryDeep,44,0,2,5,2,2,3,2,SL,50,VF,5,7.8,1,4,0.332667594,2,5,2,3,4,2,SL,F,2,7.363636364,53.52272727,8.054545455,14.87560293,70,5,8.2,6,4,9.155303766,15,75,8.2,6,22.58434366,4
B1_2,1874.542794,100,6,CL,0,1,Shallow,51,0,2,6,2,2,4,2,SL,60,F,5,7.8,0,6,1.593693315,2,6,2,2,4,2,SL,F,3,5,67.94117647,8.294117647,9.684181901,70,5,8.4,6,3,9.155303766,5,70,8.4,6,10.46442617,3
B1_3,1876.981224,170,4,LV,1,1,ModeratelyDeep,200,1,3,6,2,3,4,2,SL,60,F,5,7.8,2,7,1.604109611,3,7,2,3,5,2,SL,F,3,5.365,73.725,8.183,7.431472323,65,5,8,6,3,10.46442617,10,80,8.6,7,10.46442617,3
B1_4,1885.820532,30,3,CL,0,1,VeryDeep,187,0,2,6,2,2,4,2,SL,55,F,7,7.6,2,6,0.384924182,2,6,2,2,4,2,SL,F,2,8.058823529,67.72727273,7.790769231,9.563477495,65,10,7.8,6,2,10.43140426,10,75,7.8,7,12.83080608,3
B1_5,1882.772495,60,4,CL,1,0,VeryDeep,153,0,2,5,2,2,4,2,SL,55,F,5,6.8,0,6,0.42048572,2,6,3,2,4,3,SL,F,4,5,62.77777778,8.279084967,11.04644531,70,5,8.4,7,4,9.155303766,5,70,8.5,7,13.10513826,4
B1_6,1880.029261,270,3,VV,1,0,VeryDeep,59,0,2,6,2,2,4,2,SL,65,F,5,7.8,1,5,0.341974711,3,6,2,3,5,2,SL,F,2,5.644067797,70.6779661,8.186440678,8.952721369,75,7,8.2,7,3,7.768319141,7,75,8.4,8,10.46442617,4
B1_7,1891.611802,0,5,CL,1,1,ModeratelyDeep,116,0,2,5,2,2,3,2,SL,60,F,5,7,0,7,1.386603223,2,6,2,2,4,2,SL,F,3,5,60.47413793,8.098275862,11.57114259,60,5,8.2,6,3,11.68708431,5,65,8.6,8,11.68708431,4
B1_8,1873.32358,320,2,LL,0,1,Deep,200,1,2,6,2,2,4,2,SL,80,F,7,7.8,2,6,0.291468771,2,7,2,2,4,2,SL,F,3,6.36,71.85,8.091,7.93029323,70,5,8.1,7,3,9.155303766,10,80,8.1,7,11.35524954,3
B1_9,1892.221409,20,5,CL,0,1,VeryDeep,180,0,2,6,2,2,4,2,SL,50,F,5,7.6,1,4,0.299400834,3,6,2,3,5,2,SL,F,3,6.822222222,52.69444444,8.233333333,13.87643392,55,7,8.2,7,3,12.83080608,10,60,8.6,7,16.67161622,4
B2_1,1880.943672,350,4,LL,0,0,VeryDeep,200,1,2,6,2,2,4,2,SL,55,F,5,7.6,1,7,0.458679839,3,7,2,3,5,2,LS,M,3,3.94,68.675,8.213,9.081446422,60,5,8.2,7,3,11.68708431,5,75,8.4,7,11.68708431,3
B2_10,1880.334065,210,1,VV,1,1,Shallow,200,1,2,5,2,2,3,2,SL,50,VF,5,6.4,0,5,2.772229948,2,6,2,2,4,2,L,VF,3,7.3,52.75,8.07,13.61823236,50,8,8.2,6,3,14.3562924,8,75,8.6,7,16.41742319,4
B2_2,1881.55328,0,4,LV,0,2,VeryDeep,200,1,2,6,2,2,5,2,SL,50,F,5,7.8,2,4,0.299400834,3,8,2,3,7,2,SL,F,4,4.7,65.8,8.265,9.678883417,80,3,8.4,8,3,4.553469578,7,80,8.4,8,14.97004172,4
B2_4,1896.488661,91,1,LV,1,1,VeryDeep,107,0,2,6,3,2,4,2,SL,65,VF,5,7.3,0,4,0.209288523,3,6,3,2,4,2,SL,F,3,5.392523364,67.47663551,8.194392523,8.95325987,60,7,8,6,3,11.54200385,7,80,8.6,8,14.97004172,4
B2_5,1876.066813,200,4,LV,0,1,Deep,185,0,2,6,2,2,4,2,SL,60,F,5,7.4,2,7,0.764575609,3,7,3,3,5,3,SL,F,3,5,69.62162162,8.32972973,9.251100868,70,5,8.2,7,3,9.155303766,5,70,8.6,8,9.155303766,4
B2_6,1876.981224,10,3,CC,1,1,VeryDeep,200,1,2,6,2,2,4,2,SL,55,VF,5,7.2,0,6,0.425031511,2,7,2,2,5,2,SL,MIX,3,9.055,63.6,8.178,10.49961173,70,5,8.2,7,3,9.155303766,23,70,8.6,7,12.70284261,4
B2_7,1865.703487,0,10,CL,1,1,VeryDeep,106,0,2,6,2,2,4,2,SL,60,F,5,7.8,2,7,0.409047951,2,7,2,2,5,3,SL,F,3,6.301886792,60,8.210377358,11.59264514,60,7,8.3,7,3,11.54200385,7,60,8.3,7,11.68708431,3
B2_8,1878.810046,250,3,CL,0,1,Deep,156,0,3,6,2,3,4,2,SL,75,VF,11,8.1,3,7,0.558766196,3,6,2,3,4,2,SL,VF,4,12.36538462,68.65384615,8.226282051,9.654557672,75,10,8.2,6,4,8.284689241,18,75,8.3,6,12.70284261,4
B2_9,1894.355035,100,5,LV,1,1,VeryDeep,27,0,3,5,3,3,4,2,SL,60,F,7,7.5,0,5,0.369936021,2,5,2,2,4,2,SL,F,2,7,63.7037037,7.655555556,10.70623808,70,7,7.8,6,3,9.285436264,7,70,7.8,6,11.54200385,3
B3_1,1866.617898,310,6,CV,1,1,ModeratelyDeep,81,0,3,6,3,3,4,2,SL,60,F,5,7.6,2,6,0.865709949,3,7,2,3,6,2,SL,F,4,7.580246914,58.22222222,8.175308642,12.22625207,45,10,8.2,7,4,15.90292714,10,74,8.4,7,15.90292714,4
B3_10,1895.57425,250,5,CV,1,2,VeryDeep,42,0,2,5,2,2,4,2,SL,45,F,5,7.8,2,8,0.686370132,2,7,2,2,5,2,LS,F,3,6.80952381,70.47619048,7.961904762,8.478073096,80,3,8,7,3,4.553469578,15,80,8,7,9.885726076,3
B3_2,1890.392587,250,4,VV,1,0,Shallow,67,0,2,5,2,2,3,2,SL,55,F,5,7.6,2,4,1.248108406,3,6,2,3,4,2,SL,F,3,4.194029851,51.86567164,8.244776119,14.41924863,55,3,8.6,8,4,13.39304941,5,55,8.6,8,17.1592533,4
B3_3,1877.895635,90,2,LL,0,0,ModeratelyDeep,200,1,2,6,2,2,4,2,SL,50,F,5,7.6,2,5,1.117167293,2,7,2,2,5,2,SL,F,3,7.92,49.9,8.0075,14.33118875,55,7,8,7,3,12.83080608,20,65,8.2,7,20.52934586,3
B3_4,1873.628383,100,5,CL,0,0,VeryDeep,148,0,2,6,2,2,4,2,SL,70,F,3,7.6,0,7,0.315847167,3,7,3,3,5,3,SL,F,3,3,70.23648649,8.190540541,8.888926529,70,3,8.2,7,3,9.024204783,3,75,8.6,8,10.49185197,3
B3_5,1893.745428,35,1,CL,1,0,Deep,178,0,2,6,3,2,4,3,L,45,VF,15,7.8,3,5,0.496164922,2,5,2,2,4,2,L,VF,3,15.99438202,46.85393258,7.968539326,14.54869312,35,19,8,5,3,17.23838077,19,70,8.2,6,17.54675254,3
