id,H1_DryHue,H1_DryValue,H1_DryChroma,H1_MoistHue,H1_MoistValue,H1_MoistChroma,H1_SandPercent,H1_ClayPercent,H1_pH,H1_Effervescence,H1_Depth,H2_MaxClay,H2_MinClay,H2_MaxSand,H2_MinSand,H2_MaxpH,H2_MinpH,H2_MaxDryHue,H2_MinDryHue,H2_MaxDryValue,H2_MinDryValue,H2_MaxDryChroma,H2_MinDryChroma,H2_MaxMoistHue,H2_MinMoistHue,H2_MaxMoistValue,H2_MinMoistValue,H2_MaxMoistChroma,H2_MinMoistChroma,TotalDepth,AWC25,AWC50,AWC100,Depth50,Depth100,Depth150,Depth200,Elevation,Aspect,Slope,SlopeShape,CarbonateStage,BioticCrustClass
B1_1,2,6,4,2,4,4,40,5,7.8,3,5,7,5,85,40,8.2,8,3,2,7,5,6,4,2,2,4,3,4,4,188,16.08432199,11.37114811,12.03653698,1,1,1,0,1895.879054,40,1,LV,0,1
B1_10,2,5,4,2,3,3,50,5,7.8,1,4,15,5,75,30,8.2,8,3,2,6,5,6,4,3,2,4,4,4,4,44,19.22062115,14.87560293,14.87560293,0,0,0,0,1887.039746,344,2,LV,0,0
B1_2,2,6,4,2,4,4,60,5,7.8,0,6,5,5,70,65,8.4,8.2,2,2,6,6,4,4,2,2,5,4,4,4,51,10.23421516,9.694759464,9.684181901,1,0,0,0,1874.542794,100,6,CL,0,1
B1_3,3,6,4,3,4,4,60,5,7.8,2,7,10,3,80,65,8.6,8,3,3,7,6,4,4,3,3,5,4,4,4,200,10.80677045,10.63559831,9.787104315,1,1,1,1,1876.981224,170,4,LV,1,1
B1_4,2,6,4,2,4,4,55,7,7.6,2,6,10,3,75,55,7.8,7.8,2,2,7,6,6,4,2,2,5,4,6,4,187,10.7817522,10.60657823,10.51899125,1,1,1,0,1885.820532,30,3,CL,0,1
B1_5,2,5,4,2,4,4,55,5,6.8,0,6,5,5,70,55,8.5,7.6,2,2,7,5,6,4,2,2,5,4,6,4,153,11.3427287,10.75537234,9.955338054,1,1,1,0,1882.772495,60,4,CL,1,0
B1_6,2,6,4,2,4,4,65,5,7.8,1,5,7,5,75,65,8.4,8.2,3,3,8,6,4,3,3,3,7,5,4,4,59,9.417128247,8.842380926,8.952721369,1,0,0,0,1880.029261,270,3,VV,1,0
B1_7,2,5,4,2,3,3,60,5,7,0,7,5,5,65,60,8.6,7.6,2,2,8,5,4,2,2,2,6,4,4,4,116,11.68708431,11.68708431,11.68708431,1,1,0,0,1891.611802,0,5,CL,1,1
B1_8,2,6,4,2,4,3,80,7,7.8,2,6,10,5,80,60,8.1,8.1,2,2,7,6,4,4,2,2,6,4,4,4,200,8.310445958,8.732874862,7.517616485,1,1,1,1,1873.32358,320,2,LL,0,1
B1_9,2,6,4,2,4,4,50,5,7.6,1,4,10,5,60,45,8.6,7.8,3,3,7,5,6,4,3,3,5,4,6,4,180,12.49596829,12.7786067,12.48250583,1,1,1,0,1892.221409,20,5,CL,0,1
