,Plot,Sample,sampleWt(g),NitrogePct,ProteinPct
April sagebrush,B1_1,1,0.1084,2.0519,12.825
April sagebrush,B1_2,2,0.1278,2.0796,12.997
April sagebrush,B1_3,3,0.117,2.1825,13.641
April sagebrush,B1_5,4,0.1283,1.8675,11.672
April sagebrush,B1_6,5,0.1511,2.1854,13.659
April sagebrush,B1_7,6,0.1427,2.1451,13.407
April sagebrush,B1_9,7,0.1205,1.9978,12.486
April sagebrush,B1_10,8,0.1447,2.0997,13.123
April sagebrush,B2_2,9,0.1442,1.7615,11.009
April sagebrush,B2_4,10,0.1537,1.8701,11.688
April sagebrush,B2_5,11,0.1293,2.2534,14.084
April sagebrush,B2_6,12,0.1533,1.7848,11.155
April sagebrush,B2_7,13,0.1646,2.0211,12.632
April sagebrush,B2_9,14,0.1634,2.0343,12.715
April sagebrush,B2_10,15,0.1372,1.9548,12.217
April sagebrush,B3_1,17,0.1046,2.401,15.006
April sagebrush,B3_2,16,0.151,1.9567,12.229
April sagebrush,B3_5,18,0.1687,1.8386,11.491
April sagebrush,B3_6,19,0.1448,2.2004,13.753
April sagebrush,B3_7,20,0.1591,1.9258,12.037
April sagebrush,B3_8,21,0.1507,1.7391,10.87
April sagebrush,B3_10,22,0.1539,1.9324,12.077
April sagebrush,B4_1,23,0.1751,2.0348,12.718
April sagebrush,B4_2,24,0.1729,1.7994,11.246
April sagebrush,B4_3,25,0.1587,1.8214,11.383
April sagebrush,B4_4,26,0.1431,2.0786,12.991
April sagebrush,B4_6,27,0.1473,2.1007,13.13
April sagebrush,B4_9,28,0.1508,1.9745,12.341
April sagebrush,IL1_1,29,0.1441,1.8628,11.643
April sagebrush,IL1_4,30,0.1671,1.9879,12.424
April sagebrush,IL1_5,31,0.1734,1.9996,12.498
April sagebrush,IL1_8,32,0.1553,2.0997,13.123
April sagebrush,IL1_9,33,0.1789,1.4947,9.3416
April sagebrush,IL2_1,34,0.1465,1.669,10.431
April sagebrush,IL2_2,35,0.154,2.0325,12.703
April sagebrush,IL2_3,36,0.1675,1.8388,11.492
April sagebrush,IL2_7,37,0.1744,2.1005,13.128
April sagebrush,IL2_8,38,0.1607,2.2171,13.857
April sagebrush,IL2_10,39,0.167,2.0297,12.686
April sagebrush,IL3_1,40,0.1675,1.8647,11.654
April sagebrush,IL3_2,41,0.1731,1.8656,11.66
April sagebrush,IL3_3,42,0.1847,1.9609,12.256
April sagebrush,IL3_4,43,0.1712,1.6898,10.561
April sagebrush,IL3_6,44,0.1862,1.981,12.381
April sagebrush,IL3_9,45,0.1702,2.1432,13.395
April sagebrush,IL3_10,46,0.1829,1.9973,12.483
April sagebrush,IL4_2,47,0.183,2.0275,12.672
April sagebrush,IL4_4,48,0.1802,1.9011,11.882
April sagebrush,IL4_5,49,0.1721,2.1901,13.688
April sagebrush,IL4_8,50,0.1854,1.3164,8.2278
April sagebrush,IL4_9,51,0.1781,1.8238,11.399
April sagebrush,IL4_10,52,0.1809,2.0548,12.842
April sagebrush,M1_1,53,0.1876,1.957,12.232
April sagebrush,M1_2,54,0.1841,1.9264,12.04
April sagebrush,M1_5,55,0.1897,2.0787,12.992
April sagebrush,M1_7,56,0.1921,2.2399,14
April sagebrush,M2_1,57,0.1888,1.9173,11.983
April sagebrush,M2_3,58,0.1836,2.2154,13.846
April sagebrush,M2_6,59,0.1528,2.4239,15.15
April sagebrush,M2_9,60,0.1763,1.7052,10.658
April sagebrush,M3_2,61,0.1724,1.7347,10.842
April sagebrush,M3_3,62,0.1866,2.2016,13.76
April sagebrush,M4_2,63,0.1802,1.8756,11.722
April sagebrush,M4_3,64,0.1791,1.8635,11.647
April sagebrush,M4_6,65,0.1758,1.9042,11.901
April sagebrush,M4_7,66,0.1811,1.8624,11.64
April sagebrush,M4_9,67,0.1803,2.2503,14.065
