Plot,Plant,Nickle,Total,T-N (Wet Wt),LA1,LA2,LA3,LA4,LA AVG,Dry Wt,Wet-Dry,Total Wt/LA AVG,PctDryWeight,SLAcm,Number of leaves per sample,Dry Wt (all 10)
B1_1,1,4.98,4.986,0.0006,0.41,0.43,0.4,0.45,0.4225,0.00052,0.00008,0.00019,0.86667,812.5,10,0.0052
B1_1,2,4.984,4.992,0.0008,0.3,0.36,0.39,0.34,0.3475,0.00051,0.00029,0.00083,0.6375,681.37255,10,0.0051
B1_1,3,4.982,4.996,0.0014,0.56,0.52,0.53,0.49,0.525,0.00077,0.00063,0.0012,0.55,681.81818,10,0.0077
B1_1,4,4.982,4.994,0.0012,0.51,0.56,0.45,0.47,0.4975,0.00072,0.00048,0.00096,0.6,690.97222,10,0.0072
B1_5,1,4.984,4.998,0.0014,0.41,0.42,0.44,0.42,0.4225,0.00074,0.00066,0.00156,0.52857,570.94595,10,0.0074
B1_5,2,4.964,4.97,0.0006,0.5,0.44,0.47,0.46,0.4675,0.00077,-0.00017,-0.00036,1.28333,607.14286,10,0.0077
B1_5,3,4.968,4.984,0.0016,0.69,0.53,0.59,0.6,0.6025,0.00096,0.00064,0.00106,0.6,627.60417,10,0.0096
B1_5,4,4.974,4.978,0.0004,0.38,0.41,0.37,0.37,0.3825,0.00062,-0.00022,-0.00058,1.55,616.93548,10,0.0062
B1_7,1,4.97,4.98,0.001,0.63,0.47,0.53,0.46,0.5225,0.00084,0.00016,0.00031,0.84,622.02381,10,0.0084
B1_7,2,4.972,4.984,0.0012,0.44,0.39,0.31,0.39,0.3825,0.0006,0.0006,0.00157,0.5,637.5,10,0.006
B1_7,3,4.968,4.98,0.0012,0.58,0.53,0.53,0.49,0.5325,0.00083,0.00037,0.00069,0.69167,641.56627,10,0.0083
B1_7,4,4.972,4.986,0.0014,0.42,0.5,0.36,0.42,0.425,0.00063,0.00077,0.00181,0.45,674.60317,10,0.0063
B1_9,1,4.97,4.99,0.002,0.48,0.51,0.5,0.49,0.495,0.00083,0.00117,0.00236,0.415,596.38554,10,0.0083
B1_9,2,4.968,4.984,0.0016,0.37,0.39,0.4,0.31,0.3675,0.00053,0.00107,0.00291,0.33125,693.39623,10,0.0053
B1_9,3,4.976,4.992,0.0016,0.5,0.47,0.42,0.44,0.4575,0.00066,0.00094,0.00205,0.4125,693.18182,10,0.0066
