"ACHY","AMID","AMSIN","ARPU9","ARTR2","ARTR2.D","ARTR2.DP","ATCA2","ATCA2.D","ATCA2.DP","BOGR","BOGR.D","BRTE","BRTE.D","CHDE2","CHNAA3","CHVI8","CHVI8.DP","CLLU2","CRFL5","DEPI","DEPI.D","ECCOC","ECCOC.D","ELEL","EPVI","ERCI6","GRFA","GUSA","GUSA.D","HECO26","HECO26.D","HYACA2","JUOS","KRLA2","KRLA2.DP","LAOC3","LEMO2","MAFR3","MAFR3.DP","OENOT","OPPO","OPPO.D","OPPO.DP","PEPU7","PIED","PLPA2","SALS0","SALS0.D","SPCO","SPCR","SPCR.D","UNKSPR","BAMU","CHVI8.D","ERAB3","HIJA","JUOS.D","LAAC3","PEPU9","PIED.D","SHRO.DP","SPCO.D","UNKF10","UNKF11","UNKF14","UNKF9","YUAN2.D","AMHI","CETE5","CLLU2.D","HECO26.DP","KRLA2.D","OECA10","PHAU3","UNKFG"
0,0,0,0,0.0733333333333333,0.08,0.0266666666666667,0,0.00666666666666667,0,0.0933333333333333,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0,0,0,0,0,0.00666666666666667,0.00666666666666667,0.0133333333333333,0,0,0,0.0266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17333333333333,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.02,0.0466666666666667,0,0,0,0,0.96,0.0533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.166666666666667,0,0,0,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133333333333333,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.1,0,0.02,0.166666666666667,0,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133333333333333,0,0.0266666666666667,0,0.133333333333333,0,0,0,0.0133333333333333,0,0,0,0,0,0,0.0133333333333333,0,0.0133333333333333,0.00666666666666667,0,0,0.00666666666666667,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0133333333333333,0,0,0.06,0,0,0,0.02,0,0.02,0.146666666666667,0.0333333333333333,0.0133333333333333,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133333333333333,0,0,0,0,0.0133333333333333,0,0,0,0,0,0.0733333333333333,0,0.0733333333333333,0,0,0,0.00666666666666667,0.00666666666666667,0,0.726666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0133333333333333,0,0.0333333333333333,0,0,0.153333333333333,0.0333333333333333,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0.02,0,0.0666666666666667,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.76,0.00666666666666667,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0133333333333333,0,0.08,0,0.0133333333333333,0.466666666666667,0.0133333333333333,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0.113333333333333,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.02,0,0.0733333333333333,0,0.0133333333333333,0.553333333333333,0.0333333333333333,0.0333333333333333,0,0,0,0.0133333333333333,0,0,0,0,0,0,0,0.00666666666666667,0,0,0,0.0133333333333333,0,0.08,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0.546666666666667,0.00666666666666667,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0333333333333333,0,0,0,0.106666666666667,0.08,0.0666666666666667,0.0133333333333333,0,0.00666666666666667,0.446666666666667,0.0266666666666667,0.00666666666666667,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.0133333333333333,0,0,0.06,0,0,0,0,0,0.04,0,0,0,0,0.0133333333333333,0,0.00666666666666667,0,0,0.00666666666666667,0,0,0,0.466666666666667,0,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.00666666666666667,0,0,0,0,0.0133333333333333,0,0,0.00666666666666667,0,0.0133333333333333,0,0,0,0,0,0.00666666666666667,0,0,0,0,0,0.00666666666666667,0,0.00666666666666667,0,0,0,0,0,0,0,0.00666666666666667,0,0.106666666666667,0,0,0,0,0.0133333333333333,0,0.00666666666666667,0,0,0.0733333333333333,0,0,0,0.866666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0466666666666667,0,0,0,0,0.32,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133333333333333,0,0.213333333333333,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0.713333333333333,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
