"","ACHY","AMID","ARPU9","ARTR2","ARTR2.D","ATCA2","ATCA2.D","Bare.Soil","BOGR2","BOGR2.D","BRTE","CHLE4","CHVI8","CLLU2","ECCOC","ELEL5","EPVI","ERCI6","GRFA","GUSA2","GUSA2.D","HECO26","HECO26.D","JUOS","KRLA2","LAOC3","LEMO2","OPPO","OPPO.D","PEPU7","PIED","PLPA2","SALSO","SALSO.D","SPCO","SPCR","SPCR.D","Total.Foliar","CHVI8.D","HIJA"
"B1_1",0,0,0,15,12,0,1,27,14,1,0,0,0,0,1,0,0,0,0,1,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,176,5,220,0,0
"B1_10",0,0,0,3,7,0,0,34,144,8,0,0,0,0,0,0,0,0,0,9,0,25,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,187,0,0
"B1_2",0,0,0,0,0,18,0,35,25,0,2,0,0,0,0,0,0,2,0,4,0,20,0,0,2,0,0,4,0,1,0,0,1,0,0,111,0,176,0,0
"B1_3",2,0,9,0,0,6,0,62,22,5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,22,0,0,0,0,1,1,0,109,0,171,0,0
"B1_4",0,0,0,0,2,5,0,39,23,5,9,1,0,0,0,0,0,1,0,0,0,0,0,0,3,10,0,3,0,0,0,0,0,0,0,114,1,159,0,0
"B1_5",0,0,0,0,2,14,0,56,70,2,2,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,50,2,151,0,0
"B1_6",0,0,0,0,3,13,0,30,83,5,5,1,2,0,0,1,0,0,0,2,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,82,1,195,0,0
"B1_7",5,0,0,26,12,3,0,31,67,4,1,2,3,0,0,0,0,0,2,0,0,9,0,0,0,6,0,3,0,0,0,1,0,0,0,70,0,197,0,0
"B1_8",0,1,0,0,0,2,0,44,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,1,16,0,3,0,0,0,11,0,0,0,130,0,155,0,0
"B1_9",0,0,0,0,7,0,0,39,48,2,0,0,0,0,0,0,0,0,0,2,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0,107,2,189,0,0
"B2_1",0,4,1,0,0,0,0,67,68,4,1,0,0,1,0,0,0,0,0,0,0,7,0,0,10,8,0,15,0,0,0,1,0,0,0,61,0,171,0,0
"B2_10",0,0,0,9,10,0,0,70,62,4,0,0,0,0,0,0,0,0,4,0,0,50,2,0,1,0,0,0,0,0,0,0,0,0,0,6,0,138,0,0
"B2_2",0,0,0,0,9,7,0,44,131,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,198,0,0
"B2_4",0,0,0,3,3,0,0,30,109,5,1,0,0,0,0,0,0,0,1,0,0,10,0,0,5,0,0,0,0,0,0,0,1,0,0,39,3,174,0,0
"B2_5",4,0,0,0,6,0,0,35,106,4,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,1,0,0,0,0,0,0,0,57,2,196,0,0
"B2_6",1,0,0,0,1,1,0,47,96,3,0,0,9,0,0,0,0,0,2,0,0,29,0,0,1,0,0,4,0,0,0,1,0,0,0,21,1,163,0,0
"B2_7",1,0,0,0,18,0,2,47,102,3,0,0,1,0,1,0,0,0,0,1,1,17,0,0,0,2,1,0,0,0,0,0,0,0,0,33,0,172,0,0
"B2_8",0,0,0,0,0,0,0,83,53,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,24,1,0,0,0,0,0,0,76,5,176,0,0
"B2_9",0,0,0,5,6,1,0,69,106,6,0,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,0,0,0,0,0,0,0,0,0,30,1,171,0,0
"B3_1",4,0,0,2,6,0,0,54,70,6,0,0,0,0,0,0,1,0,0,25,2,53,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,153,0,0
"B3_10",0,0,0,16,7,3,0,41,67,2,0,0,0,0,0,1,0,0,0,1,1,18,1,5,2,0,0,0,0,0,5,0,0,1,0,42,0,157,0,0
"B3_2",0,0,0,0,2,0,0,59,62,7,0,0,0,0,0,1,0,0,0,5,0,35,1,0,4,0,0,1,0,0,0,0,0,0,0,44,0,152,0,0
"B3_3",0,0,0,0,0,1,0,86,68,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,9,2,0,32,4,122,0,0
"B3_4",0,1,0,0,0,4,0,35,102,3,1,0,0,0,0,0,0,6,0,0,0,8,0,0,0,2,0,26,0,0,0,1,1,0,0,80,1,210,0,0
"B3_5",0,0,0,0,0,0,0,69,37,0,0,0,0,1,0,0,0,2,0,1,0,2,0,1,1,0,0,0,0,0,0,0,13,1,0,92,3,143,0,0
"B3_6",2,0,0,1,23,4,0,41,88,8,0,0,1,0,0,0,0,0,0,0,1,50,3,0,0,0,0,1,0,0,0,0,0,0,0,32,0,193,0,0
"B3_7",4,0,0,2,14,5,0,47,76,4,0,0,0,0,0,0,2,0,0,21,7,59,1,0,0,0,0,0,0,0,3,0,0,0,0,5,0,185,0,0
"B3_8",0,0,0,0,2,0,0,55,113,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,11,1,134,0,0
"B3_9",0,1,0,0,0,0,0,51,139,3,1,0,0,0,0,0,0,0,1,0,0,8,1,0,0,2,0,14,0,0,0,4,0,0,0,28,1,197,0,0
"B4_1",4,0,0,1,6,2,3,46,76,4,0,0,0,0,0,0,0,0,0,6,6,58,2,0,0,0,0,1,1,0,0,0,0,0,1,23,0,171,0,0
"B4_10",2,0,0,0,5,8,0,87,43,3,0,0,1,0,0,0,0,0,0,10,3,77,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,144,0,0
"B4_2",1,0,1,1,7,6,0,48,61,3,2,0,0,0,0,0,0,0,0,8,2,6,0,0,0,0,0,4,0,1,0,0,0,0,0,26,0,124,0,0
"B4_3",0,0,0,1,17,1,0,50,104,15,0,0,0,0,0,0,0,0,0,3,2,20,0,0,0,0,1,0,0,0,6,0,0,0,0,10,0,173,0,0
"B4_4",2,0,0,0,10,0,0,55,87,8,0,0,0,0,0,0,0,0,0,0,1,33,2,1,0,0,0,1,0,0,0,0,0,0,0,37,0,175,0,0
"B4_6",0,0,0,11,5,0,0,41,40,6,0,0,0,0,0,0,0,0,0,1,1,19,0,0,2,0,0,3,0,0,0,0,0,0,0,106,2,183,0,0
"B4_7",0,0,0,0,3,5,0,24,120,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0,0,0,1,0,46,4,179,0,0
"B4_8",2,0,0,0,0,13,0,37,0,0,24,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,37,0,0,0,0,0,1,0,128,2,178,0,0
"B4_9",6,0,0,0,6,1,0,44,36,5,0,0,0,0,0,1,0,0,0,3,1,31,0,3,0,0,0,4,1,0,19,0,0,0,0,25,0,137,0,0
"IL1_1",0,0,0,33,7,0,0,67,98,5,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,164,0,2
"IL1_10",0,0,0,0,0,5,0,24,122,11,4,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,10,0,0,0,0,0,0,0,50,0,199,0,0
"IL1_3",0,0,0,0,1,8,0,30,25,3,4,0,0,0,0,0,0,9,0,0,0,1,0,0,0,3,0,10,0,0,0,0,0,0,0,119,8,174,0,0
"IL1_4",1,0,0,13,6,0,0,59,67,1,0,0,24,0,1,1,2,0,0,7,0,33,0,0,0,0,0,9,0,0,0,0,0,0,0,28,0,174,0,0
"IL1_5",6,0,0,0,7,5,0,65,31,2,1,2,0,0,0,0,2,0,0,3,5,72,1,0,0,0,0,0,0,0,0,0,1,0,2,24,0,145,0,0
"IL1_8",0,0,0,2,4,1,0,32,105,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,35,2,150,0,0
"IL1_9",0,0,3,3,1,0,0,13,16,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,78,0,0
"IL2_1",4,0,0,4,6,4,0,33,41,4,0,0,3,0,0,0,0,0,0,7,6,52,0,0,0,0,0,0,0,4,0,0,0,0,0,21,0,138,0,0
"IL2_10",0,0,0,6,11,4,0,38,72,6,0,0,10,0,1,0,0,0,0,5,3,57,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,183,0,0
"IL2_2",0,0,0,0,1,3,0,64,72,3,3,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,2,2,0,0,0,0,0,0,62,1,148,0,0
"IL2_3",1,0,1,2,9,3,0,38,128,9,0,0,0,0,0,0,0,0,0,3,0,19,0,0,0,0,0,1,0,0,0,1,0,0,0,47,2,209,0,0
"IL2_4",0,0,1,0,4,0,0,58,10,2,3,0,0,0,0,1,0,1,0,0,0,41,0,0,0,0,0,6,0,0,0,0,0,0,3,82,0,142,0,0
"IL2_5",0,1,0,0,0,0,0,41,24,2,0,0,0,0,0,0,0,3,1,0,0,4,0,0,3,2,0,14,0,0,0,3,1,0,0,132,0,176,0,0
"IL2_7",3,0,0,19,15,1,0,63,64,3,1,0,1,0,0,0,3,0,0,9,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,154,0,0
"IL2_8",0,0,1,9,4,6,0,43,19,1,2,0,0,0,1,0,0,7,0,8,2,7,0,0,0,2,0,3,0,0,0,0,0,0,0,88,0,151,0,0
"IL2_9",2,0,1,0,8,9,0,49,50,1,0,0,0,0,0,0,2,0,0,3,0,28,0,0,0,0,0,5,2,0,6,1,0,0,0,52,1,159,0,0
"IL3_1",0,0,0,0,6,3,0,50,55,1,0,0,0,0,0,0,0,0,0,13,1,28,0,0,1,0,0,0,0,0,0,0,0,0,0,69,0,169,0,0
