Site,Plot,Line,Indicator,1st Hit N,1st Hit Avg,Any Hit N,Any Hit Avg
BEEF BASIN 2013,B1_1,1,Bare Soil,3,0.050,,
BEEF BASIN 2013,B1_1,1,ACHY,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,AMID,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,AMSIN,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,ARPU9,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,ARTR2,1,0.017,1,0.017
BEEF BASIN 2013,B1_1,1,ARTR2/D,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,ARTR2/DP,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,ATCA2,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,ATCA2/D,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,ATCA2/DP,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,BOGR,1,0.017,1,0.017
BEEF BASIN 2013,B1_1,1,BOGR/D,1,0.017,1,0.017
BEEF BASIN 2013,B1_1,1,BRTE,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,BRTE/D,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,CHDE2,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,CHNAA3,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,CHVI/DP,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,CHVI8,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,CLLU2,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,CRFL5,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,DEPI,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,DEPI/D,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,ECCOC,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,ECCOC/D,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,ELEL,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,EPVI,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,ERCI6,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,GRFA,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,GUSA,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,GUSA/D,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,HECO26,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,HECO26/D,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,HYACA2,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,JUOS,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,KRLA2,0,0.000,0,0.000
BEEF BASIN 2013,B1_1,1,KRLA2/DP,0,0.000,0,0.000
