Site,Plot,Line,Indicator,1st Hit N,1st Hit Avg,Any Hit N,Any Hit Avg
BEEF BASIN 2013,IL1_1,1,Bare Soil,13,0.217,,
BEEF BASIN 2013,IL1_1,1,ACHY,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,AMID,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,AMSIN,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,ARPU9,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,ARTR2,3,0.050,3,0.050
BEEF BASIN 2013,IL1_1,1,ARTR2/D,2,0.033,2,0.033
BEEF BASIN 2013,IL1_1,1,ARTR2/DP,1,0.017,1,0.017
BEEF BASIN 2013,IL1_1,1,ATCA2,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,ATCA2/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,ATCA2/DP,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,BAMU,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,BOGR,14,0.233,15,0.250
BEEF BASIN 2013,IL1_1,1,BOGR/D,1,0.017,1,0.017
BEEF BASIN 2013,IL1_1,1,BRTE,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,CHVI/DP,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,CHVI8,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,CHVI8/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,CHVI8/DP,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,CLLU2,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,DEPI,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,ECCOC,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,ECCOC/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,ELEL,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,EPVI,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,ERAB3,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,ERCI6,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,GRFA,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,GUSA,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,GUSA/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,HECO26,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,HECO26/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,HIJA,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,JUOS,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,JUOS/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,KRLA2,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,LAAC3,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,LAOC3,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,LEMO2,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,OPPO,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,OPPO/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,OPPO/DP,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,PEPU7,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,PEPU9,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,PIED,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,PIED/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,PLPA2,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,SALSO,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,SALSO/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,SHRO/DP,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,SPCO,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,SPCO/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,SPCR,7,0.117,7,0.117
BEEF BASIN 2013,IL1_1,1,SPCR/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,UNKF10,0,0.000,1,0.017
BEEF BASIN 2013,IL1_1,1,UNKF11,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,UNKF14,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,UNKF9,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,UNKSPR,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,YUAN2/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,1,Total Foliar,28,0.467,28,0.467
BEEF BASIN 2013,IL1_1,1,Total Litter,17,0.283,0,0.000
BEEF BASIN 2013,IL1_1,2,Bare Soil,10,0.167,,
BEEF BASIN 2013,IL1_1,2,ACHY,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,AMID,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,AMSIN,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,ARPU9,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,ARTR2,4,0.067,4,0.067
BEEF BASIN 2013,IL1_1,2,ARTR2/D,1,0.017,1,0.017
BEEF BASIN 2013,IL1_1,2,ARTR2/DP,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,ATCA2,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,ATCA2/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,ATCA2/DP,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,BAMU,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,BOGR,16,0.267,19,0.317
BEEF BASIN 2013,IL1_1,2,BOGR/D,2,0.033,2,0.033
BEEF BASIN 2013,IL1_1,2,BRTE,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,CHVI/DP,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,CHVI8,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,CHVI8/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,CHVI8/DP,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,CLLU2,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,DEPI,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,ECCOC,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,ECCOC/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,ELEL,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,EPVI,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,ERAB3,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,ERCI6,1,0.017,1,0.017
BEEF BASIN 2013,IL1_1,2,GRFA,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,GUSA,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,GUSA/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,HECO26,5,0.083,5,0.083
BEEF BASIN 2013,IL1_1,2,HECO26/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,HIJA,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,JUOS,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,JUOS/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,KRLA2,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,LAAC3,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,LAOC3,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,LEMO2,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,OPPO,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,OPPO/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,OPPO/DP,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,PEPU7,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,PEPU9,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,PIED,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,PIED/D,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,PLPA2,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,SALSO,0,0.000,0,0.000
BEEF BASIN 2013,IL1_1,2,SALSO/D,0,0.000,0,0.000
