Site,Plot,Line,Indicator,1st Hit N,1st Hit Avg,Any Hit N,Any Hit Avg
BEEF BASIN 2013,M1_1,1,Bare Soil,17,0.283,,
BEEF BASIN 2013,M1_1,1,ACHY,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,AMHI,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,AMID,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,AMSIN,0,0.000,1,0.017
BEEF BASIN 2013,M1_1,1,ARPU9,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,ARTR2,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,ARTR2/D,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,ARTR2/DP,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,ATCA2,2,0.033,2,0.033
BEEF BASIN 2013,M1_1,1,ATCA2/D,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,ATCA2/DP,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,BOGR,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,BOGR/D,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,BRTE,3,0.050,3,0.050
BEEF BASIN 2013,M1_1,1,CETE5,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,CHNAA3,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,CHVI/DP,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,CHVI8,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,CHVI8/D,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,CHVI8/DP,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,CLLU2,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,CLLU2/D,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,ECCOC,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,ECCOC/D,0,0.000,0,0.000
BEEF BASIN 2013,M1_1,1,ELEL,0,0.000,0,0.000
