Site,Plot,Line,Indicator,1st Hit N,1st Hit Avg,Any Hit N,Any Hit Avg
BEEF BASIN 2013,1,1,Bare Soil,4,0.067,,
BEEF BASIN 2013,1,1,ACHY,0,0.000,0,0.000
BEEF BASIN 2013,1,1,ACHY/D,0,0.000,0,0.000
BEEF BASIN 2013,1,1,AF01,0,0.000,0,0.000
BEEF BASIN 2013,1,1,AMSIN,0,0.000,0,0.000
BEEF BASIN 2013,1,1,AMUT,0,0.000,0,0.000
BEEF BASIN 2013,1,1,AMUT/DP,0,0.000,0,0.000
BEEF BASIN 2013,1,1,ARNO4,0,0.000,0,0.000
BEEF BASIN 2013,1,1,ARPU9,0,0.000,0,0.000
BEEF BASIN 2013,1,1,ARPU9/D,0,0.000,0,0.000
BEEF BASIN 2013,1,1,ARTR2,0,0.000,0,0.000
BEEF BASIN 2013,1,1,ARTR2/D,0,0.000,0,0.000
BEEF BASIN 2013,1,1,ARTR2/DP,0,0.000,0,0.000
BEEF BASIN 2013,1,1,ATCA2,0,0.000,0,0.000
BEEF BASIN 2013,1,1,ATCA2/D,0,0.000,0,0.000
BEEF BASIN 2013,1,1,ATCA2/DP,0,0.000,0,0.000
BEEF BASIN 2013,1,1,BAMU,0,0.000,0,0.000
BEEF BASIN 2013,1,1,BOGR,0,0.000,0,0.000
BEEF BASIN 2013,1,1,BOGR/D,0,0.000,0,0.000
BEEF BASIN 2013,1,1,BOGR2,0,0.000,0,0.000
BEEF BASIN 2013,1,1,BOGR2/D,0,0.000,0,0.000
BEEF BASIN 2013,1,1,BRTE,0,0.000,0,0.000
BEEF BASIN 2013,1,1,CEIN7,2,0.033,2,0.033
BEEF BASIN 2013,1,1,CEIN7/D,1,0.017,1,0.017
BEEF BASIN 2013,1,1,CEMO2,0,0.000,0,0.000
BEEF BASIN 2013,1,1,CHVI/DP,0,0.000,0,0.000
BEEF BASIN 2013,1,1,CHVI8,0,0.000,0,0.000
BEEF BASIN 2013,1,1,CHVI8/D,2,0.033,2,0.033
BEEF BASIN 2013,1,1,CHVI8/DP,0,0.000,0,0.000
BEEF BASIN 2013,1,1,CRAN4,0,0.000,0,0.000
BEEF BASIN 2013,1,1,CRFL5,0,0.000,0,0.000
BEEF BASIN 2013,1,1,ECCO5/D,0,0.000,0,0.000
BEEF BASIN 2013,1,1,ECCOC,0,0.000,0,0.000
BEEF BASIN 2013,1,1,ECCOC/D,0,0.000,0,0.000
BEEF BASIN 2013,1,1,ELEL,0,0.000,0,0.000
BEEF BASIN 2013,1,1,ELEL5,0,0.000,0,0.000
BEEF BASIN 2013,1,1,EPVI,0,0.000,0,0.000
BEEF BASIN 2013,1,1,ERCI6,0,0.000,0,0.000
BEEF BASIN 2013,1,1,ERMI4,0,0.000,0,0.000
BEEF BASIN 2013,1,1,FRAN2,2,0.033,2,0.033
BEEF BASIN 2013,1,1,GRFA,0,0.000,0,0.000
BEEF BASIN 2013,1,1,GUMI,1,0.017,1,0.017
BEEF BASIN 2013,1,1,GUSA,0,0.000,0,0.000
BEEF BASIN 2013,1,1,GUSA/D,0,0.000,0,0.000
BEEF BASIN 2013,1,1,GUSA/DP,0,0.000,0,0.000
BEEF BASIN 2013,1,1,GUSA2,0,0.000,0,0.000
BEEF BASIN 2013,1,1,GUSA2/D,0,0.000,0,0.000
BEEF BASIN 2013,1,1,HECO26,0,0.000,0,0.000
BEEF BASIN 2013,1,1,HECO26/D,0,0.000,0,0.000
BEEF BASIN 2013,1,1,HYACA2,0,0.000,0,0.000
BEEF BASIN 2013,1,1,HYFI/D,0,0.000,0,0.000
BEEF BASIN 2013,1,1,JUOS,0,0.000,0,0.000
BEEF BASIN 2013,1,1,JUOS/D,0,0.000,0,0.000
BEEF BASIN 2013,1,1,JUOS/DP,0,0.000,0,0.000
BEEF BASIN 2013,1,1,KRLA2,0,0.000,0,0.000
BEEF BASIN 2013,1,1,KRLA2/DP,0,0.000,0,0.000
