"","ACHY","AMID","ARPU9","ARTR2","ARTR2.D","ATCA2","ATCA2.D","Bare.Soil","BOGR2","BOGR2.D","BRTE","CHLE4","CHVI8","CHVI8.D","ECCOC","ELEL5","EPVI","ERCI6","GRFA","GUSA2","GUSA2.D","HECO26","HECO26.D","JUOS","KRLA2","LEMO2","OPPO","OPPO.D","PEPU7","PHAU3","PIED","PIED.D","PLPA2","SALSO","SPCR","SPCR.D","Total.Foliar","CLLU2","LAOC3","SALSO.D","SPCO","HIJA"
"1",0,0,0,0,0,0,0,8.33333333333333,0,0,0,0,1.66666666666667,1.11111111111111,0,0,0,0,0,0,0,0,0,3.33333333333333,0,0,0,0,0,0,10.5555555555556,0,0,0,0,0,21.6666666666667,0,0,0,0,0
"2",3.88888888888889,0,0,0.555555555555556,1.11111111111111,0,0,18.3333333333333,5,0,0,0,1.11111111111111,0,0,0,0,0,0,0,0,9.44444444444444,0,12.2222222222222,0,1.11111111111111,0,0,0,0,9.44444444444444,1.11111111111111,0,0,3.88888888888889,0.555555555555556,48.8888888888889,0,0,0,0,0
"10",0.555555555555556,0,0,0,1.11111111111111,0,0,15,1.11111111111111,0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,3.88888888888889,0.555555555555556,10.5555555555556,0,0,0,0,0,0,17.7777777777778,0,0,0,0.555555555555556,0,37.7777777777778,0,0,0,0,0
"11",0,0,0,0,0,6.66666666666667,0,13.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77777777777778,0,0,0,0,0,0,0,0,0,0,0,0,46.1111111111111,1.66666666666667,55,0,0,0,0,0
"12",0,0,0,0,0,0,0,20.5555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1111111111111,0,0.555555555555556,0,0,0,0,15.5555555555556,0,0,0,0,0,33.8888888888889,0,0,0,0,0
"14",0.555555555555556,0,0,0,0,0,0,8.88888888888889,0,0,0,0,1.11111111111111,0,0,0,0,0,0,1.11111111111111,0.555555555555556,0,0,8.88888888888889,0,0.555555555555556,0,0,1.66666666666667,0.555555555555556,14.4444444444444,0.555555555555556,0,0,0,0,29.4444444444444,0,0,0,0,0
"15",0,0,0,0,0,0,0,11.6666666666667,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0,0,0,10,0,1.11111111111111,0,0,1.66666666666667,0.555555555555556,8.33333333333333,0.555555555555556,0,0,0,0,23.3333333333333,0,0,0,0,0
"16",0.555555555555556,0,0,0,0,1.11111111111111,0.555555555555556,15.5555555555556,11.1111111111111,0.555555555555556,0,0,0,0,0,0,0,0,0,2.22222222222222,0,28.3333333333333,0,1.11111111111111,0,0,0.555555555555556,0,0,0,7.22222222222222,0,0,0,0,0,54.4444444444444,0,0,0,0,0
"17",0,0,0,0,0,0,0,17.2222222222222,0,0,0,0,0,0,0,0,0,0,0,0.555555555555556,0,0,0,13.3333333333333,0,0,0,0,0,0,13.8888888888889,1.66666666666667,0,0,0,0,28.3333333333333,0,0,0,0,0
"18",0,0,0,0,0,0,0,12.7777777777778,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111,0.555555555555556,0.555555555555556,0,3.88888888888889,0,0,0,0,2.22222222222222,0.555555555555556,18.8888888888889,0,0,0,0,0,28.8888888888889,0,0,0,0,0
"19",0.555555555555556,0,0,12.2222222222222,1.66666666666667,1.11111111111111,0,25,20,2.77777777777778,0,0.555555555555556,0,0,0,0,1.11111111111111,0,0,0,0,11.6666666666667,0.555555555555556,0,0,0,0,0,0,0,0,0,0,0,0.555555555555556,0,50,0,0,0,0,0
"20",0,0,0,0,0,0,0,29.4444444444444,10,0.555555555555556,0,0,2.22222222222222,0.555555555555556,0,1.11111111111111,0,0,0,0,0,21.1111111111111,0,0,0.555555555555556,0,0,0,0,0,15.5555555555556,0,0,0,0,0,47.2222222222222,0,0,0,0,0
"21",1.66666666666667,0,0,0,1.11111111111111,2.22222222222222,0,11.1111111111111,11.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,31.1111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0.555555555555556,0,44.4444444444444,0,0,0,0,0
"23",0,0,0,0,0,3.33333333333333,0,26.1111111111111,20.5555555555556,1.66666666666667,1.66666666666667,0,0,0,0,0,0,0,0,0.555555555555556,1.66666666666667,6.11111111111111,0,0,1.11111111111111,0,0,0,0,0,0,0,0,0,1.66666666666667,0,38.8888888888889,0,0,0,0,0
"24",0,0,0,3.33333333333333,1.66666666666667,0.555555555555556,0,23.3333333333333,8.88888888888889,0,0,0,0.555555555555556,0,0,0,0.555555555555556,0,0,0,0,20,1.11111111111111,0.555555555555556,0,0,0,0,0,0,0,0,0,0,2.22222222222222,0,38.3333333333333,0,0,0,0,0
"32",0,0,0,0,0.555555555555556,2.22222222222222,0,20,37.2222222222222,3.88888888888889,0.555555555555556,0,0,0,0,0,0,0,0,0,0,2.77777777777778,0,0,1.66666666666667,0,3.88888888888889,0,0,0,0,0,0,0,8.88888888888889,0,60.5555555555556,0,0,0,0,0
"33",1.66666666666667,0,0,0.555555555555556,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44444444444444,0,0.555555555555556,0,0,2.22222222222222,0.555555555555556,9.44444444444444,10.5555555555556,0,0,0,0,36.1111111111111,0,0,0,0,0
