"","ACHY","AMID","ARPU9","ARTR2","ARTR2.D","ATCA2","ATCA2.D","Bare.Soil","BOGR2","BOGR2.D","BRTE","CHLE4","CHVI8","CLLU2","ECCOC","ELEL5","EPVI","ERCI6","GRFA","GUSA2","GUSA2.D","HECO26","HECO26.D","JUOS","KRLA2","LAOC3","LEMO2","OPPO","OPPO.D","PEPU7","PIED","PLPA2","SALSO","SALSO.D","SPCO","SPCR","SPCR.D","CHVI8.D","HIJA"
"B1_1",0,0,0,5,4,0,0.333333333333333,9,4.66666666666667,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0.666666666666667,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,58.6666666666667,1.66666666666667,0,0
"B1_10",0,0,0,1,2.33333333333333,0,0,11.3333333333333,48,2.66666666666667,0,0,0,0,0,0,0,0,0,3,0,8.33333333333333,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0
"B1_2",0,0,0,0,0,6,0,11.6666666666667,8.33333333333333,0,0.666666666666667,0,0,0,0,0,0,0.666666666666667,0,1.33333333333333,0,6.66666666666667,0,0,0.666666666666667,0,0,1.33333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0,37,0,0,0
"B1_3",0.666666666666667,0,3,0,0,2,0,20.6666666666667,7.33333333333333,1.66666666666667,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0.666666666666667,0,0,7.33333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0,36.3333333333333,0,0,0
"B1_4",0,0,0,0,0.666666666666667,1.66666666666667,0,13,7.66666666666667,1.66666666666667,3,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,1,3.33333333333333,0,1,0,0,0,0,0,0,0,38,0.333333333333333,0,0
"B1_5",0,0,0,0,0.666666666666667,4.66666666666667,0,18.6666666666667,23.3333333333333,0.666666666666667,0.666666666666667,0,0,0,0,0,0,0,0,0,0.333333333333333,5.66666666666667,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,0.666666666666667,0,0
"B1_6",0,0,0,0,1,4.33333333333333,0,10,27.6666666666667,1.66666666666667,1.66666666666667,0.333333333333333,0.666666666666667,0,0,0.333333333333333,0,0,0,0.666666666666667,0,4,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,27.3333333333333,0.333333333333333,0,0
"B1_7",1.66666666666667,0,0,8.66666666666667,4,1,0,10.3333333333333,22.3333333333333,1.33333333333333,0.333333333333333,0.666666666666667,1,0,0,0,0,0,0.666666666666667,0,0,3,0,0,0,2,0,1,0,0,0,0.333333333333333,0,0,0,23.3333333333333,0,0,0
"B1_8",0,0.333333333333333,0,0,0,0.666666666666667,0,14.6666666666667,0.333333333333333,0,0.666666666666667,0,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0.333333333333333,5.33333333333333,0,1,0,0,0,3.66666666666667,0,0,0,43.3333333333333,0,0,0
"B1_9",0,0,0,0,2.33333333333333,0,0,13,16,0.666666666666667,0,0,0,0,0,0,0,0,0,0.666666666666667,0,10.6666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,35.6666666666667,0.666666666666667,0,0
"B2_1",0,1.33333333333333,0.333333333333333,0,0,0,0,22.3333333333333,22.6666666666667,1.33333333333333,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0,0,2.33333333333333,0,0,3.33333333333333,2.66666666666667,0,5,0,0,0,0.333333333333333,0,0,0,20.3333333333333,0,0,0
"B2_10",0,0,0,3,3.33333333333333,0,0,23.3333333333333,20.6666666666667,1.33333333333333,0,0,0,0,0,0,0,0,1.33333333333333,0,0,16.6666666666667,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"B2_2",0,0,0,0,3,2.33333333333333,0,14.6666666666667,43.6666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,8.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"B2_4",0,0,0,1,1,0,0,10,36.3333333333333,1.66666666666667,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0,0,3.33333333333333,0,0,1.66666666666667,0,0,0,0,0,0,0,0.333333333333333,0,0,13,1,0,0
"B2_5",1.33333333333333,0,0,0,2,0,0,11.6666666666667,35.3333333333333,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0.333333333333333,6.33333333333333,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,19,0.666666666666667,0,0
"B2_6",0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0,15.6666666666667,32,1,0,0,3,0,0,0,0,0,0.666666666666667,0,0,9.66666666666667,0,0,0.333333333333333,0,0,1.33333333333333,0,0,0,0.333333333333333,0,0,0,7,0.333333333333333,0,0
"B2_7",0.333333333333333,0,0,0,6,0,0.666666666666667,15.6666666666667,34,1,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,5.66666666666667,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,11,0,0,0
"B2_8",0,0,0,0,0,0,0,27.6666666666667,17.6666666666667,5,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0,0,8,0.333333333333333,0,0,0,0,0,0,25.3333333333333,1.66666666666667,0,0
"B2_9",0,0,0,1.66666666666667,2,0.333333333333333,0,23,35.3333333333333,2,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,10,0.333333333333333,0,0
