,ACHY,AMID,ARPU9,ARTR2,ARTR2.D,ATCA2,ATCA2.D,BOGR2,BOGR2.D,BRTE,BRTE.D,CHDE2,CHLE4,CHNAA3,CHVI8,CLLU2,CRFL5,DEPI,DEPI.D,ECCOC,ECCOC.D,ELEL5,EPVI,ERCI6,GRFA,GUSA2,GUSA2.D,HECO26,HECO26.D,HYACA2,JUOS,KRLA2,LAOC3,LEMO2,MAFR3,OENOT,OPPO,OPPO.D,PEPU7,PIED,PLPA2,SALSO,SALSO.D,SPCO,SPCR,SPCR.D,BAMU,CHVI8.D,ERAB3,HIJA,JUOS.D,PHAU3,PIED.D,SPCO.D,YUAN2.D,CETE5,CLLU2.D,KRLA2.D,OECA10,SHRO
B1_1,0,0,0,15,12,0,1,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,176,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_10,0,0,0,3,7,0,0,144,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_2,0,0,0,0,0,18,0,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,20,0,0,0,2,0,0,0,0,4,0,1,0,0,1,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_3,2,0,9,0,0,6,0,22,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,22,0,0,0,0,1,1,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_4,0,0,0,0,2,5,0,23,5,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,0,0,0,3,0,0,0,0,0,0,0,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_5,0,0,0,0,2,14,0,70,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_6,0,0,0,0,3,13,0,83,5,5,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,2,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_7,5,0,0,26,12,3,0,67,4,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,6,0,0,0,3,0,0,0,1,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_8,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,16,0,0,0,3,0,0,0,11,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1_9,0,0,0,0,7,0,0,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,107,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2_1,0,4,1,0,0,0,0,68,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,10,8,0,0,0,15,0,0,0,1,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2_10,0,0,0,9,10,0,0,62,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,50,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
