"","ACHY","ACHY/D","AF01","AMID","AMUT","AMUT/DP","ARNO4","ARPU9","ARPU9/D","ARTR2","ARTR2/D","ARTR2/DP","ATCA2","ATCA2/D","ATCA2/DP","BAMU","Bare Soil","BOGR2","BOGR2/D","BRTE","CEMO2","CEMO2/D","CHLE4","CHVI8","CHVI8/D","CHVI8/DP","CRAN4","CRFL5","ECCOC","ECCOC/D","ELEL5","EPVI","ERCI6","ERMI4","FRAN2","GRFA","GUMI","GUSA2","GUSA2/D","GUSA2/DP","HECO26","HECO26/D","HYACA2","HYFI/D","JUOS","JUOS/D","JUOS/DP","KRLA2","KRLA2/DP","LEMO2","MAFR3","MAFR3/DP","MAGR2","OPPO","OPPO/D","OPPO/DP","PEPU7","PHAU3","PHAU3/D","PIED","PIED/D","PIED/DP","PLPA2","PSSP","SALSO","SHRO","SHRO/DP","SPCO4","SPCR","SPCR/D","STUPID","SYOR2","SYOR2/D","Total Foliar","Total Litter","UNKCLOVER","UNKF2A","YUBA","YUBA/D","YUBA/DP"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
"2",7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,2,1,0,0,0,0,0,2,7,1,0,0,0,88,0,0,0,0,0,0
"10",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,1,0,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,0,68,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,3,0,0,0,99,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,29,0,0,0,0,1,0,0,1,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,1,2,61,0,0,0,0,0,0
"14",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,16,1,0,0,0,1,0,0,0,0,0,0,3,1,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18,1,0,0,0,2,0,0,0,0,0,0,3,1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
"16",1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,51,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,98,0,0,0,3,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,1,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0
"19",1,0,0,0,0,0,0,0,0,13,3,9,2,0,0,0,0,36,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,90,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,1,0,0
"21",3,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0,0,0,0,0,0
"23",0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,37,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,70,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,5,3,1,1,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,69,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,67,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,109,0,0,0,0,0,0
"33",3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,4,1,0,17,19,0,0,0,0,4,1,0,0,0,0,0,0,65,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,4,0,0,4,0,1,0,0,53,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,98,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,29,7,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0
"40",1,0,0,0,0,0,0,0,0,1,3,1,7,0,0,0,0,33,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,100,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0,4,6,0,4,1,0,0,0,47,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,34,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,83,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,16,2,0,0,0,0,21,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,0,0,0,0,0,0,0,13,0,0,0,0,107,0,0,0,0,0,0
"47",3,0,0,0,0,0,0,0,0,1,6,0,2,0,0,0,0,48,4,0,0,0,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,4,0,0,0,0,98,0,0,0,0,0,0
"48",3,0,0,0,0,0,0,0,0,12,2,0,2,3,0,0,0,30,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,98,0,0,0,0,0,0
