"","ACHY","AMID","AMSIN","ARPU9","ARTR2","ARTR2/D","ARTR2/DP","ATCA2","ATCA2/D","ATCA2/DP","BOGR","BOGR/D","BRTE","BRTE/D","CHDE2","CHNAA3","CHVI/DP","CHVI8","CLLU2","CRFL5","DEPI","DEPI/D","ECCOC","ECCOC/D","ELEL","EPVI","ERCI6","GRFA","GUSA","GUSA/D","HECO26","HECO26/D","HYACA2","JUOS","KRLA2","KRLA2/DP","LAOC3","LEMO2","MAFR3","MAFR3/DP","OENOT","OPPO","OPPO/D","OPPO/DP","PEPU7","PIED","PLPA2","SALS0","SALS0/D","SALSO/D","SPCO","SPCR","SPCR/D","UNKSPR","BAMU","CHVI8/D","CHVI8/DP","ERAB3","HIJA","JUOS/D","LAAC3","PEPU9","PIED/D","SHRO/DP","SPCO/D","UNKF10","UNKF11","UNKF14","UNKF9","YUAN2/D","AMHI","CETE5","CLLU2/D","HECO26/DP","KRLA2/D","OECA10","PHAU3","UNKFG"
"B1_1",0,0,0,0,0.0472103004291846,0.0515021459227468,0.0171673819742489,0,0.00429184549356223,0,0.0600858369098712,0.00429184549356223,0,0,0,0,0,0,0,0,0,0,0.00429184549356223,0,0,0,0,0,0.00429184549356223,0.00429184549356223,0.00858369098712446,0,0,0,0.0171673819742489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755364806866953,0.0214592274678112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_10",0,0,0,0,0.0149253731343284,0.0348258706467662,0,0,0,0,0.716417910447761,0.0398009950248756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447761194029851,0,0.124378109452736,0,0,0,0.00995024875621891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00995024875621891,0.00497512437810945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_2",0,0,0,0,0,0,0,0.0789473684210526,0,0.0157894736842105,0.131578947368421,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105263157894737,0,0.0210526315789474,0,0.105263157894737,0,0,0,0.0105263157894737,0,0,0,0,0,0,0.0105263157894737,0,0.0105263157894737,0.00526315789473684,0,0,0.00526315789473684,0,0,0,0.58421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_3",0.0108695652173913,0,0,0.0489130434782609,0,0,0,0.016304347826087,0,0.016304347826087,0.119565217391304,0.0271739130434783,0.0108695652173913,0,0,0.00543478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108695652173913,0,0,0,0,0.0108695652173913,0,0,0,0,0,0.0597826086956522,0,0.0597826086956522,0,0,0,0.00543478260869565,0.00543478260869565,0,0,0.592391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_4",0,0,0,0,0,0.0112994350282486,0,0.0282485875706215,0,0,0.129943502824859,0.0282485875706215,0.0508474576271186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00564971751412429,0,0,0,0,0,0,0,0.0169491525423729,0,0.0564971751412429,0,0,0,0,0.0169491525423729,0,0,0,0,0,0,0,0,0,0.644067796610169,0.00564971751412429,0.00564971751412429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_5",0,0,0,0,0,0.0123456790123457,0,0.0740740740740741,0,0.0123456790123457,0.432098765432099,0.0123456790123457,0.0123456790123457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00617283950617284,0.104938271604938,0.0123456790123457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308641975308642,0.0123456790123457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_6",0,0,0,0,0,0.014218009478673,0,0.0521327014218009,0,0.00947867298578199,0.393364928909953,0.023696682464455,0.023696682464455,0,0,0,0,0.00947867298578199,0,0,0,0,0,0,0.004739336492891,0,0,0,0.00947867298578199,0,0.0568720379146919,0,0,0,0,0,0,0,0,0,0,0.004739336492891,0,0,0,0,0,0,0,0,0,0.388625592417062,0.004739336492891,0.004739336492891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_7",0.0233644859813084,0,0,0,0.0747663551401869,0.0560747663551402,0.0467289719626168,0.00934579439252336,0,0.00467289719626168,0.313084112149533,0.0186915887850467,0.00467289719626168,0,0,0,0,0.014018691588785,0,0,0,0,0,0,0,0,0,0.00934579439252336,0,0,0.0420560747663551,0,0,0,0,0,0.0280373831775701,0,0,0,0,0.00934579439252336,0,0.00467289719626168,0,0,0.00467289719626168,0,0,0,0,0.327102803738318,0,0.00934579439252336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_8",0,0,0.00588235294117647,0,0,0,0,0.0117647058823529,0,0,0.00588235294117647,0,0.0117647058823529,0,0,0,0,0,0.00588235294117647,0,0,0,0,0,0.00588235294117647,0,0.00588235294117647,0,0,0,0,0,0,0,0.00588235294117647,0,0.0941176470588235,0,0,0,0,0.0117647058823529,0,0.00588235294117647,0,0,0.0647058823529412,0,0,0,0,0.764705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_9",0,0,0,0,0,0.0348258706467662,0,0,0,0,0.238805970149254,0.00995024875621891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00995024875621891,0,0.159203980099502,0,0,0,0,0,0,0,0,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0,0.532338308457711,0.00995024875621891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
