"","L.DenM2.S","D.DenM2.S","L.D.DenM2.S","L.RelCov.S","D.RelCov.S","L.D.RelCov.S","L.RelCov.LPI","D.RelCov.LPI","L.D.RelCov.LPI","L.PropIndM2.S","L.PropCov.LPI","PG.RelCov.LPI"
"B1_1",0.0833333333333333,0.222222222222222,0.305555555555555,13.2743362831858,35.3982300884956,48.6725663716814,1.98019797502696,2.47524754415498,4.45544551918194,0.272727272727273,0.444444436925926,0.822660099
"B1_10",0.0222222222222222,0.188888888888889,0.211111111111111,3.80952380952381,32.3809523809524,36.1904761904762,10.9452736256306,6.4676617096953,17.4129353353259,0.105263157894737,0.628571427783673,0.782383419
"B1_2",0.0166666666666667,0.0222222222222222,0.0388888888888889,11.1111111111111,14.8148148148148,25.9259259259259,9.23913042188091,2.1739130520794,11.4130434739603,0.428571428571429,0.809523808698413,0.813186813
"B1_3",0.0111111111111111,0,0.0111111111111111,2.5974025974026,0,2.5974025974026,0.515463889403762,3.6082474206717,4.12371131007546,1,0.12499999409375,0.814814814
"B1_4",0,0.00555555555555556,0.00555555555555556,0,0.980392156862745,0.980392156862745,0,1.62162157801607,1.62162157801607,0,0,0.939560439
"B1_5",0,0.0777777777777778,0.0777777777777778,0,35,35,0,3.52112677119619,3.52112677119619,0,0,0.805970149
"B1_6",0.00555555555555556,0.261111111111111,0.266666666666667,1.19047619047619,55.952380952381,57.1428571428571,0.510204073180446,2.04081629272178,2.55102036590223,0.0208333333333333,0.2,0.921465968
"B1_7",0.361111111111111,0.277777777777778,0.638888888888889,49.618320610687,38.1679389312977,87.7862595419847,0,8.37438426397874,8.37438426397874,0.565217391304348,0,0.849246231
"B1_8",0,0.00555555555555556,0.00555555555555556,0,4.34782608695652,4.34782608695652,2.500000018375,1.2500000091875,3.7500000275625,0,0.666666666666667,0.071428571
"B1_9",0,0.288888888888889,0.288888888888889,0,94.5454545454545,94.5454545454545,0.469483520172364,3.75586855762305,4.22535207779541,0,0.111111100691358,0.924170616
"B2_1",0,0,0,0,0,0,0,1.36054420136054,1.36054420136054,NA,0,0.544217687
"B2_10",0.1,0.166666666666667,0.266666666666667,34.6153846153846,57.6923076923077,92.3076923076923,0,0,0,0.375,NA,0.74301676
"B2_2",0.00555555555555556,0.438888888888889,0.444444444444445,0.934579439252336,73.8317757009346,74.7663551401869,4.04624282827358,6.35838147432256,10.4046243025961,0.0125,0.388888893111111,0.596491229
"B2_4",0.05,0.255555555555556,0.305555555555556,3.71900826446281,19.0082644628099,22.7272727272727,0.60240960661199,2.40963852464073,3.01204813125272,0.163636363636364,0.19999999348,0.601226994
"B2_5",0.0611111111111111,0.227777777777778,0.288888888888889,19.2982456140351,71.9298245614035,91.2280701754386,1.47783251231527,7.88177339901478,9.35960591133005,0.211538461538462,0.157894736842105,0.86
"B2_6",0.0111111111111111,0.0166666666666667,0.0277777777777778,1.16279069767442,1.74418604651163,2.90697674418605,0,0,0,0.4,NA,0.64
"B2_7",0.0111111111111111,0.15,0.161111111111111,5.12820512820513,69.2307692307692,74.3589743589744,0,0,0,0.0689655172413793,NA,0.378109453
"B2_8",0,0.0111111111111111,0.0111111111111111,0,40,40,0,0,0,0,NA,0.631205674
"B2_9",0.0277777777777778,0.3,0.327777777777778,4.62962962962963,50,54.6296296296296,1.3953487929324,7.4418604906782,8.8372092836106,0.0847457627118644,0.157894732166205,0.867298578
"B3_1",0.0777777777777778,0.172222222222222,0.25,13.0841121495327,28.9719626168224,42.0560747663551,0.8333333,0,0.8333333,0.311111111111111,1,0.591666667
"B3_10",0.372222222222222,0.155555555555556,0.527777777777778,36.6120218579235,15.3005464480874,51.9125683060109,0,8.19672126830153,8.19672126830153,0.705263157894737,0,0.861344538
"B3_2",0.0222222222222222,0.194444444444444,0.216666666666666,1.55038759689922,13.5658914728682,15.1162790697674,0,0,0,0.102564102564103,NA,0.809210526
"B3_3",0,0,0,0,0,0,0,0,0,NA,NA,0.619834711
"B3_4",0,0.0111111111111111,0.0111111111111111,0,3.84615384615385,3.84615384615385,0,0,0,0,NA,0.494047619
"B3_5",0.00555555555555556,0,0.00555555555555556,9.09090909090909,0,9.09090909090909,0,0,0,1,NA,0.688118812
"B3_6",0.0111111111111111,0.366666666666667,0.377777777777778,2.85714285714286,94.2857142857143,97.1428571428571,0,3.24675326149435,3.24675326149435,0.0294117647058824,0,0.611842104
"B3_7",0.0333333333333333,0.3,0.333333333333333,7.89473684210526,71.0526315789474,78.9473684210526,0,0,0,0.1,NA,0.94054054
"B3_8",0.0333333333333333,0.0333333333333333,0.0666666666666666,25,25,50,2.0512820934096,13.3333333597265,15.3846154531361,0.5,0.133333335477778,0.766839377
"B3_9",0,0,0,NA,NA,NA,0.884955709233299,0.442477904174172,1.32743361340747,NA,0.666666641777777,0.839285714
"B4_1",0.0333333333333333,0.144444444444444,0.177777777777777,12.5,54.1666666666667,66.6666666666667,0,7.79220774093439,7.79220774093439,0.1875,0,0.894736843
"B4_10",0,0.233333333333333,0.233333333333333,0,76.3636363636364,76.3636363636364,1.43884890491175,0.719424500657316,2.15827340556907,0,0.666666651777778,0.619402985
"B4_2",0.05,0.0555555555555556,0.105555555555556,25.7142857142857,28.5714285714286,54.2857142857143,0,12.0370370125,12.0370370125,0.473684210526316,0,0.79245283
"B4_3",0.1,0.205555555555556,0.305555555555556,26.865671641791,55.2238805970149,82.089552238806,2.32558135157382,0,2.32558135157382,0.327272727272727,1,0.788732395
"B4_4",0,0.161111111111111,0.161111111111111,0,85.2941176470588,85.2941176470588,0,5.2000000359168,5.2000000359168,0,0,0.913934426
"B4_6",0.0666666666666667,0.122222222222222,0.188888888888889,28.5714285714286,52.3809523809524,80.9523809523809,0,0.543478271561909,0.543478271561909,0.352941176470588,0,0.883977901
"B4_7",0,0.00555555555555556,0.00555555555555556,0,7.69230769230769,7.69230769230769,0,0,0,0,NA,0.718562874
"B4_8",0,0,0,0,0,0,1.14942533201215,10.9195402656097,12.0689655976219,NA,0.0952380983038549,0.804733728
"B4_9",0.0277777777777778,0.0555555555555556,0.0833333333333334,16.1290322580645,32.258064516129,48.3870967741936,0,5.20231211746467,5.20231211746467,0.333333333333333,0,0.622093023
"IL1_1",0.272222222222222,0.127777777777778,0.4,64.4736842105263,30.2631578947368,94.7368421052632,19.8863636721074,2.27272724591942,22.1590909180269,0.680555555555556,0.897435898687048,0.601156069
"IL1_10",0,0.0333333333333333,0.0333333333333333,0,6.52173913043478,6.52173913043478,0,0,0,0,NA,0
"IL1_3",0,0,0,0,0,0,1.09890106863905,2.19780213727811,3.29670320591716,NA,0.333333333333333,0.229050279
"IL1_4",0.261111111111111,0.183333333333333,0.444444444444444,29.1925465838509,20.4968944099379,49.6894409937888,0,2.73972598770876,2.73972598770876,0.5875,0,0.085106384
"IL1_5",0.0166666666666667,0.0777777777777778,0.0944444444444445,12.5,58.3333333333333,70.8333333333333,0,0,0,0.176470588235294,NA,0.450495049
"IL1_8",0.0166666666666667,0.0555555555555556,0.0722222222222223,21.4285714285714,71.4285714285714,92.8571428571429,0,0,0,0.230769230769231,NA,0
"IL1_9",0.172222222222222,0.0333333333333333,0.205555555555555,70.4545454545455,13.6363636363636,84.0909090909091,0,0,0,0.837837837837838,NA,0.009009009
