Plot,Line,SpeciesCode,ClassAtotal,ClassBtotal,ClassCtotal,ClassDtotal,ClassEtotal,ClassTotal,,Plot,Line,Indicator,Any Hit N
2,2,ARTR2/D,0,4,7,3,0,14,,2,1,ARTR2/D,1
2,3,ARTR2/D,0,1,6,1,0,8,,2,3,ARTR2/D,1
2,4,ARTR2/D,0,0,0,0,0,0,,2,5,ARTR2/D,0
10,2,ARTR2/D,0,5,22,1,0,28,,10,1,ARTR2/D,2
10,3,ARTR2/D,0,0,0,0,0,0,,10,3,ARTR2/D,0
10,4,ARTR2/D,0,0,0,0,0,0,,10,5,ARTR2/D,0
11,2,ARTR2/D,0,1,0,0,0,1,,11,1,ARTR2/D,0
11,3,ARTR2/D,0,3,9,1,0,13,,11,3,ARTR2/D,0
11,4,ARTR2/D,0,1,1,0,0,2,,11,5,ARTR2/D,0
12,2,ARTR2/D,0,0,0,0,0,0,,12,1,ARTR2/D,0
12,3,ARTR2/D,0,0,0,0,0,0,,12,3,ARTR2/D,0
12,4,ARTR2/D,0,0,0,0,0,0,,12,5,ARTR2/D,0
14,2,ARTR2/D,0,0,0,0,0,0,,14,1,ARTR2/D,0
14,3,ARTR2/D,0,0,0,0,0,0,,14,3,ARTR2/D,0
14,4,ARTR2/D,0,0,0,0,0,0,,14,5,ARTR2/D,0
15,2,ARTR2/D,0,0,0,0,0,0,,15,1,ARTR2/D,0
15,3,ARTR2/D,0,0,0,0,0,0,,15,3,ARTR2/D,0
15,4,ARTR2/D,0,0,0,0,0,0,,15,5,ARTR2/D,0
16,2,ARTR2/D,0,1,3,0,0,4,,16,1,ARTR2/D,0
16,3,ARTR2/D,0,0,4,0,0,4,,16,3,ARTR2/D,0
16,4,ARTR2/D,0,0,4,0,0,4,,16,5,ARTR2/D,0
17,2,ARTR2/D,0,0,0,0,0,0,,17,1,ARTR2/D,0
17,3,ARTR2/D,0,0,0,0,0,0,,17,3,ARTR2/D,0
17,4,ARTR2/D,0,0,1,0,0,1,,17,5,ARTR2/D,0
18,2,ARTR2/D,0,0,0,0,0,0,,18,1,ARTR2/D,0
18,3,ARTR2/D,0,0,1,0,0,1,,18,3,ARTR2/D,0
18,4,ARTR2/D,0,1,0,0,0,1,,18,5,ARTR2/D,0
19,1,ARTR2/D,0,2,5,0,0,7,,19,1,ARTR2/D,0
19,3,ARTR2/D,0,3,4,3,0,10,,19,3,ARTR2/D,0
19,5,ARTR2/D,0,2,3,1,0,6,,19,5,ARTR2/D,3
20,2,ARTR2/D,0,0,0,0,0,0,,20,1,ARTR2/D,0
20,3,ARTR2/D,0,0,0,0,0,0,,20,3,ARTR2/D,0
20,4,ARTR2/D,0,0,0,0,0,0,,20,5,ARTR2/D,0
21,2,ARTR2/D,0,4,5,0,0,9,,21,1,ARTR2/D,0
21,3,ARTR2/D,0,7,7,0,0,14,,21,3,ARTR2/D,1
21,4,ARTR2/D,0,5,6,0,0,11,,21,5,ARTR2/D,1
23,2,ARTR2/D,0,1,1,0,0,2,,23,1,ARTR2/D,0
23,3,ARTR2/D,0,0,2,0,0,2,,23,2,ARTR2/D,0
23,4,ARTR2/D,0,0,1,0,0,1,,23,5,ARTR2/D,0
24,1,ARTR2/D,0,3,10,0,0,13,,24,1,ARTR2/D,2
24,3,ARTR2/D,0,7,5,0,0,12,,24,3,ARTR2/D,1
24,5,ARTR2/D,0,4,8,1,0,13,,24,5,ARTR2/D,0
32,1,ARTR2/D,0,1,2,2,0,5,,32,1,ARTR2/D,0
