PA,1,2,3,4,5,,,Live,Dead,None
B1_1,1,1,1,1,1,,B1_1,100,0,0
B1_10,1,1,2,1,2,,B1_10,60,40,0
B1_2,3,2,1,1,3,,B1_2,40,20,40
B1_3,3,1,3,3,3,,B1_3,20,0,80
B1_4,3,3,3,2,2,,B1_4,0,40,60
B1_5,2,2,2,2,3,,B1_5,0,80,20
B1_6,3,2,1,2,3,,B1_6,20,40,40
B1_7,1,1,1,1,1,,B1_7,100,0,0
B1_8,3,2,3,3,3,,B1_8,0,20,80
B1_9,3,2,2,2,3,,B1_9,0,60,40
B2_1,3,3,3,3,3,,B2_1,0,0,100
B2_10,1,1,1,1,1,,B2_10,100,0,0
B2_2,2,2,1,2,3,,B2_2,20,60,20
B2_4,1,1,2,1,2,,B2_4,60,40,0
B2_5,2,1,1,2,2,,B2_5,40,60,0
B2_6,3,3,1,2,3,,B2_6,20,20,60
B2_7,2,2,2,1,2,,B2_7,20,80,0
B2_8,3,3,2,3,3,,B2_8,0,20,80
B2_9,1,1,1,1,1,,B2_9,100,0,0
B3_1,3,1,1,1,2,,B3_1,60,20,20
B3_10,1,1,1,1,1,,B3_10,100,0,0
B3_2,3,2,1,1,3,,B3_2,40,20,40
B3_3,3,3,3,3,3,,B3_3,0,0,100
B3_4,3,3,3,2,3,,B3_4,0,20,80
B3_5,3,3,1,3,3,,B3_5,20,0,80
B3_6,2,2,1,1,2,,B3_6,40,60,0
B3_7,2,2,1,1,1,,B3_7,60,40,0
B3_8,3,2,1,1,3,,B3_8,40,20,40
B3_9,3,3,3,3,3,,B3_9,0,0,100
B4_1,3,1,1,1,2,,B4_1,60,20,20
B4_10,2,2,2,2,3,,B4_10,0,80,20
B4_2,2,1,1,1,1,,B4_2,80,20,0
B4_3,2,1,1,1,2,,B4_3,60,40,0
B4_4,2,2,2,2,2,,B4_4,0,100,0
B4_6,1,1,1,1,1,,B4_6,100,0,0
B4_7,3,3,2,3,2,,B4_7,0,40,60
B4_8,3,3,3,3,3,,B4_8,0,0,100
B4_9,2,1,1,2,3,,B4_9,40,40,20
IL1_1,1,1,1,1,1,,IL1_1,100,0,0
IL1_10,3,2,2,2,3,,IL1_10,0,60,40
IL1_3,3,3,3,2,3,,IL1_3,0,20,80
IL1_4,1,1,1,1,2,,IL1_4,80,20,0
IL1_5,2,1,2,1,2,,IL1_5,40,60,0
IL1_8,2,3,1,1,1,,IL1_8,60,20,20
IL1_9,3,1,1,1,1,,IL1_9,80,0,20
IL2_1,1,1,1,1,3,,IL2_1,80,0,20
IL2_10,2,2,2,2,2,,IL2_10,0,100,0
IL2_2,2,3,3,3,3,,IL2_2,0,20,80
IL2_3,1,1,1,1,2,,IL2_3,80,20,0
IL2_4,2,2,2,2,3,,IL2_4,0,80,20
IL2_5,3,3,3,3,3,,IL2_5,0,0,100
IL2_7,1,1,1,1,1,,IL2_7,100,0,0
IL2_8,1,1,1,1,3,,IL2_8,80,0,20
IL2_9,2,2,2,2,2,,IL2_9,0,100,0
IL3_1,2,2,2,1,2,,IL3_1,20,80,0
IL3_10,1,1,1,1,1,,IL3_10,100,0,0
IL3_2,2,1,1,1,1,,IL3_2,80,20,0
IL3_3,2,2,2,2,2,,IL3_3,0,100,0
IL3_4,1,1,1,1,1,,IL3_4,100,0,0
IL3_6,1,1,1,1,1,,IL3_6,100,0,0
IL3_7,3,1,1,1,2,,IL3_7,60,20,20
IL3_9,1,1,1,1,1,,IL3_9,100,0,0
IL4_10,2,1,1,1,1,,IL4_10,80,20,0
IL4_2,2,1,1,2,2,,IL4_2,40,60,0
IL4_3,3,2,2,2,2,,IL4_3,0,80,20
IL4_4,2,1,2,2,2,,IL4_4,20,80,0
IL4_5,2,1,1,1,2,,IL4_5,60,40,0
IL4_7,2,2,2,2,2,,IL4_7,0,100,0
IL4_8,3,1,1,1,2,,IL4_8,60,20,20
IL4_9,2,1,2,2,2,,IL4_9,20,80,0
M1_1,3,1,1,1,3,,M1_1,60,0,40
M1_10,3,2,3,2,3,,M1_10,0,40,60
M1_2,1,1,1,1,2,,M1_2,80,20,0
M1_4,3,2,1,2,1,,M1_4,40,40,20
M1_5,3,1,1,1,1,,M1_5,80,0,20
M1_6,3,3,3,3,3,,M1_6,0,0,100
M1_7,3,3,3,1,3,,M1_7,20,0,80
M1_8,3,3,3,3,3,,M1_8,0,0,100
M2_1,1,1,1,1,2,,M2_1,80,20,0
M2_10,1,3,3,3,3,,M2_10,20,0,80
M2_3,2,2,2,2,2,,M2_3,0,100,0
M2_5,3,3,3,3,3,,M2_5,0,0,100
M2_6,3,3,3,3,3,,M2_6,0,0,100
M2_7,3,3,3,3,3,,M2_7,0,0,100
M2_8,3,2,3,2,3,,M2_8,0,40,60
M2_9,3,2,2,1,3,,M2_9,20,40,40
M3_1,3,3,3,3,3,,M3_1,0,0,100
M3_2,2,1,1,1,1,,M3_2,80,20,0
M3_3,1,1,1,1,2,,M3_3,80,20,0
M3_5,3,2,2,2,2,,M3_5,0,80,20
M3_7,3,2,3,1,3,,M3_7,20,20,60
M3_8,2,2,2,2,2,,M3_8,0,100,0
M4_2,3,1,1,1,3,,M4_2,60,0,40
M4_3,2,2,1,1,2,,M4_3,40,60,0
M4_4,3,3,2,2,3,,M4_4,0,40,60
M4_5,3,3,3,3,3,,M4_5,0,0,100
M4_6,1,1,1,1,2,,M4_6,80,20,0
M4_7,3,1,1,2,2,,M4_7,40,40,20
M4_9,1,1,1,1,1,,M4_9,100,0,0
