Plot,ARTR2,ARTR2/D,,,Plot,ARTR2,ARTR2/D,,,
1,0,0,,,56,0,2,,,
10,0,2,,,57,4,14,,,
11,0,0,,,58,0,11,,,
12,0,0,,,59,0,6,,,
14,0,0,,,60,2,13,,,
15,0,0,,,61,0,0,,,
16,0,0,,,63,0,0,,,
17,0,0,,,64,0,0,,,
18,0,0,,,65,1,2,,,
19,22,3,,,66,0,0,,,
2,1,2,,,67,0,0,,,
20,0,0,,,68,1,3,,,
21,0,2,,,69,0,0,,,
23,0,0,,,70,0,3,,,
24,6,3,,,73,0,6,,,
32,0,1,,,76,1,5,,,
33,1,0,,,77,0,0,,,
38,4,0,,,79,2,1,,,
39,0,0,,,80,3,6,,,
40,2,3,,,82,0,6,,,
42,4,6,,,83,0,5,,,
43,11,0,,,86,1,9,,,
44,1,10,,,88,0,0,,,
47,1,6,,,89,0,1,,,
48,12,2,,,90,5,3,,,
50,10,7,,,91,0,4,,,
51,1,2,,,92,0,5,,,
52,0,15,,,93,2,1,,,
54,0,0,,,94,0,0,,,
55,0,3,,,95,1,0,,,
Plot,ARTR2,ARTR2/D,,Plot,ARTR2,ARTR2/D,,Plot,ARTR2,ARTR2/D
B1_1,15,12,,IL1_1,33,7,,M1_1,0,2
B1_10,3,7,,IL1_10,0,0,,M1_10,0,0
B1_2,0,0,,IL1_3,0,1,,M1_2,7,11
B1_3,0,0,,IL1_4,13,6,,M1_4,1,4
B1_4,0,2,,IL1_5,0,7,,M1_5,3,16
B1_5,0,2,,IL1_8,2,4,,M1_6,0,0
B1_6,0,3,,IL1_9,3,1,,M1_7,0,0
B1_7,26,12,,IL2_1,4,6,,M1_8,0,0
B1_8,0,0,,IL2_10,6,11,,M2_1,3,16
B1_9,0,7,,IL2_2,0,1,,M2_10,1,0
B2_1,0,0,,IL2_3,2,9,,M2_3,0,20
B2_10,9,10,,IL2_4,0,4,,M2_5,0,0
B2_2,0,9,,IL2_5,0,0,,M2_6,0,0
B2_4,3,3,,IL2_7,19,15,,M2_7,0,0
B2_5,0,6,,IL2_8,9,4,,M2_8,0,0
B2_6,0,1,,IL2_9,0,8,,M2_9,0,5
B2_7,0,18,,IL3_1,0,6,,M3_1,0,0
B2_8,0,0,,IL3_10,16,8,,M3_2,4,26
B2_9,5,6,,IL3_2,11,5,,M3_3,2,1
B3_1,2,6,,IL3_3,0,13,,M3_5,0,18
B3_10,16,7,,IL3_4,23,6,,M3_7,2,1
B3_2,0,2,,IL3_6,14,6,,M3_8,0,26
B3_3,0,0,,IL3_7,4,5,,M4_2,5,0
B3_4,0,0,,IL3_9,22,13,,M4_3,0,13
B3_5,0,0,,IL4_10,17,4,,M4_4,0,1
B3_6,1,23,,IL4_2,1,7,,M4_5,0,0
B3_7,2,14,,IL4_3,0,3,,M4_6,2,19
B3_8,0,2,,IL4_4,0,5,,M4_7,0,9
B3_9,0,0,,IL4_5,1,4,,M4_9,35,4
B4_1,1,6,,IL4_7,0,17,,,,
B4_10,0,5,,IL4_8,2,1,,,,
B4_2,1,7,,IL4_9,1,8,,,,
B4_3,1,17,,,,,,,,
B4_4,0,10,,,,,,,,
B4_6,11,5,,,,,,,,
B4_7,0,3,,,,,,,,
B4_8,0,0,,,,,,,,
B4_9,0,6,,,,,,,,
