"","1","2","3","4","5"
"1",0,0,0,0,0
"10",0,28,0,0,0
"11",0,1,13,2,0
"12",0,0,0,0,0
"14",0,0,0,0,0
"15",0,0,0,0,0
"16",0,4,4,4,0
"17",0,0,0,1,0
"18",0,0,1,1,0
"19",7,0,10,0,6
"2",0,14,8,0,0
"20",0,0,0,0,0
"21",0,9,14,11,0
"23",0,2,2,1,0
"24",13,0,12,0,13
"32",5,5,2,0,0
"33",0,0,0,0,0
"38",2,6,11,0,0
"39",1,0,4,0,1
"40",14,0,0,0,0
"42",15,0,16,0,23
"43",14,0,9,0,16
"44",18,0,6,0,15
"47",5,0,8,0,15
"48",12,0,9,0,12
"50",3,0,10,0,8
"51",4,0,1,0,8
"52",32,0,36,0,21
"54",0,0,2,0,2
"55",3,0,8,0,0
"56",1,1,5,0,0
"57",15,13,22,0,0
"58",23,0,22,0,25
"59",5,2,3,0,0
"60",7,5,9,0,0
"61",6,1,0,0,0
"63",0,0,0,0,0
"64",1,0,0,0,2
"65",2,6,11,0,0
"66",0,0,0,0,0
"67",2,0,1,0,0
"68",4,1,2,0,0
"69",0,0,0,0,0
"70",1,0,4,0,0
"73",7,0,19,0,21
"76",9,9,6,0,0
"77",6,0,14,0,2
"79",0,7,7,0,0
"80",16,18,21,0,0
"82",20,13,8,0,0
"83",17,13,17,0,0
"86",18,18,22,0,0
"88",3,1,0,0,0
"89",2,3,0,0,0
"90",13,13,5,0,0
"91",12,6,2,0,0
"92",9,4,13,0,0
"93",0,2,0,0,0
"94",2,4,2,0,0
"95",0,7,11,0,0
"B1_1",0,11,15,14,0
"B1_10",0,6,14,14,0
"B1_2",0,2,0,2,0
"B1_3",0,0,0,0,0
"B1_4",0,0,0,1,0
"B1_5",0,3,7,4,0
"B1_6",0,13,13,21,0
"B1_7",0,21,17,12,0
"B1_8",0,1,0,0,0
"B1_9",0,15,17,20,0
"B2_1",0,0,0,0,0
"B2_10",0,14,6,10,0
"B2_2",0,34,28,17,0
"B2_4",0,15,12,19,0
"B2_5",0,10,13,18,0
"B2_6",0,0,0,3,0
"B2_7",0,10,9,8,0
"B2_8",0,0,2,0,0
"B2_9",0,20,19,15,0
"B3_1",0,10,7,14,0
"B3_10",0,6,11,11,0
"B3_2",0,14,12,9,0
"B3_3",0,0,0,0,0
"B3_4",0,0,0,2,0
"B3_5",0,0,0,0,0
"B3_6",0,21,18,27,0
"B3_7",0,24,14,16,0
"B3_8",0,3,0,3,0
"B3_9",0,0,0,0,0
"B4_1",0,7,10,9,0
"B4_10",0,13,14,15,0
"B4_2",0,4,1,5,0
"B4_3",0,11,11,15,0
"B4_4",0,8,10,11,0
"B4_6",0,8,6,8,0
"B4_7",0,0,1,0,0
"B4_8",0,0,0,0,0
"B4_9",0,6,3,1,0
"IL1_1",0,12,4,7,0
"IL1_10",0,1,4,1,0
"IL1_3",0,0,0,1,0
"IL1_4",0,16,5,12,0
"IL1_5",0,4,6,4,0
"IL1_8",0,0,7,3,0
"IL1_9",0,3,1,3,0
"IL2_1",0,6,4,7,0
"IL2_10",0,21,18,21,0
"IL2_2",0,0,0,0,0
"IL2_3",0,16,6,10,0
"IL2_4",0,2,3,5,0
"IL2_5",0,0,0,0,0
"IL2_7",0,9,10,11,0
"IL2_8",0,5,1,3,0
"IL2_9",0,9,15,13,0
"IL3_1",0,9,13,9,0
"IL3_10",0,5,8,5,0
"IL3_2",0,3,5,8,0
"IL3_3",0,19,13,12,0
"IL3_4",0,7,11,10,0
"IL3_6",0,7,4,11,0
"IL3_7",0,3,9,10,0
"IL3_9",0,14,8,9,0
"IL4_10",0,9,5,4,0
"IL4_2",0,7,14,12,0
"IL4_3",0,1,4,7,0
"IL4_4",0,3,4,2,0
"IL4_5",0,7,2,4,0
"IL4_7",0,17,22,13,0
"IL4_8",0,0,5,5,0
"IL4_9",0,11,15,14,0
"M1_1",0,1,1,0,0
"M1_10",0,7,0,2,0
"M1_2",0,11,13,16,0
"M1_4",0,2,6,3,0
"M1_5",0,14,14,10,0
"M1_6",0,0,0,0,0
"M1_7",0,0,0,0,0
"M1_8",0,0,0,0,0
"M2_1",0,15,12,14,0
"M2_10",0,0,0,0,0
"M2_3",0,25,21,11,0
"M2_5",0,0,0,0,0
"M2_6",0,0,0,0,0
"M2_7",0,0,0,0,0
"M2_8",0,1,0,3,0
"M2_9",0,1,7,3,0
"M3_1",0,0,0,0,0
"M3_2",0,19,15,13,0
"M3_3",0,4,22,4,0
"M3_5",0,26,31,23,0
"M3_7",0,1,0,1,0
"M3_8",0,14,20,16,0
"M4_2",0,6,5,8,0
"M4_3",0,11,11,9,0
"M4_4",0,0,1,1,0
"M4_5",0,0,0,0,0
"M4_6",0,12,16,23,0
"M4_7",0,1,9,7,0
"M4_9",0,9,2,1,0
