"","1","2","3","4","5"
"1",0,0,0,0,0
"10",0,0,0,0,0
"11",0,0,0,1,0
"12",0,0,0,0,0
"14",0,0,0,0,0
"15",0,0,1,0,0
"16",0,2,1,2,0
"17",0,0,0,0,0
"18",0,0,0,0,0
"19",30,0,20,0,20
"2",0,3,2,0,0
"20",0,0,0,0,0
"21",0,0,0,0,0
"23",0,0,0,0,0
"24",9,0,7,0,7
"32",0,1,1,0,0
"33",1,0,0,0,0
"38",11,7,8,0,0
"39",5,0,1,0,7
"40",8,0,0,0,0
"42",12,0,4,0,0
"43",16,0,9,0,16
"44",9,0,11,0,15
"47",6,0,3,0,3
"48",19,0,16,0,10
"50",32,0,16,0,16
"51",0,0,1,0,0
"52",0,0,0,0,0
"54",0,0,0,0,1
"55",0,0,3,0,0
"56",0,0,0,0,0
"57",4,0,0,0,0
"58",0,0,0,0,0
"59",3,0,1,0,0
"60",0,0,0,0,0
"61",1,1,0,0,0
"63",0,0,0,0,0
"64",0,0,0,0,0
"65",2,2,3,0,0
"66",0,0,0,0,0
"67",0,0,0,0,0
"68",0,1,0,0,0
"69",0,0,0,0,0
"70",0,0,0,0,0
"73",0,0,0,0,0
"76",2,1,3,0,0
"77",0,0,2,0,2
"79",0,3,0,0,0
"80",23,19,31,0,0
"82",3,10,4,0,0
"83",5,2,6,0,0
"86",3,1,1,0,0
"88",0,0,3,0,0
"89",6,3,0,0,0
"90",8,10,3,0,0
"91",0,1,0,0,0
"92",2,0,2,0,0
"93",3,1,0,0,0
"94",0,0,0,0,0
"95",2,1,3,0,0
"B1_1",0,3,5,7,0
"B1_10",0,3,0,1,0
"B1_2",0,0,2,1,0
"B1_3",0,2,0,0,0
"B1_4",0,0,0,0,0
"B1_5",0,0,0,0,0
"B1_6",0,0,1,0,0
"B1_7",0,16,27,22,0
"B1_8",0,0,0,0,0
"B1_9",0,0,0,0,0
"B2_1",0,0,0,0,0
"B2_10",0,6,5,7,0
"B2_2",0,0,1,0,0
"B2_4",0,6,0,3,0
"B2_5",0,5,6,0,0
"B2_6",0,0,2,0,0
"B2_7",0,0,0,2,0
"B2_8",0,0,0,0,0
"B2_9",0,2,2,1,0
"B3_1",0,5,1,8,0
"B3_10",0,22,21,24,0
"B3_2",0,0,3,1,0
"B3_3",0,0,0,0,0
"B3_4",0,0,0,0,0
"B3_5",0,0,1,0,0
"B3_6",0,0,1,1,0
"B3_7",0,0,3,3,0
"B3_8",0,0,2,4,0
"B3_9",0,0,0,0,0
"B4_1",0,1,4,1,0
"B4_10",0,0,0,0,0
"B4_2",0,2,1,6,0
"B4_3",0,10,5,3,0
"B4_4",0,0,0,0,0
"B4_6",0,2,5,7,0
"B4_7",0,0,0,0,0
"B4_8",0,0,0,0,0
"B4_9",0,3,2,0,0
"IL1_1",0,11,21,17,0
"IL1_10",0,0,0,0,0
"IL1_3",0,0,0,0,0
"IL1_4",0,7,14,26,0
"IL1_5",0,2,0,1,0
"IL1_8",0,0,2,1,0
"IL1_9",0,14,6,11,0
"IL2_1",0,5,4,6,0
"IL2_10",0,3,3,2,0
"IL2_2",0,0,0,0,0
"IL2_3",0,12,7,4,0
"IL2_4",0,0,0,0,0
"IL2_5",0,0,0,0,0
"IL2_7",0,17,12,19,0
"IL2_8",0,3,5,6,0
"IL2_9",0,0,0,0,0
"IL3_1",0,0,0,1,0
"IL3_10",0,6,4,7,0
"IL3_2",0,8,13,16,0
"IL3_3",0,0,0,0,0
"IL3_4",0,27,24,20,0
"IL3_6",0,22,18,18,0
"IL3_7",0,3,5,2,0
"IL3_9",0,12,12,22,0
"IL4_10",0,12,11,4,0
"IL4_2",0,6,2,0,0
"IL4_3",0,0,0,0,0
"IL4_4",0,2,0,0,0
"IL4_5",0,1,2,5,0
"IL4_7",0,0,0,0,0
"IL4_8",0,15,19,34,0
"IL4_9",0,2,0,0,0
"M1_1",0,3,3,1,0
"M1_10",0,0,0,0,0
"M1_2",0,23,13,1,0
"M1_4",0,0,1,0,0
"M1_5",0,4,2,3,0
"M1_6",0,0,0,0,0
"M1_7",0,0,0,1,0
"M1_8",0,0,0,0,0
"M2_1",0,6,4,4,0
"M2_10",0,0,0,0,0
"M2_3",0,0,0,0,0
"M2_5",0,0,0,0,0
"M2_6",0,0,0,0,0
"M2_7",0,0,0,0,0
"M2_8",0,0,0,0,0
"M2_9",0,0,0,1,0
"M3_1",0,0,0,0,0
"M3_2",0,6,6,2,0
"M3_3",0,4,1,1,0
"M3_5",0,0,0,0,0
"M3_7",0,0,0,2,0
"M3_8",0,0,0,0,0
"M4_2",0,1,5,1,0
"M4_3",0,0,2,3,0
"M4_4",0,0,0,0,0
"M4_5",0,0,0,0,0
"M4_6",0,2,1,2,0
"M4_7",0,2,4,0,0
"M4_9",0,64,27,19,0
