"","T1","T2","T3","T4","T5"
"B1_1","  0.0"," 26.8"," 36.6"," 34.1"," 2.4"
"B1_10"," 10.0"," 15.0"," 35.0"," 35.0"," 5.0"
"B1_2","  0.0"," 50.0","  0.0"," 50.0"," 0.0"
"B1_3","  NaN","  NaN","  NaN","  NaN"," NaN"
"B1_4","  0.0","  0.0","  0.0"," 33.3","66.7"
"B1_5","  6.7"," 20.0"," 46.7"," 26.7"," 0.0"
"B1_6","  0.0"," 27.7"," 27.7"," 44.7"," 0.0"
"B1_7","  7.0"," 36.8"," 29.8"," 21.1"," 5.3"
"B1_8","  0.0","100.0","  0.0","  0.0"," 0.0"
"B1_9","  0.0"," 28.8"," 32.7"," 38.5"," 0.0"
"B2_1","  NaN","  NaN","  NaN","  NaN"," NaN"
"B2_10","  2.9"," 40.0"," 17.1"," 28.6","11.4"
"B2_2","  2.5"," 42.0"," 34.6"," 21.0"," 0.0"
"B2_4","  0.0"," 31.2"," 25.0"," 39.6"," 4.2"
"B2_5","  2.3"," 22.7"," 29.5"," 40.9"," 4.5"
"B2_6","  0.0","  0.0","  0.0","100.0"," 0.0"
"B2_7","  8.8"," 29.4"," 26.5"," 23.5","11.8"
"B2_8","  0.0","  0.0","100.0","  0.0"," 0.0"
"B2_9","  1.8"," 35.7"," 33.9"," 26.8"," 1.8"
"B3_1","  0.0"," 28.6"," 20.0"," 40.0","11.4"
"B3_10","  6.7"," 20.0"," 36.7"," 36.7"," 0.0"
"B3_2","  0.0"," 40.0"," 34.3"," 25.7"," 0.0"
"B3_3","  NaN","  NaN","  NaN","  NaN"," NaN"
"B3_4","  0.0","  0.0","  0.0","100.0"," 0.0"
"B3_5","  NaN","  NaN","  NaN","  NaN"," NaN"
"B3_6","  2.7"," 28.0"," 24.0"," 36.0"," 9.3"
"B3_7"," 11.3"," 38.7"," 22.6"," 25.8"," 1.6"
"B3_8","  0.0"," 50.0","  0.0"," 50.0"," 0.0"
"B3_9","  NaN","  NaN","  NaN","  NaN"," NaN"
"B4_1","  0.0"," 25.9"," 37.0"," 33.3"," 3.7"
"B4_10","  2.3"," 30.2"," 32.6"," 34.9"," 0.0"
"B4_2"," 13.3"," 26.7","  6.7"," 33.3","20.0"
"B4_3","  4.8"," 26.2"," 26.2"," 35.7"," 7.1"
"B4_4","  5.9"," 23.5"," 29.4"," 32.4"," 8.8"
"B4_6"," 12.0"," 32.0"," 24.0"," 32.0"," 0.0"
"B4_7","  0.0","  0.0"," 25.0","  0.0","75.0"
"B4_8","  NaN","  NaN","  NaN","  NaN"," NaN"
"B4_9"," 28.6"," 42.9"," 21.4","  7.1"," 0.0"
"IL1_1","  7.7"," 46.2"," 15.4"," 26.9"," 3.8"
"IL1_10","  0.0"," 16.7"," 66.7"," 16.7"," 0.0"
"IL1_3","  0.0","  0.0","  0.0","100.0"," 0.0"
"IL1_4","  0.0"," 47.1"," 14.7"," 35.3"," 2.9"
"IL1_5"," 11.8"," 23.5"," 35.3"," 23.5"," 5.9"
"IL1_8","  8.3","  0.0"," 58.3"," 25.0"," 8.3"
"IL1_9","  0.0"," 42.9"," 14.3"," 42.9"," 0.0"
"IL2_1","  5.6"," 33.3"," 22.2"," 38.9"," 0.0"
"IL2_10","  1.6"," 33.9"," 29.0"," 33.9"," 1.6"
"IL2_2","100.0","  0.0","  0.0","  0.0"," 0.0"
"IL2_3","  2.9"," 47.1"," 17.6"," 29.4"," 2.9"
"IL2_4"," 16.7"," 16.7"," 25.0"," 41.7"," 0.0"
"IL2_5","  NaN","  NaN","  NaN","  NaN"," NaN"
"IL2_7","  5.9"," 26.5"," 29.4"," 32.4"," 5.9"
"IL2_8"," 18.2"," 45.5","  9.1"," 27.3"," 0.0"
"IL2_9","  2.5"," 22.5"," 37.5"," 32.5"," 5.0"
"IL3_1","  3.0"," 27.3"," 39.4"," 27.3"," 3.0"
"IL3_10","  4.8"," 23.8"," 38.1"," 23.8"," 9.5"
"IL3_2"," 10.5"," 15.8"," 26.3"," 42.1"," 5.3"
"IL3_3","  6.1"," 38.8"," 26.5"," 24.5"," 4.1"
"IL3_4","  3.2"," 22.6"," 35.5"," 32.3"," 6.5"
"IL3_6","  8.3"," 29.2"," 16.7"," 45.8"," 0.0"
"IL3_7","  0.0"," 13.0"," 39.1"," 43.5"," 4.3"
"IL3_9","  5.4"," 37.8"," 21.6"," 24.3","10.8"
"IL4_10","  5.3"," 47.4"," 26.3"," 21.1"," 0.0"
"IL4_2","  7.9"," 18.4"," 36.8"," 31.6"," 5.3"
"IL4_3","  0.0","  7.7"," 30.8"," 53.8"," 7.7"
"IL4_4","  9.1"," 27.3"," 36.4"," 18.2"," 9.1"
"IL4_5"," 12.5"," 43.8"," 12.5"," 25.0"," 6.2"
"IL4_7","  5.0"," 28.3"," 36.7"," 21.7"," 8.3"
"IL4_8","  0.0","  0.0"," 45.5"," 45.5"," 9.1"
"IL4_9","  2.3"," 25.6"," 34.9"," 32.6"," 4.7"
"M1_1","  0.0"," 50.0"," 50.0","  0.0"," 0.0"
"M1_10","  0.0"," 77.8","  0.0"," 22.2"," 0.0"
"M1_2","  4.7"," 25.6"," 30.2"," 37.2"," 2.3"
"M1_4","  0.0"," 15.4"," 46.2"," 23.1","15.4"
"M1_5","  0.0"," 35.0"," 35.0"," 25.0"," 5.0"
"M1_6","  NaN","  NaN","  NaN","  NaN"," NaN"
"M1_7","  NaN","  NaN","  NaN","  NaN"," NaN"
"M1_8","  NaN","  NaN","  NaN","  NaN"," NaN"
"M2_1"," 10.0"," 30.0"," 24.0"," 28.0"," 8.0"
"M2_10","  NaN","  NaN","  NaN","  NaN"," NaN"
"M2_3","  9.2"," 38.5"," 32.3"," 16.9"," 3.1"
"M2_5","  NaN","  NaN","  NaN","  NaN"," NaN"
"M2_6","  NaN","  NaN","  NaN","  NaN"," NaN"
"M2_7","  NaN","  NaN","  NaN","  NaN"," NaN"
"M2_8","  0.0"," 25.0","  0.0"," 75.0"," 0.0"
"M2_9","  0.0","  9.1"," 63.6"," 27.3"," 0.0"
