"Row.names","LPI.LiveCount","LPI.DeadCount","LPI.PctLive","DEN.LiveCount","DEN.DeadCount","DEN.PctLive"
"1"," 0"," 0","NaN","  0"," 0","NaN"
"10"," 0"," 2","  0","  0","28","  0"
"11"," 0"," 0","NaN","  1","16","  6"
"12"," 0"," 0","NaN","  0"," 0","NaN"
"14"," 0"," 0","NaN","  0"," 0","NaN"
"15"," 0"," 0","NaN","  1"," 0","100"
"16"," 0"," 0","NaN","  5","12"," 29"
"17"," 0"," 0","NaN","  0"," 1","  0"
"18"," 0"," 0","NaN","  0"," 2","  0"
"19","22"," 3"," 88"," 70","23"," 75"
"2"," 1"," 2"," 33","  5","22"," 19"
"20"," 0"," 0","NaN","  0"," 0","NaN"
"21"," 0"," 2","  0","  0","34","  0"
"23"," 0"," 0","NaN","  0"," 5","  0"
"24"," 6"," 3"," 67"," 23","38"," 38"
"32"," 0"," 1","  0","  2","12"," 14"
"33"," 1"," 0","100","  1"," 0","100"
"38"," 4"," 0","100"," 26","19"," 58"
"39"," 0"," 0","NaN"," 13"," 6"," 68"
"40"," 2"," 3"," 40","  8","14"," 36"
"42"," 4"," 6"," 40"," 16","54"," 23"
"43","11"," 0","100"," 41","39"," 51"
"44"," 1","10","  9"," 35","39"," 47"
"47"," 1"," 6"," 14"," 12","28"," 30"
"48","12"," 2"," 86"," 45","33"," 58"
"50","10"," 7"," 59"," 64","21"," 75"
"51"," 1"," 2"," 33","  1","13","  7"
"52"," 0","15","  0","  0","89","  0"
"54"," 0"," 0","NaN","  1"," 4"," 20"
"55"," 0"," 3","  0","  3","11"," 21"
"56"," 0"," 2","  0","  0"," 7","  0"
"57"," 4","14"," 22","  4","50","  7"
"58"," 0","11","  0","  0","70","  0"
"59"," 0"," 6","  0","  4","10"," 29"
"60"," 2","13"," 13","  0","21","  0"
"61"," 0"," 0","NaN","  2"," 7"," 22"
"63"," 0"," 0","NaN","  0"," 0","NaN"
"64"," 0"," 0","NaN","  0"," 3","  0"
"65"," 1"," 2"," 33","  7","19"," 27"
"66"," 0"," 0","NaN","  0"," 0","NaN"
"67"," 0"," 0","NaN","  0"," 3","  0"
"68"," 1"," 3"," 25","  1"," 7"," 12"
"69"," 0"," 0","NaN","  0"," 0","NaN"
"70"," 0"," 3","  0","  0"," 5","  0"
"73"," 0"," 6","  0","  0","47","  0"
"76"," 1"," 5"," 17","  6","24"," 20"
"77"," 0"," 0","NaN","  4","22"," 15"
"79"," 2"," 1"," 67","  3","14"," 18"
"80"," 3"," 6"," 33"," 73","55"," 57"
"82"," 0"," 6","  0"," 17","41"," 29"
"83"," 0"," 5","  0"," 13","47"," 22"
"86"," 1"," 9"," 10","  5","58","  8"
"88"," 0"," 0","NaN","  3"," 4"," 43"
"89"," 0"," 1","  0","  9"," 5"," 64"
"90"," 5"," 3"," 62"," 21","31"," 40"
"91"," 0"," 4","  0","  1","20","  5"
"92"," 0"," 5","  0","  4","26"," 13"
"93"," 2"," 1"," 67","  4"," 2"," 67"
"94"," 0"," 0","NaN","  0"," 8","  0"
"95"," 1"," 0","100","  6","18"," 25"
"B1_1","15","12"," 56"," 15","40"," 27"
