"Plot","T1.L","T2.L","T3.L","T4.L","T5.L","T1.D","T2.D","T3.D","T4.D","T5.D","LiveTotal","DeadTotal"
"B1_1","  1.64","  4.92","  8.20"," 11.48"," 6.56","  0.000"," 18.03"," 24.59"," 22.951"," 1.639"," 32.79"," 67.21"
"B1_10","  2.22","  6.67","  0.00","  2.22"," 0.00","  8.889"," 13.33"," 31.11"," 31.111"," 4.444"," 11.11"," 88.89"
"B1_2","  0.00","  0.00"," 28.57"," 14.29"," 0.00","  0.000"," 28.57","  0.00"," 28.571"," 0.000"," 42.86"," 57.14"
"B1_3","  0.00","100.00","  0.00","  0.00"," 0.00","  0.000","  0.00","  0.00","  0.000"," 0.000","100.00","  0.00"
"B1_4","  0.00","  0.00","  0.00","  0.00"," 0.00","  0.000","  0.00","  0.00"," 33.333","66.667","  0.00","100.00"
"B1_5","  0.00","  0.00","  0.00","  0.00"," 0.00","  6.667"," 20.00"," 46.67"," 26.667"," 0.000","  0.00","100.00"
"B1_6","  0.00","  0.00","  2.08","  0.00"," 0.00","  0.000"," 27.08"," 27.08"," 43.750"," 0.000","  2.08"," 97.92"
"B1_7","  3.85"," 12.31"," 20.77"," 16.92"," 2.31","  3.077"," 16.15"," 13.08","  9.231"," 2.308"," 56.15"," 43.85"
"B1_8","  0.00","  0.00","  0.00","  0.00"," 0.00","  0.000","100.00","  0.00","  0.000"," 0.000","  0.00","100.00"
"B1_9","  0.00","  0.00","  0.00","  0.00"," 0.00","  0.000"," 28.85"," 32.69"," 38.462"," 0.000","  0.00","100.00"
"B2_1","   NaN","   NaN","   NaN","   NaN","  NaN","    NaN","   NaN","   NaN","    NaN","   NaN","   NaN","   NaN"
"B2_10","  1.79"," 10.71","  8.93"," 12.50"," 3.57","  1.786"," 25.00"," 10.71"," 17.857"," 7.143"," 37.50"," 62.50"
"B2_2","  0.00","  0.00","  1.22","  0.00"," 0.00","  2.439"," 41.46"," 34.15"," 20.732"," 0.000","  1.22"," 98.78"
"B2_4","  3.39"," 10.17","  0.00","  5.08"," 0.00","  0.000"," 25.42"," 20.34"," 32.203"," 3.390"," 18.64"," 81.36"
"B2_5","  0.00","  9.09"," 10.91","  0.00"," 0.00","  1.818"," 18.18"," 23.64"," 32.727"," 3.636"," 20.00"," 80.00"
"B2_6","  0.00","  0.00"," 40.00","  0.00"," 0.00","  0.000","  0.00","  0.00"," 60.000"," 0.000"," 40.00"," 60.00"
"B2_7","  0.00","  0.00","  0.00","  5.56"," 0.00","  8.333"," 27.78"," 25.00"," 22.222","11.111","  5.56"," 94.44"
