"","T1.x","T2.x","T3.x","T4.x","T5.x","T1.y","T2.y","T3.y","T4.y","T5.y"
"B1_1","  1.6","  4.9","  8.2"," 11.5"," 6.6","  0.00"," 18.0"," 24.6"," 23.0"," 1.6"
"B1_10","  2.2","  6.7","  0.0","  2.2"," 0.0","  8.89"," 13.3"," 31.1"," 31.1"," 4.4"
"B1_2","  0.0","  0.0"," 28.6"," 14.3"," 0.0","  0.00"," 28.6","  0.0"," 28.6"," 0.0"
"B1_3","  0.0","100.0","  0.0","  0.0"," 0.0","  0.00","  0.0","  0.0","  0.0"," 0.0"
"B1_4","  0.0","  0.0","  0.0","  0.0"," 0.0","  0.00","  0.0","  0.0"," 33.3","66.7"
"B1_5","  0.0","  0.0","  0.0","  0.0"," 0.0","  6.67"," 20.0"," 46.7"," 26.7"," 0.0"
"B1_6","  0.0","  0.0","  2.1","  0.0"," 0.0","  0.00"," 27.1"," 27.1"," 43.8"," 0.0"
"B1_7","  3.8"," 12.3"," 20.8"," 16.9"," 2.3","  3.08"," 16.2"," 13.1","  9.2"," 2.3"
"B1_8","  0.0","  0.0","  0.0","  0.0"," 0.0","  0.00","100.0","  0.0","  0.0"," 0.0"
"B1_9","  0.0","  0.0","  0.0","  0.0"," 0.0","  0.00"," 28.8"," 32.7"," 38.5"," 0.0"
"B2_1","  NaN","  NaN","  NaN","  NaN"," NaN","   NaN","  NaN","  NaN","  NaN"," NaN"
"B2_10","  1.8"," 10.7","  8.9"," 12.5"," 3.6","  1.79"," 25.0"," 10.7"," 17.9"," 7.1"
"B2_2","  0.0","  0.0","  1.2","  0.0"," 0.0","  2.44"," 41.5"," 34.1"," 20.7"," 0.0"
"B2_4","  3.4"," 10.2","  0.0","  5.1"," 0.0","  0.00"," 25.4"," 20.3"," 32.2"," 3.4"
"B2_5","  0.0","  9.1"," 10.9","  0.0"," 0.0","  1.82"," 18.2"," 23.6"," 32.7"," 3.6"
"B2_6","  0.0","  0.0"," 40.0","  0.0"," 0.0","  0.00","  0.0","  0.0"," 60.0"," 0.0"
"B2_7","  0.0","  0.0","  0.0","  5.6"," 0.0","  8.33"," 27.8"," 25.0"," 22.2","11.1"
"B2_8","  0.0","  0.0","  0.0","  0.0"," 0.0","  0.00","  0.0","100.0","  0.0"," 0.0"
"B2_9","  4.6","  3.1","  3.1","  1.5"," 1.5","  1.54"," 30.8"," 29.2"," 23.1"," 1.5"
"B3_1","  0.0"," 10.2","  2.0"," 16.3"," 0.0","  0.00"," 20.4"," 14.3"," 28.6"," 8.2"
"B3_10","  2.0"," 21.8"," 20.8"," 23.8"," 2.0","  1.98","  5.9"," 10.9"," 10.9"," 0.0"
"B3_2","  0.0","  0.0","  7.7","  2.6"," 0.0","  0.00"," 35.9"," 30.8"," 23.1"," 0.0"
"B3_3","  NaN","  NaN","  NaN","  NaN"," NaN","   NaN","  NaN","  NaN","  NaN"," NaN"
"B3_4","  0.0","  0.0","  0.0","  0.0"," 0.0","  0.00","  0.0","  0.0","100.0"," 0.0"
"B3_5","  0.0","  0.0","100.0","  0.0"," 0.0","  0.00","  0.0","  0.0","  0.0"," 0.0"
"B3_6","  0.0","  0.0","  1.3","  1.3"," 0.0","  2.60"," 27.3"," 23.4"," 35.1"," 9.1"
"B3_7","  0.0","  0.0","  4.3","  4.3"," 1.4"," 10.14"," 34.8"," 20.3"," 23.2"," 1.4"
"B3_8","  0.0","  0.0"," 16.7"," 33.3"," 0.0","  0.00"," 25.0","  0.0"," 25.0"," 0.0"
"B3_9","  NaN","  NaN","  NaN","  NaN"," NaN","   NaN","  NaN","  NaN","  NaN"," NaN"
"B4_1","  0.0","  3.0"," 12.1","  3.0"," 0.0","  0.00"," 21.2"," 30.3"," 27.3"," 3.0"
