"","1","2","3","4","5"
"1",0,0,0,0,0
"10",2,0,0,0,0
"11",0,0,0,0,0
"12",0,0,0,0,0
"14",0,0,0,0,0
"15",0,0,0,0,0
"16",0,0,0,0,0
"17",0,0,0,0,0
"18",0,0,0,0,0
"19",0,0,0,0,3
"2",1,0,1,0,0
"20",0,0,0,0,0
"21",0,0,1,0,1
"23",0,0,0,0,0
"24",2,0,1,0,0
"32",0,0,0,0,1
"33",0,0,0,0,0
"38",0,0,0,0,0
"39",0,0,0,0,0
"40",0,0,1,0,2
"42",1,0,2,0,3
"43",0,0,0,0,0
"44",5,0,2,0,3
"47",2,0,2,0,2
"48",0,0,2,0,0
"50",3,0,2,0,2
"51",0,0,0,0,2
"52",7,0,5,0,3
"54",0,0,0,0,0
"55",2,0,0,0,1
"56",1,0,1,0,0
"57",5,0,5,0,4
"58",1,0,4,0,6
"59",3,0,1,0,2
"60",0,0,8,0,5
"61",0,0,0,0,0
"63",0,0,0,0,0
"64",0,0,0,0,0
"65",0,0,1,0,1
"66",0,0,0,0,0
"67",0,0,0,0,0
"68",2,0,0,0,1
"69",0,0,0,0,0
"70",2,0,1,0,0
"73",3,0,2,0,1
"76",4,0,1,0,0
"77",0,0,0,0,0
"79",0,0,1,0,0
"80",2,0,3,0,1
"82",2,0,2,0,2
"83",4,0,0,0,1
"86",1,0,4,0,4
"88",0,0,0,0,0
"89",1,0,0,0,0
"90",1,0,1,0,1
"91",2,0,0,0,2
"92",0,0,1,0,4
"93",0,0,0,0,1
"94",0,0,0,0,0
"95",0,0,0,0,0
"B1_1",0,2,8,1,1
"B1_10",4,0,1,0,2
"B1_2",0,0,0,0,0
"B1_3",0,0,0,0,0
"B1_4",0,0,0,0,2
"B1_5",1,0,1,0,0
"B1_6",0,0,1,2,0
"B1_7",4,2,1,2,3
"B1_8",0,0,0,0,0
"B1_9",0,2,2,3,0
"B2_1",0,0,0,0,0
"B2_10",1,2,2,1,4
"B2_2",2,2,4,1,0
"B2_4",0,0,0,1,2
"B2_5",1,1,2,0,2
"B2_6",0,0,0,1,0
"B2_7",3,4,5,2,4
"B2_8",0,0,0,0,0
"B2_9",1,1,1,2,1
"B3_1",0,0,0,2,4
"B3_10",2,2,2,1,0
"B3_2",0,1,0,1,0
"B3_3",0,0,0,0,0
"B3_4",0,0,0,0,0
"B3_5",0,0,0,0,0
"B3_6",2,9,2,3,7
"B3_7",7,2,4,0,1
"B3_8",0,1,0,1,0
"B3_9",0,0,0,0,0
"B4_1",0,2,1,2,1
"B4_10",1,1,1,2,0
"B4_2",2,1,0,1,3
"B4_3",2,3,5,4,3
"B4_4",2,1,2,2,3
"B4_6",3,0,0,2,0
"B4_7",0,0,0,0,3
"B4_8",0,0,0,0,0
"B4_9",4,1,1,0,0
"IL1_1",2,1,0,3,1
"IL1_10",0,0,0,0,0
"IL1_3",0,0,0,1,0
"IL1_4",0,1,0,4,1
"IL1_5",2,1,2,1,1
"IL1_8",1,0,1,1,1
"IL1_9",0,0,1,0,0
"IL2_1",1,0,0,5,0
"IL2_10",1,4,1,4,1
"IL2_2",1,0,0,0,0
"IL2_3",1,5,1,1,1
"IL2_4",2,0,2,0,0
"IL2_5",0,0,0,0,0
"IL2_7",2,4,4,3,2
"IL2_8",2,1,1,0,0
"IL2_9",1,1,2,2,2
"IL3_1",1,0,3,1,1
"IL3_10",1,0,1,4,2
"IL3_2",2,0,1,1,1
"IL3_3",3,3,2,3,2
"IL3_4",1,1,1,1,2
"IL3_6",2,4,0,0,0
"IL3_7",0,0,1,3,1
"IL3_9",2,2,3,2,4
"IL4_10",1,0,2,1,0
"IL4_2",3,1,1,0,2
"IL4_3",0,0,0,2,1
"IL4_4",1,2,0,1,1
"IL4_5",2,1,0,0,1
"IL4_7",3,3,2,4,5
"IL4_8",0,0,0,0,1
"IL4_9",1,1,4,0,2
"M1_1",0,1,1,0,0
"M1_10",0,0,0,0,0
"M1_2",2,0,3,5,1
"M1_4",0,0,1,1,2
"M1_5",0,5,2,7,2
"M1_6",0,0,0,0,0
"M1_7",0,0,0,0,0
"M1_8",0,0,0,0,0
"M2_1",5,2,1,4,4
"M2_10",0,0,0,0,0
"M2_3",6,5,3,4,2
"M2_5",0,0,0,0,0
"M2_6",0,0,0,0,0
"M2_7",0,0,0,0,0
"M2_8",0,0,0,0,0
"M2_9",0,1,3,1,0
"M3_1",0,0,0,0,0
"M3_2",6,8,3,5,4
"M3_3",0,0,0,0,1
"M3_5",0,5,6,3,4
"M3_7",0,1,0,0,0
"M3_8",2,5,8,8,3
"M4_2",0,0,0,0,0
"M4_3",1,2,1,0,9
"M4_4",0,0,0,1,0
"M4_5",0,0,0,0,0
"M4_6",2,1,4,6,6
"M4_7",0,1,4,2,2
"M4_9",1,2,0,0,1
