"","T1","T2","T3","T4","T5"
"B1_1","  5.0"," 15"," 25.0"," 35.0","20.0"
"B1_10"," 20.0"," 60","  0.0"," 20.0"," 0.0"
"B1_2","  0.0","  0"," 66.7"," 33.3"," 0.0"
"B1_3","  0.0","100","  0.0","  0.0"," 0.0"
"B1_4","  NaN","NaN","  NaN","  NaN"," NaN"
"B1_5","  NaN","NaN","  NaN","  NaN"," NaN"
"B1_6","  0.0","  0","100.0","  0.0"," 0.0"
"B1_7","  6.8"," 22"," 37.0"," 30.1"," 4.1"
"B1_8","  NaN","NaN","  NaN","  NaN"," NaN"
"B1_9","  NaN","NaN","  NaN","  NaN"," NaN"
"B2_1","  NaN","NaN","  NaN","  NaN"," NaN"
"B2_10","  4.8"," 29"," 23.8"," 33.3"," 9.5"
"B2_2","  0.0","  0","100.0","  0.0"," 0.0"
"B2_4"," 18.2"," 55","  0.0"," 27.3"," 0.0"
"B2_5","  0.0"," 45"," 54.5","  0.0"," 0.0"
"B2_6","  0.0","  0","100.0","  0.0"," 0.0"
"B2_7","  0.0","  0","  0.0","100.0"," 0.0"
"B2_8","  NaN","NaN","  NaN","  NaN"," NaN"
"B2_9"," 33.3"," 22"," 22.2"," 11.1","11.1"
"B3_1","  0.0"," 36","  7.1"," 57.1"," 0.0"
"B3_10","  2.8"," 31"," 29.6"," 33.8"," 2.8"
"B3_2","  0.0","  0"," 75.0"," 25.0"," 0.0"
"B3_3","  NaN","NaN","  NaN","  NaN"," NaN"
"B3_4","  NaN","NaN","  NaN","  NaN"," NaN"
"B3_5","  0.0","  0","100.0","  0.0"," 0.0"
"B3_6","  0.0","  0"," 50.0"," 50.0"," 0.0"
"B3_7","  0.0","  0"," 42.9"," 42.9","14.3"
"B3_8","  0.0","  0"," 33.3"," 66.7"," 0.0"
"B3_9","  NaN","NaN","  NaN","  NaN"," NaN"
"B4_1","  0.0"," 17"," 66.7"," 16.7"," 0.0"
"B4_10","  NaN","NaN","  NaN","  NaN"," NaN"
"B4_2","  0.0"," 20"," 10.0"," 60.0","10.0"
"B4_3","  0.0"," 56"," 27.8"," 16.7"," 0.0"
"B4_4","  NaN","NaN","  NaN","  NaN"," NaN"
"B4_6"," 15.8"," 11"," 26.3"," 36.8","10.5"
"B4_7","  NaN","NaN","  NaN","  NaN"," NaN"
"B4_8","  NaN","NaN","  NaN","  NaN"," NaN"
"B4_9","  0.0"," 60"," 40.0","  0.0"," 0.0"
"IL1_1","  6.9"," 19"," 36.2"," 29.3"," 8.6"
"IL1_10","  NaN","NaN","  NaN","  NaN"," NaN"
"IL1_3","  NaN","NaN","  NaN","  NaN"," NaN"
"IL1_4"," 14.5"," 13"," 25.5"," 47.3"," 0.0"
"IL1_5","  0.0"," 67","  0.0"," 33.3"," 0.0"
"IL1_8","  0.0","  0"," 40.0"," 20.0","40.0"
"IL1_9","  0.0"," 44"," 18.8"," 34.4"," 3.1"
"IL2_1","  6.2"," 31"," 25.0"," 37.5"," 0.0"
"IL2_10"," 16.7"," 25"," 25.0"," 16.7","16.7"
"IL2_2","  NaN","NaN","  NaN","  NaN"," NaN"
"IL2_3","  4.2"," 50"," 29.2"," 16.7"," 0.0"
"IL2_4","  NaN","NaN","  NaN","  NaN"," NaN"
"IL2_5","  NaN","NaN","  NaN","  NaN"," NaN"
"IL2_7","  3.5"," 30"," 21.1"," 33.3","12.3"
"IL2_8"," 22.2"," 17"," 27.8"," 33.3"," 0.0"
"IL2_9","  NaN","NaN","  NaN","  NaN"," NaN"
"IL3_1","  0.0","  0","  0.0","100.0"," 0.0"
"IL3_10"," 25.0"," 25"," 16.7"," 29.2"," 4.2"
"IL3_2","  0.0"," 20"," 31.7"," 39.0"," 9.8"
"IL3_3","  NaN","NaN","  NaN","  NaN"," NaN"
"IL3_4","  3.9"," 36"," 31.6"," 26.3"," 2.6"
"IL3_6","  4.8"," 35"," 29.0"," 29.0"," 1.6"
"IL3_7","  0.0"," 30"," 50.0"," 20.0"," 0.0"
"IL3_9"," 10.9"," 22"," 21.8"," 40.0"," 5.5"
"IL4_10","  0.0"," 40"," 36.7"," 13.3","10.0"
"IL4_2","  0.0"," 75"," 25.0","  0.0"," 0.0"
"IL4_3","  NaN","NaN","  NaN","  NaN"," NaN"
"IL4_4","  0.0","100","  0.0","  0.0"," 0.0"
"IL4_5","  0.0"," 12"," 25.0"," 62.5"," 0.0"
"IL4_7","  NaN","NaN","  NaN","  NaN"," NaN"
"IL4_8","  0.0"," 22"," 27.9"," 50.0"," 0.0"
"IL4_9","  0.0","100","  0.0","  0.0"," 0.0"
"M1_1","  0.0"," 43"," 42.9"," 14.3"," 0.0"
"M1_10","  NaN","NaN","  NaN","  NaN"," NaN"
"M1_2","  9.8"," 56"," 31.7","  2.4"," 0.0"
"M1_4","  0.0","  0"," 50.0","  0.0","50.0"
"M1_5","  0.0"," 40"," 20.0"," 30.0","10.0"
"M1_6","  NaN","NaN","  NaN","  NaN"," NaN"
"M1_7","  0.0","  0","  0.0","100.0"," 0.0"
"M1_8","  NaN","NaN","  NaN","  NaN"," NaN"
"M2_1","  6.7"," 40"," 26.7"," 26.7"," 0.0"
"M2_10","100.0","  0","  0.0","  0.0"," 0.0"
"M2_3","  NaN","NaN","  NaN","  NaN"," NaN"
"M2_5","  NaN","NaN","  NaN","  NaN"," NaN"
"M2_6","  NaN","NaN","  NaN","  NaN"," NaN"
"M2_7","  NaN","NaN","  NaN","  NaN"," NaN"
"M2_8","  NaN","NaN","  NaN","  NaN"," NaN"
"M2_9","  0.0","  0","  0.0","100.0"," 0.0"
"M3_1","  NaN","NaN","  NaN","  NaN"," NaN"
"M3_2","  0.0"," 35"," 35.3"," 11.8","17.6"
"M3_3"," 25.0"," 50"," 12.5"," 12.5"," 0.0"
"M3_5","  NaN","NaN","  NaN","  NaN"," NaN"
"M3_7","  0.0","  0","  0.0","100.0"," 0.0"
"M3_8","  NaN","NaN","  NaN","  NaN"," NaN"
