"","1","2","3","4","5"
"1",16,0,20,0,42
"10",59,0,42,0,40
"11",76,0,53,0,73
"12",29,0,67,0,31
"14",38,0,43,0,30
"15",25,0,44,0,17
"16",73,0,56,0,72
"17",42,0,32,0,31
"18",14,0,42,0,48
"19",58,0,66,0,61
"2",53,0,47,0,79
"20",68,0,64,0,47
"21",63,0,54,0,50
"23",42,0,57,0,45
"24",48,0,49,0,43
"32",68,0,70,0,82
"33",39,0,34,0,62
"38",62,0,76,0,66
"39",28,0,72,0,27
"40",66,0,72,0,68
"42",76,0,66,0,72
"43",60,0,55,0,64
"44",74,0,78,0,77
"47",72,0,57,0,81
"48",68,0,72,0,67
"50",66,0,64,0,59
"51",36,0,28,0,25
"52",62,0,75,0,50
"54",79,0,55,0,38
"55",48,0,44,0,58
"56",37,0,43,0,26
"57",66,0,70,0,65
"58",39,0,64,0,72
"59",52,0,46,0,61
"60",66,0,62,0,56
"61",60,0,73,0,54
"63",48,0,41,0,36
"64",77,0,63,0,75
"65",47,0,42,0,43
"66",10,0,36,0,61
"67",68,0,88,0,76
"68",46,0,66,0,62
"69",78,0,61,0,66
"70",45,0,62,0,52
"73",79,0,85,0,81
"76",35,0,36,0,26
"77",72,0,85,0,64
"79",2,0,31,0,35
"80",75,0,86,0,72
"82",64,0,65,0,75
"83",72,0,58,0,68
"86",92,0,75,0,65
"88",23,0,41,0,46
"89",50,0,40,0,26
"90",81,0,66,0,80
"91",56,0,71,0,57
"92",72,0,36,0,53
"93",55,0,63,0,28
"94",22,0,21,0,50
"95",40,0,64,0,64
"B1_1",40,46,53,48,46
"B1_10",41,39,41,38,42
"B1_2",36,39,36,36,43
"B1_3",21,28,44,42,49
"B1_4",41,30,39,33,34
"B1_5",33,31,24,36,38
"B1_6",45,48,38,43,37
"B1_7",43,50,46,36,39
"B1_8",29,43,33,36,29
"B1_9",44,40,38,49,30
"B2_1",41,27,37,44,33
"B2_10",28,27,33,30,31
"B2_2",38,39,46,37,46
"B2_4",38,36,31,34,42
"B2_5",42,39,41,33,45
"B2_6",31,37,36,35,31
"B2_7",42,38,42,32,30
"B2_8",33,36,25,39,45
"B2_9",39,42,33,36,29
"B3_1",31,32,33,38,40
"B3_10",41,31,29,38,33
"B3_2",32,31,36,33,30
"B3_3",26,31,30,17,23
"B3_4",44,46,44,48,54
"B3_5",33,24,27,36,34
"B3_6",36,51,44,44,40
"B3_7",42,39,41,34,49
"B3_8",25,27,22,36,26
"B3_9",36,40,43,42,44
"B4_1",41,33,29,50,43
"B4_10",31,31,26,29,37
"B4_2",30,23,21,31,29
"B4_3",33,38,38,40,33
"B4_4",38,31,37,37,39
"B4_6",36,45,39,35,41
"B4_7",40,40,43,30,42
"B4_8",43,35,31,58,42
"B4_9",35,32,27,18,31
"IL1_1",30,34,42,36,35
"IL1_10",42,41,41,36,48
"IL1_3",38,30,37,39,47
"IL1_4",39,37,37,45,35
"IL1_5",39,29,26,31,40
"IL1_8",39,23,29,27,39
"IL1_9",24,13,16,11,16
"IL2_1",23,38,18,37,40
"IL2_10",44,36,40,46,35
"IL2_2",30,29,29,35,31
"IL2_3",47,42,51,44,42
"IL2_4",38,34,26,27,30
"IL2_5",41,34,29,44,43
"IL2_7",31,30,39,34,37
"IL2_8",39,34,27,32,29
"IL2_9",28,31,38,38,36
"IL3_1",35,38,33,39,32
"IL3_10",30,31,42,44,35
"IL3_2",33,35,37,33,32
"IL3_3",38,49,33,41,42
"IL3_4",36,39,28,29,40
"IL3_6",28,32,32,26,31
"IL3_7",30,46,37,41,49
"IL3_9",42,39,41,34,37
"IL4_10",33,47,37,32,33
"IL4_2",34,33,34,44,44
"IL4_3",29,37,46,39,31
"IL4_4",24,28,26,28,28
"IL4_5",43,38,45,29,36
"IL4_7",40,40,33,45,41
"IL4_8",30,10,10,14,20
"IL4_9",41,50,39,44,37
"M1_1",21,34,28,30,34
"M1_10",44,34,36,32,33
"M1_2",40,33,35,28,35
"M1_4",33,31,31,31,37
"M1_5",32,46,34,50,38
"M1_6",29,30,37,40,39
"M1_7",36,31,43,53,38
"M1_8",22,26,27,37,29
"M2_1",36,47,46,43,39
"M2_10",25,22,17,34,22
"M2_3",45,44,49,45,55
"M2_5",30,28,35,27,32
"M2_6",24,25,26,21,25
"M2_7",28,41,29,25,45
"M2_8",37,48,35,48,34
"M2_9",30,31,28,26,37
"M3_1",35,32,35,41,42
"M3_2",41,41,38,41,32
"M3_3",37,47,48,48,44
"M3_5",35,50,52,42,49
"M3_7",31,25,25,28,25
"M3_8",38,39,46,46,43
"M4_2",37,45,45,50,36
"M4_3",43,54,50,46,51
"M4_4",38,38,35,36,34
"M4_5",26,34,33,35,39
"M4_6",38,25,38,33,35
"M4_7",25,33,37,35,42
"M4_9",34,38,45,26,30
