"","ACHY","ACHY/D","AF01","AMHI","AMID","AMSIN","AMUT","AMUT/DP","ARNO4","ARPU9","ARPU9/D","ARTR2","ARTR2/D","ARTR2/DP","ATCA2","ATCA2/D","ATCA2/DP","BAMU","BOGR","BOGR/D","BOGR2","BOGR2/D","BRTE","BRTE/D","CEIN7","CEIN7/D","CEMO2","CETE5","CHDE2","CHNAA3","CHVI/D","CHVI/DP","CHVI8","CHVI8/D","CHVI8/DP","CLLU2","CLLU2/D","CRAN4","CRFL5","DEPI","DEPI/D","ECCO5/D","ECCOC","ECCOC/D","ELEL","ELEL5","EPVI","ERAB3","ERCI6","ERMI4","FRAN2","GRFA","GUMI","GUSA","GUSA/D","GUSA/DP","GUSA2","GUSA2/D","HECO26","HECO26/D","HECO26/DP","HIJA","HYACA2","HYFI/D","JUOS","JUOS/D","JUOS/DP","KRLA2","KRLA2/D","KRLA2/DP","LAAC3","LAOC3","LEMO2","MAFR3","MAFR3/DP","MAGR2","OECA10","OENOT","OPPO","OPPO/D","OPPO/DP","PEPU7","PEPU9","PHAU3","PHAU3/D","PHAUA3","PIED","PIED/D","PIED/DP","PLPA2","PSSP","SALS0","SALS0/D","SHRO","SHRO/DP","SPCO","SPCO/D","SPCO4","SPCR","SPCR/D","STUPID","SYOR","SYOR2","SYOR2/D","UNKCLOVER","UNKF10","UNKF11","UNKF14","UNKF2A","UNKF9","UNKFG","UNKSPR","YUAN2/D","YUBA","YUBA/D","YUBA/DP"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0.0256410256410256,0,0,0,0,0,0,0.0769230769230769,0.0512820512820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512820512820513,0,0.0256410256410256,0,0,0,0,0,0,0,0,0,0,0,0.153846153846154,0.0256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487179487179487,0,0,0,0.0256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0.0136986301369863,0,0,0,0,0,0,0,0,0,0,0,0.0273972602739726,0,0,0,0,0,0,0,0.0273972602739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273972602739726,0,0,0.0136986301369863,0,0.0958904109589041,0.0136986301369863,0,0,0,0,0.26027397260274,0.0684931506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438356164383562,0,0,0,0,0,0,0,0,0,0,0,0.0136986301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058252427184466,0,0.058252427184466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0485436893203883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805825242718447,0.029126213592233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0.0151515151515152,0.439393939393939,0,0,0,0,0,0,0,0.0151515151515152,0,0,0.0151515151515152,0,0,0,0,0,0,0,0,0,0,0.424242424242424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151515151515152,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0
"14",0.0172413793103448,0,0,0,0,0,0,0,0.0172413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172413793103448,0,0,0,0,0,0,0,0.0344827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172413793103448,0,0,0,0,0,0,0.0344827586206897,0.0172413793103448,0,0,0,0,0,0,0.275862068965517,0.0172413793103448,0,0,0,0,0,0,0.0172413793103448,0,0,0,0,0,0,0,0,0.0517241379310345,0,0.0172413793103448,0,0,0.448275862068966,0.0172413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0.409090909090909,0.0227272727272727,0,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0.0681818181818182,0,0.0227272727272727,0.0227272727272727,0,0.340909090909091,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0.00970873786407767,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194174757281553,0.00970873786407767,0,0,0,0,0.194174757281553,0.00970873786407767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00970873786407767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388349514563107,0,0.495145631067961,0,0,0,0,0,0.0194174757281553,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00970873786407767,0,0,0,0,0,0,0,0.12621359223301,0,0,0,0,0,0,0,0,0,0,0.029126213592233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029126213592233,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185185185185185,0,0,0,0,0,0,0.0185185185185185,0,0,0,0,0,0,0,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462962962962963,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384615384615385,0.0192307692307692,0.0192307692307692,0,0,0,0,0,0.134615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0.0192307692307692,0,0,0.653846153846154,0,0,0,0.0192307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0.136842105263158,0.0315789473684211,0.0947368421052632,0.0210526315789474,0,0,0,0.378947368421053,0.0526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210526315789474,0,0,0,0,0,0,0,0,0,0,0,0.221052631578947,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0.0105263157894737,0,0,0,0
