"","A","B","C","D","E"
"B1_1",3,9,29,14,0
"B1_10",0,13,24,1,0
"B1_2",0,2,3,2,0
"B1_3",1,1,0,0,0
"B1_4",0,0,1,0,0
"B1_5",0,4,9,1,0
"B1_6",0,16,22,8,2
"B1_7",6,3,66,40,0
"B1_8",0,1,0,0,0
"B1_9",0,18,30,4,0
"B2_1",0,0,0,0,0
"B2_10",0,12,34,2,0
"B2_2",0,28,48,4,0
"B2_4",0,25,30,0,0
"B2_5",2,12,32,6,0
"B2_6",0,2,3,0,0
"B2_7",0,11,16,2,0
"B2_8",0,1,1,0,0
"B2_9",0,18,38,3,0
"B3_1",2,12,30,1,0
"B3_10",0,29,56,10,0
"B3_2",1,14,24,0,0
"B3_3",0,0,0,0,0
"B3_4",0,2,0,0,0
"B3_5",0,0,1,0,0
"B3_6",0,13,44,11,0
"B3_7",0,29,27,4,0
"B3_8",0,4,8,0,0
"B3_9",0,0,0,0,0
"B4_1",0,8,23,1,0
"B4_10",0,10,32,0,0
"B4_2",1,7,11,0,0
"B4_3",1,8,31,15,0
"B4_4",0,9,19,1,0
"B4_6",0,8,20,6,0
"B4_7",0,1,0,0,0
"B4_8",0,0,0,0,0
"B4_9",0,3,12,0,0
"IL1_1",1,6,35,30,0
"IL1_10",0,3,2,1,0
"IL1_3",0,0,0,0,0
"IL1_4",2,15,57,5,1
"IL1_5",0,6,10,1,0
"IL1_8",0,1,9,3,0
"IL1_9",13,3,19,2,0
"IL2_1",0,5,27,0,0
"IL2_10",0,19,47,2,0
"IL2_2",0,0,0,0,0
"IL2_3",4,20,27,4,0
"IL2_4",0,5,5,0,0
"IL2_5",0,0,0,0,0
"IL2_7",4,6,52,16,0
"IL2_8",0,4,17,2,0
"IL2_9",4,23,9,1,0
"IL3_1",0,19,13,0,0
"IL3_10",1,3,20,11,0
"IL3_2",1,5,24,23,0
"IL3_3",0,8,34,2,0
"IL3_4",0,16,65,18,0
"IL3_6",18,11,44,7,0
"IL3_7",0,10,20,2,0
"IL3_9",0,8,57,12,0
"IL4_10",1,3,28,12,1
"IL4_2",0,9,24,8,0
"IL4_3",0,5,7,0,0
"IL4_4",0,6,5,0,0
"IL4_5",2,9,10,0,0
"IL4_7",0,11,34,7,0
"IL4_8",30,11,37,0,0
"IL4_9",0,17,25,0,0
"M1_1",0,0,4,2,1
"M1_10",0,2,7,0,0
"M1_2",0,16,55,6,0
"M1_4",0,3,9,0,0
"M1_5",0,15,24,8,0
"M1_6",0,0,0,0,0
"M1_7",0,0,1,0,0
"M1_8",0,0,0,0,0
"M2_1",0,9,43,3,0
"M2_10",0,0,0,0,0
"M2_3",0,22,34,1,0
"M2_5",0,0,0,0,0
"M2_6",0,0,0,0,0
"M2_7",0,0,0,0,0
"M2_8",0,1,3,0,0
"M2_9",0,4,5,3,0
"M3_1",0,0,0,0,0
"M3_2",2,10,42,7,0
"M3_3",1,6,28,1,0
"M3_5",0,21,51,8,0
"M3_7",0,0,3,0,0
"M3_8",0,11,35,4,0
"M4_2",3,10,13,0,0
"M4_3",0,9,26,1,0
"M4_4",0,0,2,0,0
"M4_5",0,0,0,0,0
"M4_6",1,11,39,5,0
"M4_7",1,5,15,1,0
"M4_9",11,10,85,15,1
