"","ClassAtotal","ClassBtotal","ClassCtotal","ClassDtotal","ClassEtotal"
"B1_1",4020,4060,4193.33333333333,4093.33333333333,4000
"B1_10",3400,3725,4000,3425,3400
"B1_2",400,466.666666666667,500,466.666666666667,400
"B1_3",50,50,0,0,0
"B1_4",NA,NA,Inf,NA,NA
"B1_5",NA,Inf,Inf,Inf,NA
"B1_6",4700,6300,6900,5500,4900
"B1_7",5009.23076923077,5004.61538461538,5101.53846153846,5061.53846153846,5000
"B1_8",NA,Inf,NA,NA,NA
"B1_9",NA,Inf,Inf,Inf,NA
"B2_1",NA,NA,NA,NA,NA
"B2_10",3000,3066.66666666667,3188.88888888889,3011.11111111111,3000
"B2_2",7900,10700,12700,8300,7900
"B2_4",4600,4877.77777777778,4933.33333333333,4600,4600
"B2_5",4118.18181818182,4209.09090909091,4390.90909090909,4154.54545454545,4100
"B2_6",300,400,450,300,300
"B2_7",2700,3250,3500,2800,2700
"B2_8",NA,Inf,Inf,NA,NA
"B2_9",5400,5760,6160,5460,5400
"B3_1",3114.28571428571,3185.71428571429,3314.28571428571,3107.14285714286,3100
"B3_10",2800,2843.28358208955,2883.58208955224,2814.92537313433,2800
"B3_2",3525,3850,4100,3500,3500
"B3_3",NA,NA,NA,NA,NA
"B3_4",NA,Inf,NA,NA,NA
"B3_5",0,0,100,0,0
"B3_6",6600,7250,8800,7150,6600
"B3_7",5400,5883.33333333333,5850,5466.66666666667,5400
"B3_8",600,666.666666666667,733.333333333333,600,600
"B3_9",NA,NA,NA,NA,NA
"B4_1",2600,2733.33333333333,2983.33333333333,2616.66666666667,2600
"B4_10",NA,Inf,Inf,NA,NA
"B4_2",1011.11111111111,1077.77777777778,1122.22222222222,1000,1000
"B4_3",3705.55555555556,3744.44444444444,3872.22222222222,3783.33333333333,3700
"B4_4",NA,Inf,Inf,Inf,NA
"B4_6",2200,2266.66666666667,2366.66666666667,2250,2200
"B4_7",NA,Inf,NA,NA,NA
"B4_8",NA,NA,NA,NA,NA
"B4_9",1000,1060,1240,1000,1000
"IL1_1",2302.04081632653,2312.24489795918,2371.42857142857,2361.22448979592,2300
"IL1_10",NA,Inf,Inf,Inf,NA
"IL1_3",NA,NA,NA,NA,NA
"IL1_4",3304.25531914894,3331.91489361702,3421.27659574468,3310.63829787234,3302.12765957447
"IL1_5",1400,1600,1733.33333333333,1433.33333333333,1400
"IL1_8",1000,1033.33333333333,1300,1100,1000
"IL1_9",641.935483870968,609.677419354839,661.290322580645,606.451612903226,600
"IL2_1",1700,1733.33333333333,1880,1700,1700
"IL2_10",6000,6237.5,6587.5,6025,6000
"IL2_2",NA,NA,NA,NA,NA
"IL2_3",3217.39130434783,3286.95652173913,3317.39130434783,3217.39130434783,3200
"IL2_4",NA,Inf,Inf,NA,NA
"IL2_5",NA,NA,NA,NA,NA
"IL2_7",3008.33333333333,3012.5,3108.33333333333,3033.33333333333,3000
"IL2_8",900,928.571428571429,1021.42857142857,914.285714285714,900
"IL2_9",Inf,Inf,Inf,Inf,NA
"IL3_1",3100,5000,4400,3100,3100
"IL3_10",1805.88235294118,1817.64705882353,1917.64705882353,1864.70588235294,1800
"IL3_2",1602.7027027027,1613.51351351351,1664.86486486487,1662.16216216216,1600
"IL3_3",NA,Inf,Inf,Inf,NA
"IL3_4",2800,2822.53521126761,2891.54929577465,2825.35211267606,2800
"IL3_6",2231.03448275862,2218.96551724138,2275.86206896552,2212.06896551724,2200
"IL3_7",2200,2300,2400,2220,2200
"IL3_9",3100,3117.39130434783,3223.91304347826,3126.08695652174,3100
"IL4_10",1803.7037037037,1811.11111111111,1903.7037037037,1844.44444444444,1803.7037037037
"IL4_2",3300,3412.5,3600,3400,3300
"IL4_3",NA,Inf,Inf,NA,NA
"IL4_4",900,1200,1150,900,900
"IL4_5",1325,1412.5,1425,1300,1300
"IL4_7",NA,Inf,Inf,Inf,NA
"IL4_8",1044.11764705882,1016.17647058824,1054.41176470588,1000,1000
"IL4_9",4000,4850,5250,4000,4000
"M1_1",0,0,57.1428571428571,28.5714285714286,14.2857142857143
"M1_10",NA,Inf,Inf,NA,NA
"M1_2",4000,4043.24324324324,4148.64864864865,4016.21621621622,4000
"M1_4",1100,1400,2000,1100,1100
"M1_5",3800,3966.66666666667,4066.66666666667,3888.88888888889,3800
"M1_6",NA,NA,NA,NA,NA
"M1_7",0,0,100,0,0
"M1_8",NA,NA,NA,NA,NA
"M2_1",4100,4164.28571428571,4407.14285714286,4121.42857142857,4100
"M2_10",NA,NA,NA,NA,NA
"M2_3",NA,Inf,Inf,Inf,NA
"M2_5",NA,NA,NA,NA,NA
"M2_6",NA,NA,NA,NA,NA
"M2_7",NA,NA,NA,NA,NA
"M2_8",NA,Inf,Inf,NA,NA
"M2_9",1100,1500,1600,1400,1100
"M3_1",NA,NA,NA,NA,NA
"M3_2",4714.28571428571,4771.42857142857,5000,4750,4700
"M3_3",3016.66666666667,3100,3466.66666666667,3016.66666666667,3000
"M3_5",NA,Inf,Inf,Inf,NA
"M3_7",100,100,250,100,100
"M3_8",NA,Inf,Inf,Inf,NA
"M4_2",1942.85714285714,2042.85714285714,2085.71428571429,1900,1900
"M4_3",3100,3280,3620,3120,3100
"M4_4",NA,NA,Inf,NA,NA
"M4_5",NA,NA,NA,NA,NA
"M4_6",5120,5320,5880,5200,5100
"M4_7",1616.66666666667,1683.33333333333,1850,1616.66666666667,1600
"M4_9",1210,1209.09090909091,1277.27272727273,1213.63636363636,1200.90909090909
