"","ClassAtotal","ClassBtotal","ClassCtotal","ClassDtotal","ClassEtotal"
"B1_1",0,0,10.9090909090909,16.3636363636364,0
"B1_10",0,5.26315789473684,2.63157894736842,2.63157894736842,0
"B1_2",0,0,14.2857142857143,28.5714285714286,0
"B1_3",50,50,0,0,0
"B1_4",0,0,0,0,0
"B1_5",0,0,0,0,0
"B1_6",0,0,2.08333333333333,0,0
"B1_7",5.21739130434783,0,30.4347826086957,20.8695652173913,0
"B1_8",0,0,0,0,0
"B1_9",0,0,0,0,0
"B2_1",NA,NA,NA,NA,NA
"B2_10",0,8.33333333333333,25,4.16666666666667,0
"B2_2",0,0,1.25,0,0
"B2_4",0,1.81818181818182,14.5454545454545,0,0
"B2_5",3.84615384615385,0,13.4615384615385,3.84615384615385,0
"B2_6",0,0,40,0,0
"B2_7",0,6.89655172413793,0,0,0
"B2_8",0,0,0,0,0
"B2_9",0,0,8.47457627118644,0,0
"B3_1",4.44444444444444,4.44444444444444,22.2222222222222,0,0
"B3_10",0,20,41.0526315789474,9.47368421052632,0
"B3_2",2.56410256410256,2.56410256410256,5.12820512820513,0,0
"B3_3",NA,NA,NA,NA,NA
"B3_4",0,0,0,0,0
"B3_5",0,0,100,0,0
"B3_6",0,0,1.47058823529412,1.47058823529412,0
"B3_7",0,5,5,0,0
"B3_8",0,0,50,0,0
"B3_9",NA,NA,NA,NA,NA
"B4_1",0,6.25,9.375,3.125,0
"B4_10",0,0,0,0,0
"B4_2",5.26315789473684,10.5263157894737,31.5789473684211,0,0
"B4_3",1.81818181818182,0,18.1818181818182,12.7272727272727,0
"B4_4",0,0,0,0,0
"B4_6",0,2.94117647058824,23.5294117647059,8.82352941176471,0
"B4_7",0,0,0,0,0
"B4_8",NA,NA,NA,NA,NA
"B4_9",0,0,33.3333333333333,0,0
"IL1_1",1.38888888888889,1.38888888888889,30.5555555555556,34.7222222222222,0
"IL1_10",0,0,0,0,0
"IL1_3",NA,NA,NA,NA,NA
"IL1_4",2.5,2.5,48.75,5,0
"IL1_5",0,0,11.7647058823529,5.88235294117647,0
"IL1_8",0,0,15.3846153846154,7.69230769230769,0
"IL1_9",35.1351351351351,2.7027027027027,43.2432432432432,2.7027027027027,0
"IL2_1",0,3.125,43.75,0,0
"IL2_10",0,0,11.7647058823529,0,0
"IL2_2",NA,NA,NA,NA,NA
"IL2_3",1.81818181818182,10.9090909090909,25.4545454545455,3.63636363636364,0
"IL2_4",0,0,0,0,0
"IL2_5",NA,NA,NA,NA,NA
"IL2_7",5.12820512820513,2.56410256410256,38.4615384615385,15.3846153846154,0
"IL2_8",0,4.34782608695652,47.8260869565217,8.69565217391304,0
"IL2_9",0,0,0,0,0
"IL3_1",0,0,3.125,0,0
"IL3_10",2.85714285714286,0,22.8571428571429,22.8571428571429,0
"IL3_2",1.88679245283019,1.88679245283019,26.4150943396226,39.622641509434,0
"IL3_3",0,0,0,0,0
"IL3_4",0,6.06060606060606,48.4848484848485,17.1717171717172,0
"IL3_6",21.25,1.25,41.25,8.75,0
"IL3_7",0,3.125,21.875,6.25,0
"IL3_9",0,0,45.4545454545455,14.2857142857143,0
"IL4_10",2.22222222222222,0,31.1111111111111,24.4444444444444,2.22222222222222
"IL4_2",0,2.4390243902439,9.75609756097561,7.31707317073171,0
"IL4_3",0,0,0,0,0
"IL4_4",0,0,18.1818181818182,0,0
"IL4_5",9.52380952380952,9.52380952380952,19.047619047619,0,0
"IL4_7",0,0,0,0,0
"IL4_8",38.4615384615385,6.41025641025641,42.3076923076923,0,0
"IL4_9",0,0,4.76190476190476,0,0
"M1_1",0,0,57.1428571428571,28.5714285714286,14.2857142857143
"M1_10",0,0,0,0,0
"M1_2",0,11.6883116883117,32.4675324675325,3.8961038961039,0
"M1_4",0,8.33333333333333,0,0,0
"M1_5",0,4.25531914893617,12.7659574468085,2.12765957446809,0
"M1_6",NA,NA,NA,NA,NA
"M1_7",0,0,100,0,0
"M1_8",NA,NA,NA,NA,NA
"M2_1",0,0,23.6363636363636,1.81818181818182,0
"M2_10",NA,NA,NA,NA,NA
"M2_3",0,0,0,0,0
"M2_5",NA,NA,NA,NA,NA
"M2_6",NA,NA,NA,NA,NA
"M2_7",NA,NA,NA,NA,NA
"M2_8",0,0,0,0,0
"M2_9",0,0,8.33333333333333,0,0
"M3_1",NA,NA,NA,NA,NA
"M3_2",3.27868852459016,0,16.3934426229508,3.27868852459016,0
"M3_3",2.77777777777778,0,13.8888888888889,0,0
"M3_5",0,0,0,0,0
"M3_7",0,0,66.6666666666667,0,0
"M3_8",0,0,0,0,0
"M4_2",11.5384615384615,0,15.3846153846154,0,0
"M4_3",0,5.55555555555556,5.55555555555556,2.77777777777778,0
"M4_4",0,0,0,0,0
"M4_5",NA,NA,NA,NA,NA
"M4_6",1.78571428571429,1.78571428571429,3.57142857142857,1.78571428571429,0
"M4_7",4.54545454545455,0,22.7272727272727,0,0
"M4_9",9.01639344262295,4.91803278688525,64.7540983606557,10.655737704918,0.819672131147541
