"","ClassAtotal","ClassBtotal","ClassCtotal","ClassDtotal","ClassEtotal"
"B1_1",0,0,5.30973451327434,7.9646017699115,0
"B1_10",0,1.9047619047619,0.952380952380952,0.952380952380952,0
"B1_2",0,0,3.7037037037037,7.40740740740741,0
"B1_3",1.2987012987013,1.2987012987013,0,0,0
"B1_4",0,0,0,0,0
"B1_5",0,0,0,0,0
"B1_6",0,0,1.19047619047619,0,0
"B1_7",4.58015267175572,0,26.7175572519084,18.3206106870229,0
"B1_8",0,0,0,0,0
"B1_9",0,0,0,0,0
"B2_1",0,0,0,0,0
"B2_10",0,7.69230769230769,23.0769230769231,3.84615384615385,0
"B2_2",0,0,0.934579439252336,0,0
"B2_4",0,0.413223140495868,3.30578512396694,0,0
"B2_5",3.50877192982456,0,12.280701754386,3.50877192982456,0
"B2_6",0,0,1.16279069767442,0,0
"B2_7",0,5.12820512820513,0,0,0
"B2_8",0,0,0,0,0
"B2_9",0,0,4.62962962962963,0,0
"B3_1",1.86915887850467,1.86915887850467,9.34579439252336,0,0
"B3_10",0,10.3825136612022,21.3114754098361,4.91803278688525,0
"B3_2",0.387596899224806,0.387596899224806,0.775193798449612,0,0
"B3_3",0,0,0,0,0
"B3_4",0,0,0,0,0
"B3_5",0,0,9.09090909090909,0,0
"B3_6",0,0,1.42857142857143,1.42857142857143,0
"B3_7",0,3.94736842105263,3.94736842105263,0,0
"B3_8",0,0,25,0,0
"B3_9",NA,NA,NA,NA,NA
"B4_1",0,4.16666666666667,6.25,2.08333333333333,0
"B4_10",0,0,0,0,0
"B4_2",2.85714285714286,5.71428571428571,17.1428571428571,0,0
"B4_3",1.49253731343284,0,14.9253731343284,10.4477611940298,0
"B4_4",0,0,0,0,0
"B4_6",0,2.38095238095238,19.047619047619,7.14285714285714,0
"B4_7",0,0,0,0,0
"B4_8",0,0,0,0,0
"B4_9",0,0,16.1290322580645,0,0
"IL1_1",1.31578947368421,1.31578947368421,28.9473684210526,32.8947368421053,0
"IL1_10",0,0,0,0,0
"IL1_3",0,0,0,0,0
"IL1_4",1.24223602484472,1.24223602484472,24.223602484472,2.48447204968944,0
"IL1_5",0,0,8.33333333333333,4.16666666666667,0
"IL1_8",0,0,14.2857142857143,7.14285714285714,0
"IL1_9",29.5454545454545,2.27272727272727,36.3636363636364,2.27272727272727,0
"IL2_1",0,2.17391304347826,30.4347826086957,0,0
"IL2_10",0,0,6.01503759398496,0,0
"IL2_2",0,0,0,0,0
"IL2_3",1.72413793103448,10.3448275862069,24.1379310344828,3.44827586206897,0
"IL2_4",0,0,0,0,0
"IL2_5",0,0,0,0,0
"IL2_7",3.2,1.6,24,9.6,0
"IL2_8",0,2.5,27.5,5,0
"IL2_9",0,0,0,0,0
"IL3_1",0,0,2.63157894736842,0,0
"IL3_10",1.63934426229508,0,13.1147540983607,13.1147540983607,0
"IL3_2",1.81818181818182,1.81818181818182,25.4545454545455,38.1818181818182,0
"IL3_3",0,0,0,0,0
"IL3_4",0,5.60747663551402,44.8598130841121,15.8878504672897,0
"IL3_6",19.5402298850575,1.14942528735632,37.9310344827586,8.04597701149425,0
"IL3_7",0,2.22222222222222,15.5555555555556,4.44444444444444,0
"IL3_9",0,0,44.8717948717949,14.1025641025641,0
"IL4_10",1.78571428571429,0,25,19.6428571428571,1.78571428571429
"IL4_2",0,1.61290322580645,6.45161290322581,4.83870967741935,0
"IL4_3",0,0,0,0,0
"IL4_4",0,0,14.2857142857143,0,0
"IL4_5",1.8348623853211,1.8348623853211,3.6697247706422,0,0
"IL4_7",0,0,0,0,0
"IL4_8",32.6086956521739,5.43478260869565,35.8695652173913,0,0
"IL4_9",0,0,4.44444444444444,0,0
"M1_1",0,0,3.2258064516129,1.61290322580645,0.806451612903226
"M1_10",0,0,0,0,0
"M1_2",0,4.20560747663551,11.6822429906542,1.4018691588785,0
"M1_4",0,0.636942675159236,0,0,0
"M1_5",0,3.17460317460317,9.52380952380952,1.58730158730159,0
"M1_6",0,0,0,0,0
"M1_7",0,0,1.85185185185185,0,0
"M1_8",0,0,0,0,0
"M2_1",0,0,17.5675675675676,1.35135135135135,0
"M2_10",0,0,0,0,0
"M2_3",0,0,0,0,0
"M2_5",0,0,0,0,0
"M2_6",0,0,0,0,0
"M2_7",0,0,0,0,0
"M2_8",0,0,0,0,0
"M2_9",0,0,1.01010101010101,0,0
"M3_1",0,0,0,0,0
"M3_2",2.24719101123596,0,11.2359550561798,2.24719101123596,0
"M3_3",0.934579439252336,0,4.67289719626168,0,0
"M3_5",0,0,0,0,0
"M3_7",0,0,7.14285714285714,0,0
"M3_8",0,0,0,0,0
"M4_2",2.52100840336134,0,3.36134453781513,0,0
"M4_3",0,3.77358490566038,3.77358490566038,1.88679245283019,0
"M4_4",0,0,0,0,0
"M4_5",0,0,0,0,0
"M4_6",1,1,2,1,0
"M4_7",0.460829493087558,0,2.30414746543779,0,0
"M4_9",8.27067669172932,4.51127819548872,59.3984962406015,9.77443609022556,0.75187969924812
