"","AMUT","AMUT/D","ARBI3","ARBI3/D","ARFR4","ARNO4","ARNO4/D","ARTR2","ARTR2/D","ATCA2","ATCA2/D","ATCO","ATCO/D","BRMI","CEIN7","CEMO","CEMO2","CEMO2/D","CEMO22","CHNAA3","CHNAA3/D","CHVI8","CHVI8/D","CRAN4","EPVI","EPVI/D","FRAN2","GUMI","GUSA2","GUSA2/D","JUOS","JUOS/D","KRLA2","KRLA2/D","MAFR3","MAFR3/D","PIED","PIED/D","SAVE4","SHRO","SHRO/D","SYOR","SYOR/D","YUAN2","YUAN2/D","YUBA","YUBA/D"
"B1_1",0,0,0,0,0,0,0,0.0015,0.004,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_10",0,0,0,0,0,0,0,4e-04,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_2",0,0,0,0,0,0,0,3e-04,4e-04,0.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_3",0,0,0,0,0,0,0,2e-04,0,0.0019,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_4",0,0,0,0,0,0,0,0,1e-04,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_5",0,0,0,0,0,0,0,0,0.0014,0.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_6",0,0,0,0,0,0,0,1e-04,0.0047,0.0027,1e-04,0,0,0,0,0,0,0,0,1e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0,6e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_7",0,0,0,0,0,0,0,0.0065,0.005,4e-04,0,0,0,0,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_8",0,0,0,0,0,0,0,0,1e-04,4e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1_9",0,0,0,0,0,0,0,0,0.0052,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2_1",0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2_10",0,0,0,0,0,0,0,0.0018,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2_2",0,0,0,0,0,0,0,1e-04,0.0079,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2_4",0,0,0,0,0,0,0,9e-04,0.0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2_5",0,0,0,0,0,0,0,0.0011,0.0041,4e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2_6",0,0,0,0,0,0,0,2e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0.0044,1e-04,0,0,0,0,0,0,0,0,0,0.0121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2_7",0,0,0,0,0,0,0,2e-04,0.0027,2e-04,2e-04,0,0,0,0,0,0,0,0,0,0,5e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2_8",0,0,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2_9",0,0,0,0,0,0,0,5e-04,0.0054,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B3_1",0,0,0,0,0,0,0,0.0014,0.0031,0,0,0,0,0,0,0,0,0,0,0,0,0.0017,1e-04,0,0.0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B3_10",0,0,0,0,0,0,0,0.0067,0.0028,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B3_2",0,0,0,0,0,0,0,4e-04,0.0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B3_3",0,0,0,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B3_4",0,0,0,0,0,0,0,0,2e-04,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B3_5",0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B3_6",0,0,0,0,0,0,0,2e-04,0.0066,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B3_7",0,0,0,0,0,0,0,6e-04,0.0054,4e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0
"B3_8",0,0,0,0,0,0,0,6e-04,6e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-04,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0
"B3_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_1",0,0,0,0,0,0,0,6e-04,0.0026,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-04,0,0,0,0,0,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_10",0,0,0,0,0,0,0,0,0.0042,1e-04,1e-04,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,5e-04,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0
"B4_2",0,0,0,0,0,0,0,9e-04,0.001,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_3",0,0,0,0,0,0,0,0.0018,0.0037,6e-04,0,0,0,0,0,0,0,0,0,0,0,2e-04,0,0,4e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_4",0,0,0,0,0,0,0,0,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_6",0,0,0,0,0,0,0,0.0012,0.0022,6e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_7",0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_8",0,0,0,0,0,0,0,0,0,0.001,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_9",0,0,0,0,0,0,0,5e-04,0.001,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7e-04,0,0,0,0,0,2e-04,0,0,0,0,0,3e-04,0,0,0,0,0,0,0,0,2e-04,0
"IL1_1",0,0,0,0,0,0,0,0.0049,0.0023,1e-04,0,0,0,0,0,0,0,0,0,0,0,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_10",0,0,0,0,0,0,0,0,6e-04,8e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_3",0,0,0,0,0,0,0,0,0,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_4",0,0,0,0,0,0,0,0.0047,0.0033,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,3e-04,0,6e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_5",0,0,0,0,0,0,0,3e-04,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,6e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_8",0,0,0,0,0,0,0,3e-04,0.001,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_9",0,0,0,0,0,0,0,0.0031,6e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7e-04,0,0,0,0,0,0,0,0,0,0
"IL2_1",0,0,0,0,0,0,0,0.0015,0.0017,5e-04,0,0,0,0,0,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,7e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
