"","A","B","C","D","E"
"B1_1",2.65486725663717,7.9646017699115,20.353982300885,4.42477876106195,0
"B1_10",0,10.4761904761905,21.9047619047619,0,0
"B1_2",0,7.40740740740741,7.40740740740741,0,0
"B1_3",0,0,0,0,0
"B1_4",0,0,0.980392156862745,0,0
"B1_5",0,10,22.5,2.5,0
"B1_6",0,19.047619047619,25,9.52380952380952,2.38095238095238
"B1_7",0,2.29007633587786,23.6641221374046,12.2137404580153,0
"B1_8",0,4.34782608695652,0,0,0
"B1_9",0,32.7272727272727,54.5454545454545,7.27272727272727,0
"B2_1",0,0,0,0,0
"B2_10",0,15.3846153846154,42.3076923076923,0,0
"B2_2",0,26.1682242990654,43.9252336448598,3.73831775700935,0
"B2_4",0,9.91735537190083,9.09090909090909,0,0
"B2_5",0,21.0526315789474,43.859649122807,7.01754385964912,0
"B2_6",0,1.16279069767442,0.581395348837209,0,0
"B2_7",0,23.0769230769231,41.025641025641,5.12820512820513,0
"B2_8",0,20,20,0,0
"B2_9",0,16.6666666666667,30.5555555555556,2.77777777777778,0
"B3_1",0,9.34579439252336,18.6915887850467,0.934579439252336,0
"B3_10",0,5.46448087431694,9.2896174863388,0.546448087431694,0
"B3_2",0,5.03875968992248,8.52713178294574,0,0
"B3_3",0,0,0,0,0
"B3_4",0,3.84615384615385,0,0,0
"B3_5",0,0,0,0,0
"B3_6",0,18.5714285714286,61.4285714285714,14.2857142857143,0
"B3_7",0,34.2105263157895,31.5789473684211,5.26315789473684,0
"B3_8",0,16.6666666666667,8.33333333333333,0,0
"B3_9",NA,NA,NA,NA,NA
"B4_1",0,12.5,41.6666666666667,0,0
"B4_10",0,18.1818181818182,58.1818181818182,0,0
"B4_2",0,14.2857142857143,14.2857142857143,0,0
"B4_3",0,11.9402985074627,31.3432835820896,11.9402985074627,0
"B4_4",0,26.4705882352941,55.8823529411765,2.94117647058824,0
"B4_6",0,16.6666666666667,28.5714285714286,7.14285714285714,0
"B4_7",0,7.69230769230769,0,0,0
"B4_8",0,0,0,0,0
"B4_9",0,9.67741935483871,22.5806451612903,0,0
"IL1_1",0,6.57894736842105,17.1052631578947,6.57894736842105,0
"IL1_10",0,3.26086956521739,2.17391304347826,1.08695652173913,0
"IL1_3",0,0,0,0,0
"IL1_4",0,8.07453416149068,11.1801242236025,0.62111801242236,0.62111801242236
"IL1_5",0,25,33.3333333333333,0,0
"IL1_8",0,7.14285714285714,50,14.2857142857143,0
"IL1_9",0,4.54545454545455,6.81818181818182,2.27272727272727,0
"IL2_1",0,8.69565217391304,28.2608695652174,0,0
"IL2_10",0,14.2857142857143,29.3233082706767,1.50375939849624,0
"IL2_2",0,0,0,0,0
"IL2_3",5.17241379310345,24.1379310344828,22.4137931034483,3.44827586206897,0
"IL2_4",0,31.25,31.25,0,0
"IL2_5",0,0,0,0,0
"IL2_7",0,3.2,17.6,3.2,0
"IL2_8",0,7.5,15,0,0
"IL2_9",2.5974025974026,14.9350649350649,5.84415584415584,0.649350649350649,0
"IL3_1",0,50,31.5789473684211,0,0
"IL3_10",0,4.91803278688525,19.672131147541,4.91803278688525,0
"IL3_2",0,7.27272727272727,18.1818181818182,3.63636363636364,0
"IL3_3",0,10.3896103896104,44.1558441558442,2.5974025974026,0
"IL3_4",0,9.34579439252336,15.8878504672897,0.934579439252336,0
"IL3_6",1.14942528735632,11.4942528735632,12.6436781609195,0,0
"IL3_7",0,20,28.8888888888889,0,0
"IL3_9",0,10.2564102564103,28.2051282051282,1.28205128205128,0
"IL4_10",0,5.35714285714286,25,1.78571428571429,0
"IL4_2",0,12.9032258064516,32.258064516129,8.06451612903226,0
"IL4_3",0,5.26315789473684,7.36842105263158,0,0
"IL4_4",0,42.8571428571429,21.4285714285714,0,0
"IL4_5",0,6.42201834862385,5.5045871559633,0,0
"IL4_7",0,15.4929577464789,47.887323943662,9.85915492957746,0
"IL4_8",0,6.52173913043478,4.34782608695652,0,0
"IL4_9",0,37.7777777777778,51.1111111111111,0,0
"M1_1",0,0,0,0,0
"M1_10",0,12.5,43.75,0,0
"M1_2",0,3.27102803738318,14.018691588785,1.4018691588785,0
"M1_4",0,1.27388535031847,5.73248407643312,0,0
"M1_5",0,20.6349206349206,28.5714285714286,11.1111111111111,0
"M1_6",0,0,0,0,0
"M1_7",0,0,0,0,0
"M1_8",0,0,0,0,0
"M2_1",0,12.1621621621622,40.5405405405405,2.7027027027027,0
"M2_10",0,0,0,0,0
"M2_3",0,34.375,53.125,1.5625,0
"M2_5",0,0,0,0,0
"M2_6",0,0,0,0,0
"M2_7",0,0,0,0,0
"M2_8",0,3.84615384615385,11.5384615384615,0,0
"M2_9",0,4.04040404040404,4.04040404040404,3.03030303030303,0
"M3_1",0,0,0,0,0
"M3_2",0,11.2359550561798,35.9550561797753,5.61797752808989,0
"M3_3",0,5.60747663551402,21.4953271028037,0.934579439252336,0
"M3_5",0,25.609756097561,62.1951219512195,9.75609756097561,0
"M3_7",0,0,3.57142857142857,0,0
"M3_8",0,15.7142857142857,50,5.71428571428571,0
"M4_2",0,8.40336134453782,7.56302521008403,0,0
"M4_3",0,13.2075471698113,45.2830188679245,0,0
"M4_4",0,0,2.32558139534884,0,0
"M4_5",0,0,0,0,0
"M4_6",0,10,37,4,0
"M4_7",0,2.30414746543779,4.60829493087558,0.460829493087558,0
"M4_9",0,3.00751879699248,4.51127819548872,1.50375939849624,0
