"Plot","ClassAtotal","ClassBtotal","ClassCtotal","ClassDtotal","ClassEtotal"
"2",0,0,3,0,0
"2",0,0,2,0,0
"2",0,0,0,0,0
"10",0,0,0,0,0
"10",0,0,0,0,0
"10",0,0,0,0,0
"11",0,0,0,0,0
"11",0,0,0,0,0
"11",0,0,1,0,0
"12",0,0,0,0,0
"12",0,0,0,0,0
"12",0,0,0,0,0
"14",0,0,0,0,0
"14",0,0,0,0,0
"14",0,0,0,0,0
"15",0,0,0,0,0
"15",0,0,1,0,0
"15",0,0,0,0,0
"16",0,0,2,0,0
"16",0,0,1,0,0
"16",0,2,0,0,0
"17",0,0,0,0,0
"17",0,0,0,0,0
"17",0,0,0,0,0
"18",0,0,0,0,0
"18",0,0,0,0,0
"18",0,0,0,0,0
"19",2,0,23,5,0
"19",0,0,15,5,0
"19",0,0,14,6,0
"20",0,0,0,0,0
"20",0,0,0,0,0
"20",0,0,0,0,0
"21",0,0,0,0,0
"21",0,0,0,0,0
"21",0,0,0,0,0
"23",0,0,0,0,0
"23",0,0,0,0,0
"23",0,0,0,0,0
"24",0,0,8,1,0
"24",0,0,6,1,0
"24",0,0,3,4,0
"32",0,0,0,0,0
"32",0,0,1,0,0
"32",1,0,0,0,0
"33",0,0,1,0,0
"33",0,0,0,0,0
"33",0,0,0,0,0
"38",0,0,9,2,0
"38",1,0,3,3,0
"38",1,0,7,0,0
"39",0,0,4,1,0
"39",0,0,1,0,0
"39",6,0,1,0,0
"40",0,0,7,1,0
"42",0,0,9,3,0
"42",0,0,4,0,0
"42",0,0,0,0,0
"43",0,0,13,3,0
"43",2,0,5,2,0
"43",0,0,13,3,0
"44",0,0,6,3,0
"44",1,0,7,3,0
"44",0,0,8,7,0
"47",0,0,1,4,1
"47",0,0,2,1,0
"47",0,0,1,1,1
"48",1,0,13,5,0
"48",0,2,7,7,0
"48",0,1,9,0,0
"50",0,2,12,18,0
"50",0,0,8,8,0
"50",0,0,9,7,0
"51",0,0,0,0,0
"51",0,0,1,0,0
"51",0,0,0,0,0
"52",0,0,0,0,0
"52",0,0,0,0,0
"52",0,0,0,0,0
"54",0,0,0,0,0
"54",0,0,0,0,0
"54",0,0,1,0,0
"55",0,0,0,0,0
"55",0,0,0,0,0
"55",0,0,1,2,0
"56",0,0,0,0,0
"56",0,0,0,0,0
"56",0,0,0,0,0
"57",0,0,2,2,0
"57",0,0,0,0,0
"57",0,0,0,0,0
"58",0,0,0,0,0
"58",0,0,0,0,0
"58",0,0,0,0,0
"59",0,0,3,0,0
"59",0,0,0,0,0
"59",0,0,1,0,0
"60",0,0,0,0,0
"60",0,0,0,0,0
"60",0,0,0,0,0
"61",0,0,1,0,0
"61",0,0,0,1,0
"61",0,0,0,0,0
"63",0,0,0,0,0
"63",0,0,0,0,0
"63",0,0,0,0,0
"64",0,0,0,0,0
"64",0,0,0,0,0
"64",0,0,0,0,0
"65",0,0,2,0,0
"65",1,0,1,0,0
"65",1,1,1,0,0
"66",0,0,0,0,0
"66",0,0,0,0,0
"66",0,0,0,0,0
"67",0,0,0,0,0
"67",0,0,0,0,0
"67",0,0,0,0,0
"68",0,0,0,0,0
"68",0,0,0,1,0
"68",0,0,0,0,0
"69",0,0,0,0,0
"69",0,0,0,0,0
"69",0,0,0,0,0
"70",0,0,0,0,0
"70",0,0,0,0,0
"70",0,0,0,0,0
"73",0,0,0,0,0
"73",0,0,0,0,0
"73",0,0,0,0,0
"76",0,0,0,2,0
"76",0,0,1,0,0
"76",0,0,2,1,0
"77",0,0,0,0,0
"77",0,0,2,0,0
"77",0,0,0,2,0
"79",0,0,0,0,0
"79",0,0,3,0,0
"79",0,0,0,0,0
"80",1,2,12,8,0
"80",0,2,14,3,0
"80",11,0,19,1,0
"82",0,0,3,0,0
"82",0,0,8,2,0
"82",0,0,4,0,0
"83",0,0,2,3,0
"83",0,0,1,1,0
"83",0,0,4,2,0
"86",0,0,2,1,0
"86",0,0,1,0,0
"86",0,0,1,0,0
"88",0,0,0,0,0
"88",0,0,0,0,0
"88",1,0,2,0,0
"89",1,0,5,0,0
"89",0,0,2,1,0
"89",0,0,0,0,0
"90",0,0,7,1,0
"90",0,0,6,4,0
"90",0,0,1,2,0
"91",0,0,0,0,0
"91",0,0,1,0,0
"91",0,0,0,0,0
"92",0,0,2,0,0
"92",0,0,0,0,0
"92",0,0,1,1,0
"93",2,0,1,0,0
"93",1,0,0,0,0
"93",0,0,0,0,0
"94",0,0,0,0,0
"94",0,0,0,0,0
"94",0,0,0,0,0
"95",0,0,2,0,0
"95",0,0,1,0,0
"95",0,0,3,0,0
"B1_1",0,0,2,1,0
"B1_1",0,0,3,2,0
"B1_1",0,0,1,6,0
"B1_10",0,1,1,1,0
"B1_10",0,0,0,0,0
"B1_10",0,0,0,0,0
"B1_10",0,0,0,0,0
"B1_10",0,1,0,0,0
"B1_10",0,0,0,0,0
"B1_2",0,0,0,0,0
"B1_2",0,0,0,2,0
"B1_2",0,0,1,0,0
"B1_3",1,1,0,0,0
"B1_3",0,0,0,0,0
"B1_3",0,0,0,0,0
"B1_4",0,0,0,0,0
"B1_4",0,0,0,0,0
"B1_4",0,0,0,0,0
"B1_5",0,0,0,0,0
"B1_5",0,0,0,0,0
"B1_5",0,0,0,0,0
"B1_6",0,0,0,0,0
"B1_6",0,0,1,0,0
"B1_6",0,0,0,0,0
"B1_7",4,0,8,4,0
"B1_7",2,0,15,10,0
"B1_7",0,0,12,10,0
"B1_8",0,0,0,0,0
"B1_8",0,0,0,0,0
"B1_8",0,0,0,0,0
"B1_9",0,0,0,0,0
"B1_9",0,0,0,0,0
