"","AMUT","AMUT/D","ARBI3","ARBI3/D","ARFR4","ARNO4","ARNO4/D","ARTR2","ARTR2/D","ATCA2","ATCA2/D","ATCO","ATCO/D","BRMI","CEIN7","CEMO","CEMO2","CEMO2/D","CEMO22","CHNAA3","CHNAA3/D","CHVI8","CHVI8/D","CRAN4","EPVI","EPVI/D","FRAN2","GUMI","GUSA2","GUSA2/D","JUOS","JUOS/D","KRLA2","KRLA2/D","MAFR3","MAFR3/D","PIED","PIED/D","SAVE4","SHRO","SHRO/D","SYOR","SYOR/D","YUAN2","YUAN2/D","YUBA","YUBA/D"
"1",0,1,15,7,0,0,0,0,0,0,0,0,0,18,7,0,0,0,0,0,0,45,3,0,3,0,4,7,0,0,2,1,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,105,14,2,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,1,16,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,23,8,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"14",0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,97,28,2,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,3,1,0,0,164,27,4,0,0,0,1,0,10,1,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,5,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,9,1,0,26,0,0,0,6,0,0,0,0,0,0,0,0,1,0
"17",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,69,81,6,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,87,45,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,70,23,6,1,0,0,0,0,0,0,0,0,0,0,2,0,0,63,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,5,22,3,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0,0,0,0,23,4,1,0,15,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,60,4,0,0,0,0,0,13,5,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,3,0
"21",0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,23,38,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0,20,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,2,12,10,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,4,0,0,0,0,0,13,3,0,9,6,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,26,19,8,0,0,0,0,0,0,0,0,0,0,0,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,0,0,0,0,0,2,0,0
"40",0,0,0,0,0,0,0,8,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,16,54,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,41,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,35,39,0,0,0,0,0,0,0,0,0,0,0,0,91,34,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
