"","A","B","C","D","E"
"B1_1",0,0,6,9,0
"B1_10",0,2,1,1,0
"B1_2",0,0,1,2,0
"B1_3",1,1,0,0,0
"B1_4",0,0,0,0,0
"B1_5",0,0,0,0,0
"B1_6",0,0,1,0,0
"B1_7",6,0,35,24,0
"B1_8",0,0,0,0,0
"B1_9",0,0,0,0,0
"B2_1",0,0,0,0,0
"B2_10",0,4,12,2,0
"B2_2",0,0,1,0,0
"B2_4",0,1,8,0,0
"B2_5",2,0,7,2,0
"B2_6",0,0,2,0,0
"B2_7",0,2,0,0,0
"B2_8",0,0,0,0,0
"B2_9",0,0,5,0,0
"B3_1",2,2,10,0,0
"B3_10",0,19,39,9,0
"B3_2",1,1,2,0,0
"B3_3",0,0,0,0,0
"B3_4",0,0,0,0,0
"B3_5",0,0,1,0,0
"B3_6",0,0,1,1,0
"B3_7",0,3,3,0,0
"B3_8",0,0,6,0,0
"B3_9",0,0,0,0,0
"B4_1",0,2,3,1,0
"B4_10",0,0,0,0,0
"B4_2",1,2,6,0,0
"B4_3",1,0,10,7,0
"B4_4",0,0,0,0,0
"B4_6",0,1,8,3,0
"B4_7",0,0,0,0,0
"B4_8",0,0,0,0,0
"B4_9",0,0,5,0,0
"IL1_1",1,1,22,25,0
"IL1_10",0,0,0,0,0
"IL1_3",0,0,0,0,0
"IL1_4",2,2,39,4,0
"IL1_5",0,0,2,1,0
"IL1_8",0,0,2,1,0
"IL1_9",13,1,16,1,0
"IL2_1",0,1,14,0,0
"IL2_10",0,0,8,0,0
"IL2_2",0,0,0,0,0
"IL2_3",1,6,14,2,0
"IL2_4",0,0,0,0,0
"IL2_5",0,0,0,0,0
"IL2_7",4,2,30,12,0
"IL2_8",0,1,11,2,0
"IL2_9",0,0,0,0,0
"IL3_1",0,0,1,0,0
"IL3_10",1,0,8,8,0
"IL3_2",1,1,14,21,0
"IL3_3",0,0,0,0,0
"IL3_4",0,6,48,17,0
"IL3_6",17,1,33,7,0
"IL3_7",0,1,7,2,0
"IL3_9",0,0,35,11,0
"IL4_10",1,0,14,11,1
"IL4_2",0,1,4,3,0
"IL4_3",0,0,0,0,0
"IL4_4",0,0,2,0,0
"IL4_5",2,2,4,0,0
"IL4_7",0,0,0,0,0
"IL4_8",30,5,33,0,0
"IL4_9",0,0,2,0,0
"M1_1",0,0,4,2,1
"M1_10",0,0,0,0,0
"M1_2",0,9,25,3,0
"M1_4",0,1,0,0,0
"M1_5",0,2,6,1,0
"M1_6",0,0,0,0,0
"M1_7",0,0,1,0,0
"M1_8",0,0,0,0,0
"M2_1",0,0,13,1,0
"M2_10",0,0,0,0,0
"M2_3",0,0,0,0,0
"M2_5",0,0,0,0,0
"M2_6",0,0,0,0,0
"M2_7",0,0,0,0,0
"M2_8",0,0,0,0,0
"M2_9",0,0,1,0,0
"M3_1",0,0,0,0,0
"M3_2",2,0,10,2,0
"M3_3",1,0,5,0,0
"M3_5",0,0,0,0,0
"M3_7",0,0,2,0,0
"M3_8",0,0,0,0,0
"M4_2",3,0,4,0,0
"M4_3",0,2,2,1,0
"M4_4",0,0,0,0,0
"M4_5",0,0,0,0,0
"M4_6",1,1,2,1,0
"M4_7",1,0,5,0,0
"M4_9",11,6,79,13,1
