"","A","B","C","D","E"
"10",0,0,0,0,0
"11",0,0,1,0,0
"12",0,0,0,0,0
"14",0,0,0,0,0
"15",0,0,1,0,0
"16",0,2,3,0,0
"17",0,0,0,0,0
"18",0,0,0,0,0
"19",2,0,52,16,0
"2",0,0,5,0,0
"20",0,0,0,0,0
"21",0,0,0,0,0
"23",0,0,0,0,0
"24",0,0,17,6,0
"32",1,0,1,0,0
"33",0,0,1,0,0
"38",2,0,19,5,0
"39",6,0,6,1,0
"40",0,0,7,1,0
"42",0,0,13,3,0
"43",2,0,31,8,0
"44",1,0,21,13,0
"47",0,0,4,6,2
"48",1,3,29,12,0
"50",0,2,29,33,0
"51",0,0,1,0,0
"52",0,0,0,0,0
"54",0,0,1,0,0
"55",0,0,1,2,0
"56",0,0,0,0,0
"57",0,0,2,2,0
"58",0,0,0,0,0
"59",0,0,4,0,0
"60",0,0,0,0,0
"61",0,0,1,1,0
"63",0,0,0,0,0
"64",0,0,0,0,0
"65",2,1,4,0,0
"66",0,0,0,0,0
"67",0,0,0,0,0
"68",0,0,0,1,0
"69",0,0,0,0,0
"70",0,0,0,0,0
"73",0,0,0,0,0
"76",0,0,3,3,0
"77",0,0,2,2,0
"79",0,0,3,0,0
"80",12,4,45,12,0
"82",0,0,15,2,0
"83",0,0,7,6,0
"86",0,0,4,1,0
"88",1,0,2,0,0
"89",1,0,7,1,0
"90",0,0,14,7,0
"91",0,0,1,0,0
"92",0,0,3,1,0
"93",3,0,1,0,0
"94",0,0,0,0,0
"95",0,0,6,0,0
"B1_1",0,0,6,9,0
"B1_10",0,2,1,1,0
"B1_2",0,0,1,2,0
"B1_3",1,1,0,0,0
"B1_4",0,0,0,0,0
"B1_5",0,0,0,0,0
"B1_6",0,0,1,0,0
"B1_7",6,0,35,24,0
"B1_8",0,0,0,0,0
"B1_9",0,0,0,0,0
"B2_1",0,0,0,0,0
"B2_10",0,4,12,2,0
"B2_2",0,0,1,0,0
"B2_4",0,1,8,0,0
"B2_5",2,0,7,2,0
"B2_6",0,0,2,0,0
"B2_7",0,2,0,0,0
"B2_8",0,0,0,0,0
"B2_9",0,0,5,0,0
"B3_1",2,2,10,0,0
"B3_10",0,19,39,9,0
"B3_2",1,1,2,0,0
"B3_3",0,0,0,0,0
"B3_4",0,0,0,0,0
"B3_5",0,0,1,0,0
"B3_6",0,0,1,1,0
"B3_7",0,3,3,0,0
"B3_8",0,0,6,0,0
"B3_9",0,0,0,0,0
"B4_1",0,2,3,1,0
"B4_10",0,0,0,0,0
"B4_2",1,2,6,0,0
"B4_3",1,0,10,7,0
"B4_4",0,0,0,0,0
"B4_6",0,1,8,3,0
"B4_7",0,0,0,0,0
"B4_8",0,0,0,0,0
"B4_9",0,0,5,0,0
"IL1_1",1,1,22,25,0
"IL1_10",0,0,0,0,0
"IL1_3",0,0,0,0,0
"IL1_4",2,2,39,4,0
"IL1_5",0,0,2,1,0
"IL1_8",0,0,2,1,0
"IL1_9",13,1,16,1,0
"IL2_1",0,1,14,0,0
"IL2_10",0,0,8,0,0
"IL2_2",0,0,0,0,0
"IL2_3",1,6,14,2,0
"IL2_4",0,0,0,0,0
"IL2_5",0,0,0,0,0
"IL2_7",4,2,30,12,0
"IL2_8",0,1,11,2,0
"IL2_9",0,0,0,0,0
"IL3_1",0,0,1,0,0
"IL3_10",1,0,8,8,0
"IL3_2",1,1,14,21,0
"IL3_3",0,0,0,0,0
"IL3_4",0,6,48,17,0
"IL3_6",17,1,33,7,0
"IL3_7",0,1,7,2,0
"IL3_9",0,0,35,11,0
"IL4_10",1,0,14,11,1
"IL4_2",0,1,4,3,0
"IL4_3",0,0,0,0,0
"IL4_4",0,0,2,0,0
"IL4_5",2,2,4,0,0
"IL4_7",0,0,0,0,0
"IL4_8",30,5,33,0,0
"IL4_9",0,0,2,0,0
"M1_1",0,0,4,2,1
"M1_10",0,0,0,0,0
"M1_2",0,9,25,3,0
"M1_4",0,1,0,0,0
"M1_5",0,2,6,1,0
"M1_6",0,0,0,0,0
"M1_7",0,0,1,0,0
"M1_8",0,0,0,0,0
"M2_1",0,0,13,1,0
"M2_10",0,0,0,0,0
"M2_3",0,0,0,0,0
"M2_5",0,0,0,0,0
"M2_6",0,0,0,0,0
"M2_7",0,0,0,0,0
"M2_8",0,0,0,0,0
"M2_9",0,0,1,0,0
"M3_1",0,0,0,0,0
"M3_2",2,0,10,2,0
"M3_3",1,0,5,0,0
"M3_5",0,0,0,0,0
"M3_7",0,0,2,0,0
"M3_8",0,0,0,0,0
"M4_2",3,0,4,0,0
"M4_3",0,2,2,1,0
"M4_4",0,0,0,0,0
"M4_5",0,0,0,0,0
"M4_6",1,1,2,1,0
"M4_7",1,0,5,0,0
"M4_9",11,6,79,13,1
