Site,Plot,Line,Date,Quadrat,SpeciesCode,SubQuadSize,SubQuadSizeUOM,AreaInHectares,ClassAtotal,ClassBtotal,ClassCtotal,ClassDtotal,ClassEtotal,ClassFtotal,ClassGtotal,ClassHtotal,ClassItotal,ClassADensity,ClassBDensity,ClassCDensity,ClassDDensity,ClassEDensity,ClassFDensity,ClassGDensity,ClassHDensity,ClassIDensity
BEEF BASIN 2013,1,2,2/16/2014,1,ARBI3,1,sq m,0.0001,0,2,4,0,0,0,0,0,0,0,20000,40000,0,0,0,0,0,0
BEEF BASIN 2013,1,2,2/16/2014,1,ARBI3/D,1,sq m,0.0001,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0
BEEF BASIN 2013,1,2,2/16/2014,1,BRMI,1,sq m,0.0001,0,5,5,0,0,0,0,0,0,0,50000,50000,0,0,0,0,0,0
BEEF BASIN 2013,1,2,2/16/2014,1,CEMO2,1,sq m,0.0001,0,0,0,6,0,0,0,0,0,0,0,0,60000,0,0,0,0,0
BEEF BASIN 2013,1,2,2/16/2014,1,CHVI8,1,sq m,0.0001,1,2,14,0,0,0,0,0,0,10000,20000,140000,0,0,0,0,0,0
BEEF BASIN 2013,1,2,2/16/2014,1,CHVI8/D,1,sq m,0.0001,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0
BEEF BASIN 2013,1,2,2/16/2014,1,FRAN2,1,sq m,0.0001,0,0,0,0,2,0,0,0,0,0,0,0,0,20000,0,0,0,0
BEEF BASIN 2013,1,2,2/16/2014,1,PIED,1,sq m,0.0001,0,0,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0
BEEF BASIN 2013,1,3,2/16/2014,1,ARBI3,1,sq m,0.0001,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0
BEEF BASIN 2013,1,3,2/16/2014,1,ARBI3/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,1,3,2/16/2014,1,BRMI,1,sq m,0.0001,0,3,3,0,0,0,0,0,0,0,30000,30000,0,0,0,0,0,0
BEEF BASIN 2013,1,3,2/16/2014,1,CEMO2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,1,3,2/16/2014,1,CHVI8,1,sq m,0.0001,0,5,11,0,0,0,0,0,0,0,50000,110000,0,0,0,0,0,0
BEEF BASIN 2013,1,3,2/16/2014,1,CHVI8/D,1,sq m,0.0001,0,1,1,0,0,0,0,0,0,0,10000,10000,0,0,0,0,0,0
BEEF BASIN 2013,1,3,2/16/2014,1,FRAN2,1,sq m,0.0001,0,0,0,0,2,0,0,0,0,0,0,0,0,20000,0,0,0,0
BEEF BASIN 2013,1,3,2/16/2014,1,JUOS,1,sq m,0.0001,0,0,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0
BEEF BASIN 2013,1,3,2/16/2014,1,JUOS/D,1,sq m,0.0001,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0
BEEF BASIN 2013,1,3,2/16/2014,1,MAFR3,1,sq m,0.0001,0,0,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0
BEEF BASIN 2013,1,3,2/16/2014,1,PIED,1,sq m,0.0001,0,0,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0
BEEF BASIN 2013,1,3,2/16/2014,1,SH01,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,1,3,2/16/2014,1,SH01/D,1,sq m,0.0001,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0
BEEF BASIN 2013,1,4,2/16/2014,1,AMUT/D,1,sq m,0.0001,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0
BEEF BASIN 2013,1,4,2/16/2014,1,ARBI3,1,sq m,0.0001,1,0,7,0,0,0,0,0,0,10000,0,70000,0,0,0,0,0,0
BEEF BASIN 2013,1,4,2/16/2014,1,ARBI3/D,1,sq m,0.0001,0,5,1,0,0,0,0,0,0,0,50000,10000,0,0,0,0,0,0
BEEF BASIN 2013,1,4,2/16/2014,1,BRMI,1,sq m,0.0001,0,2,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0
BEEF BASIN 2013,1,4,2/16/2014,1,CEMO2,1,sq m,0.0001,0,0,0,1,0,0,0,0,0,0,0,0,10000,0,0,0,0,0
BEEF BASIN 2013,1,4,2/16/2014,1,CHVI8,1,sq m,0.0001,1,1,10,0,0,0,0,0,0,10000,10000,100000,0,0,0,0,0,0
BEEF BASIN 2013,1,4,2/16/2014,1,CHVI8/D,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,1,4,2/16/2014,1,EPVI,1,sq m,0.0001,0,0,1,2,0,0,0,0,0,0,0,10000,20000,0,0,0,0,0
BEEF BASIN 2013,1,4,2/16/2014,1,FRAN2,1,sq m,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEF BASIN 2013,1,4,2/16/2014,1,GUMI,1,sq m,0.0001,0,4,3,0,0,0,0,0,0,0,40000,30000,0,0,0,0,0,0
