Plot,Line,SpeciesCode,ClassAtotal,ClassBtotal,ClassCtotal,ClassDtotal,ClassEtotal
1,2,ARBI3,0,2,4,0,0
1,2,ARBI3/D,0,0,1,0,0
1,2,BRMI,0,5,5,0,0
1,2,CEIN7,0,0,0,6,0
1,2,CHVI8,1,2,14,0,0
1,2,CHVI8/D,0,0,1,0,0
1,2,FRAN2,0,0,0,0,2
1,2,PIED,0,0,0,0,1
1,3,ARBI3,0,0,1,0,0
1,3,ARBI3/D,0,0,0,0,0
1,3,BRMI,0,3,3,0,0
1,3,CEIN7,0,0,0,0,0
1,3,CHVI8,0,5,11,0,0
1,3,CHVI8/D,0,1,1,0,0
1,3,FRAN2,0,0,0,0,2
1,3,JUOS,0,0,0,0,1
1,3,JUOS/D,0,0,1,0,0
1,3,MAFR3,0,0,0,0,1
1,3,PIED,0,0,0,0,1
1,3,SHRO,0,0,0,0,0
1,3,SHRO/D,0,1,0,0,0
1,4,AMUT/D,0,0,1,0,0
1,4,ARBI3,1,0,7,0,0
1,4,ARBI3/D,0,5,1,0,0
1,4,BRMI,0,2,0,0,0
1,4,CEIN7,0,0,0,1,0
1,4,CHVI8,1,1,10,0,0
1,4,CHVI8/D,0,0,0,0,0
1,4,EPVI,0,0,1,2,0
1,4,FRAN2,0,0,0,0,0
1,4,GUMI,0,4,3,0,0
1,4,JUOS,0,0,0,0,1
1,4,JUOS/D,0,0,0,0,0
1,4,MAFR3,0,0,0,0,0
1,4,PIED,0,0,0,0,2
1,4,SHRO,0,0,0,0,0
1,4,SHRO/D,0,0,0,0,0
2,2,AMUT/D,0,0,0,0,0
2,2,ARBI3,0,0,0,0,0
2,2,ARBI3/D,0,0,0,0,0
2,2,ARNO4,0,0,0,0,0
2,2,ARNO4/D,0,0,0,0,0
2,2,ARTR2,0,0,3,0,0
2,2,ARTR2/D,0,4,7,3,0
2,2,ATCA2,0,0,0,0,0
2,2,ATCA2/D,0,0,0,0,0
2,2,BRMI,0,0,0,0,0
2,2,CEIN7,0,0,0,0,0
2,2,CHVI8,0,0,5,0,0
2,2,CHVI8/D,0,0,3,0,0
2,2,EPVI,0,0,0,0,0
2,2,EPVI/D,0,0,0,0,0
2,2,FRAN2,0,0,0,0,0
2,2,GUMI,0,0,0,0,0
2,2,GUSA2,0,0,0,0,0
2,2,GUSA2/D,0,0,0,0,0
2,2,JUOS,0,0,0,0,0
2,2,JUOS/D,0,0,0,0,0
2,2,KRLA2,1,1,3,1,0
2,2,KRLA2/D,0,0,0,0,0
2,2,MAFR3,0,0,0,0,0
2,2,PIED,0,0,0,0,2
2,2,PIED/D,0,0,0,0,0
2,2,SHRO,0,0,0,0,0
2,2,SHRO/D,0,0,0,0,0
2,2,SYOR,0,0,0,0,0
2,2,SYOR/D,0,0,0,0,0
2,2,YUBA,0,0,0,0,0
2,3,AMUT/D,0,0,0,0,0
2,3,ARBI3,0,0,0,0,0
2,3,ARBI3/D,0,0,0,0,0
2,3,ARNO4,0,0,0,0,0
2,3,ARNO4/D,0,0,0,0,0
2,3,ARTR2,0,0,2,0,0
2,3,ARTR2/D,0,1,6,1,0
2,3,ATCA2,0,0,1,0,1
2,3,ATCA2/D,0,0,0,0,0
2,3,BRMI,0,0,0,0,0
2,3,CEIN7,0,0,0,0,0
2,3,CHVI8,0,1,5,0,0
2,3,CHVI8/D,0,0,1,0,0
2,3,EPVI,0,0,0,0,0
2,3,EPVI/D,0,0,0,0,0
2,3,FRAN2,0,0,0,0,0
2,3,GUMI,0,0,0,0,0
2,3,GUSA2,0,0,0,0,0
2,3,GUSA2/D,0,0,0,0,0
2,3,JUOS,0,0,0,0,0
2,3,JUOS/D,0,0,0,0,0
2,3,KRLA2,0,0,6,3,0
2,3,KRLA2/D,0,0,2,0,0
2,3,MAFR3,0,0,0,0,0
2,3,PIED,0,0,0,0,0
2,3,PIED/D,0,0,0,0,0
2,3,SHRO,0,0,0,0,0
2,3,SHRO/D,0,0,0,0,0
2,3,SYOR,0,0,0,0,0
2,3,SYOR/D,0,0,0,0,0
2,3,YUBA,0,0,0,0,0
2,4,AMUT/D,0,0,0,0,0
