"Plot","ClassAtotal","ClassBtotal","ClassCtotal","ClassDtotal","ClassEtotal"
"2",0,4,7,3,0
"2",0,1,6,1,0
"2",0,0,0,0,0
"10",0,5,22,1,0
"10",0,0,0,0,0
"10",0,0,0,0,0
"11",0,1,0,0,0
"11",0,3,9,1,0
"11",0,1,1,0,0
"12",0,0,0,0,0
"12",0,0,0,0,0
"12",0,0,0,0,0
"14",0,0,0,0,0
"14",0,0,0,0,0
"14",0,0,0,0,0
"15",0,0,0,0,0
"15",0,0,0,0,0
"15",0,0,0,0,0
"16",0,1,3,0,0
"16",0,0,4,0,0
"16",0,0,4,0,0
"17",0,0,0,0,0
"17",0,0,0,0,0
"17",0,0,1,0,0
"18",0,0,0,0,0
"18",0,0,1,0,0
"18",0,1,0,0,0
"19",0,2,5,0,0
"19",0,3,4,3,0
"19",0,2,3,1,0
"20",0,0,0,0,0
"20",0,0,0,0,0
"20",0,0,0,0,0
"21",0,4,5,0,0
"21",0,7,7,0,0
"21",0,5,6,0,0
"23",0,1,1,0,0
"23",0,0,2,0,0
"23",0,0,1,0,0
"24",0,3,10,0,0
"24",0,7,5,0,0
"24",0,4,8,1,0
"32",0,1,2,2,0
"32",0,1,4,0,0
"32",0,0,2,0,0
"33",0,0,0,0,0
"33",0,0,0,0,0
"33",0,0,0,0,0
"38",0,0,2,0,0
"38",0,0,6,0,0
"38",0,1,10,0,0
"39",0,0,1,0,0
"39",0,2,2,0,0
"39",0,1,0,0,0
"40",0,5,9,0,0
"42",0,4,11,0,0
"42",0,4,12,0,0
"42",0,4,17,2,0
"43",0,5,8,1,0
"43",0,3,6,0,0
"43",0,5,10,1,0
"44",0,4,13,1,0
"44",0,1,5,0,0
"44",0,2,10,3,0
"47",0,1,4,0,0
"47",0,6,2,0,0
"47",0,6,6,3,0
"48",0,5,5,2,0
"48",0,4,5,0,0
"48",0,5,5,2,0
"50",0,0,3,0,0
"50",0,1,7,2,0
"50",0,3,3,2,0
"51",0,0,4,0,0
"51",0,1,0,0,0
"51",0,2,6,0,0
"52",0,10,19,3,0
"52",0,1,32,3,0
"52",0,3,18,0,0
"54",0,0,0,0,0
"54",0,2,0,0,0
"54",0,2,0,0,0
"55",0,1,1,1,0
"55",0,0,0,0,0
"55",0,1,7,0,0
"56",0,0,1,0,0
"56",1,0,0,0,0
"56",0,3,2,0,0
"57",0,3,8,4,0
"57",0,1,11,1,0
"57",0,3,16,3,0
"58",0,4,13,6,0
"58",0,9,12,1,0
"58",0,5,17,3,0
"59",0,1,4,0,0
"59",0,1,1,0,0
"59",0,2,1,0,0
"60",0,1,6,0,0
"60",0,0,4,1,0
"60",0,0,4,5,0
"61",0,1,5,0,0
"61",0,1,0,0,0
"61",0,0,0,0,0
"63",0,0,0,0,0
"63",0,0,0,0,0
"63",0,0,0,0,0
"64",0,1,0,0,0
"64",0,0,0,0,0
"64",0,2,0,0,0
"65",0,1,1,0,0
"65",0,0,5,1,0
"65",0,3,7,1,0
"66",0,0,0,0,0
"66",0,0,0,0,0
"66",0,0,0,0,0
"67",0,0,2,0,0
"67",0,0,1,0,0
"67",0,0,0,0,0
"68",0,0,3,1,0
"68",0,0,1,0,0
"68",0,1,1,0,0
"69",0,0,0,0,0
"69",0,0,0,0,0
"69",0,0,0,0,0
"70",0,0,1,0,0
"70",0,0,0,0,0
"70",0,2,2,0,0
"73",0,2,4,1,0
"73",0,9,10,0,0
"73",0,5,16,0,0
"76",0,1,7,1,0
"76",0,2,7,0,0
"76",0,0,6,0,0
"77",0,2,4,0,0
"77",0,1,13,0,0
"77",0,0,2,0,0
"79",0,0,0,0,0
"79",0,3,4,0,0
"79",0,4,3,0,0
"80",0,5,9,2,0
"80",0,5,11,2,0
"80",2,4,14,1,0
"82",0,5,12,3,0
"82",0,3,7,3,0
"82",0,2,5,1,0
"83",0,3,14,0,0
"83",0,3,9,1,0
"83",0,5,10,2,0
"86",0,4,13,1,0
"86",0,5,11,2,0
"86",0,5,17,0,0
"88",0,0,3,0,0
"88",0,0,1,0,0
"88",0,0,0,0,0
"89",0,2,0,0,0
"89",0,0,3,0,0
"89",0,0,0,0,0
"90",0,0,13,0,0
"90",0,6,7,0,0
"90",0,1,4,0,0
"91",0,1,11,0,0
"91",0,0,6,0,0
"91",0,1,0,1,0
"92",0,5,2,2,0
"92",0,2,2,0,0
"92",0,6,7,0,0
"93",0,0,0,0,0
"93",0,0,2,0,0
"93",0,0,0,0,0
"94",0,1,1,0,0
"94",0,0,3,1,0
"94",0,0,2,0,0
"95",0,0,0,0,0
"95",0,4,3,0,0
"95",0,3,8,0,0
"B1_1",3,0,5,3,0
"B1_1",0,6,7,2,0
"B1_1",0,3,11,0,0
"B1_10",0,2,4,0,0
"B1_10",0,4,10,0,0
"B1_10",0,5,9,0,0
"B1_2",0,2,0,0,0
"B1_2",0,0,0,0,0
"B1_2",0,0,2,0,0
"B1_3",0,0,0,0,0
"B1_3",0,0,0,0,0
"B1_3",0,0,0,0,0
"B1_4",0,0,0,0,0
"B1_4",0,0,0,0,0
"B1_4",0,0,1,0,0
"B1_5",0,1,2,0,0
"B1_5",0,0,6,1,0
"B1_5",0,3,1,0,0
"B1_6",0,0,3,8,2
"B1_6",0,4,9,0,0
"B1_6",0,12,9,0,0
"B1_7",0,2,14,5,0
"B1_7",0,1,11,5,0
"B1_7",0,0,6,6,0
"B1_8",0,1,0,0,0
"B1_8",0,0,0,0,0
"B1_8",0,0,0,0,0
"B1_9",0,5,10,0,0
"B1_9",0,11,5,1,0
"B1_9",0,2,15,3,0
"B2_1",0,0,0,0,0
"B2_1",0,0,0,0,0
"B2_1",0,0,0,0,0
"B2_10",0,7,7,0,0
"B2_10",0,0,6,0,0
"B2_10",0,1,9,0,0
"B2_2",0,13,20,1,0
"B2_2",0,8,17,3,0
"B2_2",0,7,10,0,0
"B2_4",0,9,6,0,0
"B2_4",0,8,4,0,0
"B2_4",0,7,12,0,0
"B2_5",0,4,6,0,0
"B2_5",0,2,9,2,0
"B2_5",0,6,10,2,0
"B2_6",0,0,0,0,0
"B2_6",0,0,0,0,0
"B2_6",0,2,1,0,0
"B2_7",0,4,6,0,0
"B2_7",0,5,3,1,0
"B2_7",0,0,7,1,0
"B2_8",0,0,0,0,0
"B2_8",0,1,1,0,0
"B2_8",0,0,0,0,0
"B2_9",0,4,13,3,0
"B2_9",0,8,11,0,0
"B2_9",0,6,9,0,0
"B3_1",0,4,6,0,0
"B3_1",0,4,3,0,0
"B3_1",0,2,11,1,0
"B3_10",0,2,3,1,0
"B3_10",0,7,4,0,0
"B3_10",0,1,10,0,0
"B3_2",0,5,9,0,0
"B3_2",0,4,8,0,0
"B3_2",0,4,5,0,0
"B3_3",0,0,0,0,0
"B3_3",0,0,0,0,0
"B3_3",0,0,0,0,0
"B3_4",0,0,0,0,0
"B3_4",0,0,0,0,0
"B3_4",0,2,0,0,0
"B3_5",0,0,0,0,0
"B3_5",0,0,0,0,0
"B3_5",0,0,0,0,0
"B3_6",0,1,14,6,0
"B3_6",0,8,9,1,0
"B3_6",0,4,20,3,0
"B3_7",0,14,7,3,0
"B3_7",0,5,8,1,0
"B3_7",0,7,9,0,0
"B3_8",0,3,0,0,0
"B3_8",0,0,0,0,0
"B3_8",0,1,2,0,0
"B3_9",0,0,0,0,0
"B3_9",0,0,0,0,0
"B3_9",0,0,0,0,0
"B4_1",0,1,6,0,0
"B4_1",0,2,8,0,0
"B4_1",0,3,6,0,0
"B4_10",0,6,7,0,0
"B4_10",0,2,12,0,0
"B4_10",0,2,13,0,0
"B4_2",0,2,2,0,0
"B4_2",0,0,1,0,0
"B4_2",0,3,2,0,0
"B4_3",0,1,9,1,0
"B4_3",0,1,7,3,0
"B4_3",0,6,5,4,0
"B4_4",0,3,5,0,0
"B4_4",0,3,6,1,0
"B4_4",0,3,8,0,0
"B4_6",0,2,5,1,0
"B4_6",0,2,4,0,0
"B4_6",0,3,3,2,0
"B4_7",0,0,0,0,0
"B4_7",0,1,0,0,0
"B4_7",0,0,0,0,0
"B4_8",0,0,0,0,0
"B4_8",0,0,0,0,0
"B4_8",0,0,0,0,0
"B4_9",0,1,5,0,0
"B4_9",0,1,2,0,0
"B4_9",0,1,0,0,0
"IL1_1",0,2,7,3,0
"IL1_1",0,1,3,0,0
"IL1_1",0,2,3,2,0
"IL1_10",0,0,1,0,0
"IL1_10",0,3,0,1,0
"IL1_10",0,0,1,0,0
"IL1_3",0,0,0,0,0
"IL1_3",0,0,0,0,0
"IL1_3",0,0,0,0,0
"IL1_4",0,5,10,1,0
"IL1_4",0,3,2,0,0
"IL1_4",0,5,6,0,1
"IL1_5",0,1,3,0,0
"IL1_5",0,3,3,0,0
"IL1_5",0,2,2,0,0
"IL1_8",0,0,0,0,0
"IL1_8",0,0,5,2,0
"IL1_8",0,1,2,0,0
"IL1_9",0,1,2,0,0
"IL1_9",0,0,0,0,0
"IL1_9",0,1,1,1,0
"IL2_1",0,1,5,0,0
"IL2_1",0,2,2,0,0
"IL2_1",0,1,6,0,0
"IL2_10",0,6,14,1,0
"IL2_10",0,7,10,1,0
"IL2_10",0,6,15,0,0
"IL2_2",0,0,0,0,0
"IL2_2",0,0,0,0,0
"IL2_2",0,0,0,0,0
"IL2_3",3,9,4,0,0
"IL2_3",0,2,4,0,0
"IL2_3",0,3,5,2,0
"IL2_4",0,2,0,0,0
"IL2_4",0,0,3,0,0
"IL2_4",0,3,2,0,0
"IL2_5",0,0,0,0,0
"IL2_5",0,0,0,0,0
"IL2_5",0,0,0,0,0
"IL2_7",0,2,6,1,0
"IL2_7",0,1,6,3,0
"IL2_7",0,1,10,0,0
"IL2_8",0,1,4,0,0
"IL2_8",0,1,0,0,0
"IL2_8",0,1,2,0,0
"IL2_9",2,7,0,0,0
"IL2_9",0,5,9,1,0
"IL2_9",2,11,0,0,0
"IL3_1",0,8,1,0,0
"IL3_1",0,7,6,0,0
"IL3_1",0,4,5,0,0
"IL3_10",0,2,3,0,0
"IL3_10",0,1,5,2,0
"IL3_10",0,0,4,1,0
"IL3_2",0,0,3,0,0
"IL3_2",0,2,1,2,0
"IL3_2",0,2,6,0,0
"IL3_3",0,3,15,1,0
"IL3_3",0,2,10,1,0
"IL3_3",0,3,9,0,0
"IL3_4",0,3,4,0,0
"IL3_4",0,4,6,1,0
"IL3_4",0,3,7,0,0
"IL3_6",0,4,3,0,0
"IL3_6",0,2,2,0,0
"IL3_6",1,4,6,0,0
"IL3_7",0,2,1,0,0
"IL3_7",0,4,5,0,0
"IL3_7",0,3,7,0,0
"IL3_9",0,5,9,0,0
"IL3_9",0,1,7,0,0
"IL3_9",0,2,6,1,0
"IL4_10",0,0,8,1,0
"IL4_10",0,2,3,0,0
"IL4_10",0,1,3,0,0
"IL4_2",0,1,4,2,0
"IL4_2",0,4,9,1,0
"IL4_2",0,3,7,2,0
"IL4_3",0,0,1,0,0
"IL4_3",0,1,3,0,0
"IL4_3",0,4,3,0,0
"IL4_4",0,1,2,0,0
"IL4_4",0,3,1,0,0
"IL4_4",0,2,0,0,0
"IL4_5",0,4,3,0,0
"IL4_5",0,0,2,0,0
"IL4_5",0,3,1,0,0
"IL4_7",0,3,13,1,0
"IL4_7",0,6,13,3,0
"IL4_7",0,2,8,3,0
"IL4_8",0,0,0,0,0
"IL4_8",0,4,1,0,0
"IL4_8",0,2,3,0,0
"IL4_9",0,4,7,0,0
"IL4_9",0,4,11,0,0
"IL4_9",0,9,5,0,0
"M1_1",0,0,0,0,0
"M1_1",0,0,0,0,0
"M1_1",0,0,0,0,0
"M1_10",0,0,7,0,0
"M1_10",0,0,0,0,0
"M1_10",0,2,0,0,0
"M1_2",0,4,7,0,0
"M1_2",0,0,12,1,0
"M1_2",0,3,11,2,0
"M1_4",0,0,2,0,0
"M1_4",0,1,5,0,0
"M1_4",0,1,2,0,0
"M1_5",0,4,7,3,0
"M1_5",0,5,8,1,0
"M1_5",0,4,3,3,0
"M1_6",0,0,0,0,0
"M1_6",0,0,0,0,0
"M1_6",0,0,0,0,0
"M1_7",0,0,0,0,0
"M1_7",0,0,0,0,0
"M1_7",0,0,0,0,0
"M1_8",0,0,0,0,0
"M1_8",0,0,0,0,0
"M1_8",0,0,0,0,0
"M2_1",0,5,10,0,0
"M2_1",0,1,10,1,0
"M2_1",0,3,10,1,0
"M2_10",0,0,0,0,0
"M2_10",0,0,0,0,0
"M2_10",0,0,0,0,0
"M2_3",0,7,18,0,0
"M2_3",0,11,10,0,0
"M2_3",0,4,6,1,0
"M2_5",0,0,0,0,0
"M2_5",0,0,0,0,0
"M2_5",0,0,0,0,0
"M2_6",0,0,0,0,0
"M2_6",0,0,0,0,0
"M2_6",0,0,0,0,0
"M2_7",0,0,0,0,0
"M2_7",0,0,0,0,0
"M2_7",0,0,0,0,0
"M2_8",0,0,1,0,0
"M2_8",0,0,0,0,0
