"Plot","Line","SpeciesCode","ClassAtotal","ClassBtotal","ClassCtotal","ClassDtotal","ClassEtotal"
"2",2,"ARTR2",0,0,3,0,0
"2",3,"ARTR2",0,0,2,0,0
"2",4,"ARTR2",0,0,0,0,0
"10",2,"ARTR2",0,0,0,0,0
"10",3,"ARTR2",0,0,0,0,0
"10",4,"ARTR2",0,0,0,0,0
"11",2,"ARTR2",0,0,0,0,0
"11",3,"ARTR2",0,0,0,0,0
"11",4,"ARTR2",0,0,1,0,0
"12",2,"ARTR2",0,0,0,0,0
"12",3,"ARTR2",0,0,0,0,0
"12",4,"ARTR2",0,0,0,0,0
"14",2,"ARTR2",0,0,0,0,0
"14",3,"ARTR2",0,0,0,0,0
"14",4,"ARTR2",0,0,0,0,0
"15",2,"ARTR2",0,0,0,0,0
"15",3,"ARTR2",0,0,1,0,0
"15",4,"ARTR2",0,0,0,0,0
"16",2,"ARTR2",0,0,2,0,0
"16",3,"ARTR2",0,0,1,0,0
"16",4,"ARTR2",0,2,0,0,0
"17",2,"ARTR2",0,0,0,0,0
"17",3,"ARTR2",0,0,0,0,0
"17",4,"ARTR2",0,0,0,0,0
"18",2,"ARTR2",0,0,0,0,0
"18",3,"ARTR2",0,0,0,0,0
"18",4,"ARTR2",0,0,0,0,0
"19",1,"ARTR2",2,0,23,5,0
"19",3,"ARTR2",0,0,15,5,0
"19",5,"ARTR2",0,0,14,6,0
"20",2,"ARTR2",0,0,0,0,0
"20",3,"ARTR2",0,0,0,0,0
"20",4,"ARTR2",0,0,0,0,0
"21",2,"ARTR2",0,0,0,0,0
"21",3,"ARTR2",0,0,0,0,0
"21",4,"ARTR2",0,0,0,0,0
"23",2,"ARTR2",0,0,0,0,0
"23",3,"ARTR2",0,0,0,0,0
"23",4,"ARTR2",0,0,0,0,0
"24",1,"ARTR2",0,0,8,1,0
"24",3,"ARTR2",0,0,6,1,0
"24",5,"ARTR2",0,0,3,4,0
"32",1,"ARTR2",0,0,0,0,0
"32",2,"ARTR2",0,0,1,0,0
"32",3,"ARTR2",1,0,0,0,0
"33",1,"ARTR2",0,0,1,0,0
"33",3,"ARTR2",0,0,0,0,0
"33",5,"ARTR2",0,0,0,0,0
"38",1,"ARTR2",0,0,9,2,0
"38",2,"ARTR2",1,0,3,3,0
"38",3,"ARTR2",1,0,7,0,0
"39",1,"ARTR2",0,0,4,1,0
"39",3,"ARTR2",0,0,1,0,0
"39",5,"ARTR2",6,0,1,0,0
"40",1,"ARTR2",0,0,7,1,0
"42",1,"ARTR2",0,0,9,3,0
"42",3,"ARTR2",0,0,4,0,0
"42",5,"ARTR2",0,0,0,0,0
"43",1,"ARTR2",0,0,13,3,0
"43",3,"ARTR2",2,0,5,2,0
"43",5,"ARTR2",0,0,13,3,0
"44",1,"ARTR2",0,0,6,3,0
"44",3,"ARTR2",1,0,7,3,0
"44",5,"ARTR2",0,0,8,7,0
"47",1,"ARTR2",0,0,1,4,1
"47",3,"ARTR2",0,0,2,1,0
"47",5,"ARTR2",0,0,1,1,1
"48",1,"ARTR2",1,0,13,5,0
"48",3,"ARTR2",0,2,7,7,0
"48",5,"ARTR2",0,1,9,0,0
"50",1,"ARTR2",0,2,12,18,0
"50",3,"ARTR2",0,0,8,8,0
"50",5,"ARTR2",0,0,9,7,0
"51",1,"ARTR2",0,0,0,0,0
"51",3,"ARTR2",0,0,1,0,0
"51",5,"ARTR2",0,0,0,0,0
"52",1,"ARTR2",0,0,0,0,0
"52",3,"ARTR2",0,0,0,0,0
"52",5,"ARTR2",0,0,0,0,0
"54",1,"ARTR2",0,0,0,0,0
"54",3,"ARTR2",0,0,0,0,0
"54",5,"ARTR2",0,0,1,0,0
"55",1,"ARTR2",0,0,0,0,0
"55",2,"ARTR2",0,0,0,0,0
"55",3,"ARTR2",0,0,1,2,0
"56",1,"ARTR2",0,0,0,0,0
"56",2,"ARTR2",0,0,0,0,0
"56",3,"ARTR2",0,0,0,0,0
"57",1,"ARTR2",0,0,2,2,0
"57",2,"ARTR2",0,0,0,0,0
"57",3,"ARTR2",0,0,0,0,0
"58",1,"ARTR2",0,0,0,0,0
"58",3,"ARTR2",0,0,0,0,0
"58",5,"ARTR2",0,0,0,0,0
"59",1,"ARTR2",0,0,3,0,0
"59",2,"ARTR2",0,0,0,0,0
"59",3,"ARTR2",0,0,1,0,0
"60",1,"ARTR2",0,0,0,0,0
"60",2,"ARTR2",0,0,0,0,0
"60",3,"ARTR2",0,0,0,0,0
"61",1,"ARTR2",0,0,1,0,0
"61",2,"ARTR2",0,0,0,1,0
"61",3,"ARTR2",0,0,0,0,0
"63",1,"ARTR2",0,0,0,0,0
"63",2,"ARTR2",0,0,0,0,0
"63",3,"ARTR2",0,0,0,0,0
"64",1,"ARTR2",0,0,0,0,0
"64",3,"ARTR2",0,0,0,0,0
"64",5,"ARTR2",0,0,0,0,0
"65",1,"ARTR2",0,0,2,0,0
"65",2,"ARTR2",1,0,1,0,0
"65",3,"ARTR2",1,1,1,0,0
