Plot,Line,Species,Total
1,2,ARBI3,6
1,2,ARBI3/D,1
1,2,BRMI,10
1,2,CEIN7,6
1,2,CHVI8,17
1,2,CHVI8/D,1
1,2,FRAN2,2
1,2,PIED,1
1,3,ARBI3,1
1,3,ARBI3/D,0
1,3,BRMI,6
1,3,CEIN7,0
1,3,CHVI8,16
1,3,CHVI8/D,2
1,3,FRAN2,2
1,3,JUOS,1
1,3,JUOS/D,1
1,3,MAFR3,1
1,3,PIED,1
1,3,SHRO,0
1,3,SHRO/D,1
1,4,AMUT/D,1
1,4,ARBI3,8
1,4,ARBI3/D,6
1,4,BRMI,2
1,4,CEIN7,1
1,4,CHVI8,12
1,4,CHVI8/D,0
1,4,EPVI,3
1,4,FRAN2,0
1,4,GUMI,7
1,4,JUOS,1
1,4,JUOS/D,0
1,4,MAFR3,0
1,4,PIED,2
1,4,SHRO,0
1,4,SHRO/D,0
10,2,AMUT/D,0
10,2,ARBI3,0
10,2,ARBI3/D,0
10,2,ARTR2,0
10,2,ARTR2/D,28
10,2,BRMI,0
10,2,CEIN7,0
10,2,CHVI8,5
10,2,CHVI8/D,0
10,2,EPVI,0
10,2,FRAN2,0
10,2,GUMI,0
10,2,GUSA2,39
10,2,GUSA2/D,5
10,2,JUOS,0
10,2,JUOS/D,1
10,2,KRLA2,0
10,2,KRLA2/D,1
10,2,MAFR3,0
10,2,PIED,0
10,2,SHRO,0
10,2,SHRO/D,0
10,3,AMUT/D,0
10,3,ARBI3,0
10,3,ARBI3/D,0
10,3,ARTR2,0
10,3,ARTR2/D,0
10,3,BRMI,0
10,3,CEIN7,0
10,3,CHVI8,0
10,3,CHVI8/D,0
10,3,EPVI,0
10,3,FRAN2,0
10,3,GUMI,0
10,3,GUSA2,28
10,3,GUSA2/D,4
10,3,JUOS,1
10,3,JUOS/D,1
10,3,KRLA2,0
10,3,KRLA2/D,0
10,3,MAFR3,0
10,3,PIED,2
10,3,SHRO,0
10,3,SHRO/D,0
10,4,AMUT/D,0
10,4,ARBI3,0
10,4,ARBI3/D,0
10,4,ARTR2,0
10,4,ARTR2/D,0
10,4,BRMI,0
10,4,CEIN7,0
10,4,CHVI8,0
10,4,CHVI8/D,0
10,4,EPVI,0
10,4,FRAN2,0
10,4,GUMI,0
10,4,GUSA2,38
10,4,GUSA2/D,5
10,4,JUOS,1
10,4,JUOS/D,1
10,4,KRLA2,0
10,4,KRLA2/D,0
10,4,MAFR3,0
10,4,PIED,1
10,4,SHRO,0
10,4,SHRO/D,0
11,2,AMUT/D,0
11,2,ARBI3,0
11,2,ARBI3/D,0
11,2,ARTR2,0
11,2,ARTR2/D,1
11,2,ATCA2,3
11,2,ATCA2/D,3
11,2,BRMI,0
11,2,CEIN7,0
11,2,CHVI8,0
11,2,CHVI8/D,0
11,2,EPVI,0
11,2,FRAN2,0
11,2,GUMI,0
11,2,GUSA2,0
11,2,GUSA2/D,0
11,2,JUOS,0
11,2,JUOS/D,0
11,2,KRLA2,3
11,2,KRLA2/D,0
11,2,MAFR3,0
11,2,PIED,0
11,2,SHRO,0
11,2,SHRO/D,0
11,3,AMUT/D,0
11,3,ARBI3,0
11,3,ARBI3/D,0
11,3,ARTR2,0
11,3,ARTR2/D,13
11,3,ATCA2,3
11,3,ATCA2/D,0
11,3,BRMI,0
11,3,CEIN7,0
11,3,CHVI8,0
11,3,CHVI8/D,0
11,3,EPVI,0
11,3,FRAN2,0
11,3,GUMI,0
11,3,GUSA2,0
11,3,GUSA2/D,0
11,3,JUOS,0
11,3,JUOS/D,0
11,3,KRLA2,0
11,3,KRLA2/D,0
11,3,MAFR3,0
11,3,PIED,0
11,3,SHRO,0
11,3,SHRO/D,0
11,4,AMUT/D,0
11,4,ARBI3,0
11,4,ARBI3/D,0
11,4,ARTR2,1
11,4,ARTR2/D,2
11,4,ATCA2,5
11,4,ATCA2/D,1
11,4,BRMI,0
11,4,CEIN7,0
11,4,CHVI8,0
11,4,CHVI8/D,0
11,4,EPVI,0
11,4,FRAN2,0
11,4,GUMI,0
11,4,GUSA2,0
11,4,GUSA2/D,0
11,4,JUOS,0
11,4,JUOS/D,0
11,4,KRLA2,4
11,4,KRLA2/D,0
11,4,MAFR3,0
11,4,PIED,0
11,4,SHRO,0
11,4,SHRO/D,0
12,2,AMUT/D,0
12,2,ARBI3,0
12,2,ARBI3/D,0
12,2,ARTR2,0
12,2,ARTR2/D,0
12,2,ATCA2,0
12,2,ATCA2/D,0
12,2,BRMI,0
12,2,CEIN7,0
12,2,CHVI8,2
12,2,CHVI8/D,0
12,2,EPVI,0
12,2,FRAN2,0
12,2,GUMI,0
12,2,GUSA2,20
12,2,GUSA2/D,6
12,2,JUOS,1
12,2,JUOS/D,0
12,2,KRLA2,0
12,2,KRLA2/D,0
12,2,MAFR3,0
12,2,PIED,0
12,2,SHRO,0
12,2,SHRO/D,0
12,2,SYOR,0
12,2,SYOR/D,0
12,3,AMUT/D,0
12,3,ARBI3,0
12,3,ARBI3/D,0
12,3,ARTR2,0
12,3,ARTR2/D,0
12,3,ATCA2,0
12,3,ATCA2/D,0
12,3,BRMI,0
12,3,CEIN7,0
12,3,CHVI8,0
12,3,CHVI8/D,0
12,3,EPVI,0
12,3,FRAN2,0
12,3,GUMI,0
12,3,GUSA2,1
12,3,GUSA2/D,0
12,3,JUOS,2
12,3,JUOS/D,0
12,3,KRLA2,0
12,3,KRLA2/D,0
12,3,MAFR3,0
12,3,PIED,1
12,3,SHRO,0
12,3,SHRO/D,0
12,3,SYOR,1
12,3,SYOR/D,0
