Site,Plot,Line,Date,Species,Total,Density
BEEF BASIN 2013,B1_1,2,9/4/2013,ARTR2,3,30000
BEEF BASIN 2013,B1_1,2,9/4/2013,ARTR2/D,11,110000
BEEF BASIN 2013,B1_1,2,9/4/2013,ATCA2,0,0
BEEF BASIN 2013,B1_1,2,9/4/2013,ATCA2/D,0,0
BEEF BASIN 2013,B1_1,2,9/4/2013,CHVI,0,0
BEEF BASIN 2013,B1_1,2,9/4/2013,CHVI/D,0,0
BEEF BASIN 2013,B1_1,2,9/4/2013,CHVI8,0,0
BEEF BASIN 2013,B1_1,2,9/4/2013,CHVI8/D,0,0
BEEF BASIN 2013,B1_1,2,9/4/2013,EPVI,0,0
BEEF BASIN 2013,B1_1,2,9/4/2013,EPVI/D,0,0
BEEF BASIN 2013,B1_1,2,9/4/2013,JUOS,0,0
BEEF BASIN 2013,B1_1,2,9/4/2013,JUOS/D,0,0
BEEF BASIN 2013,B1_1,2,9/4/2013,KRLA2,14,140000
BEEF BASIN 2013,B1_1,2,9/4/2013,KRLA2/D,0,0
BEEF BASIN 2013,B1_1,2,9/4/2013,MAFR3,0,0
BEEF BASIN 2013,B1_1,2,9/4/2013,PIED,0,0
BEEF BASIN 2013,B1_1,2,9/4/2013,PIED/D,0,0
BEEF BASIN 2013,B1_1,2,9/4/2013,YUBA,0,0
BEEF BASIN 2013,B1_1,2,9/4/2013,YUBA/D,0,0
BEEF BASIN 2013,B1_1,3,9/4/2013,ARTR2,5,50000
BEEF BASIN 2013,B1_1,3,9/4/2013,ARTR2/D,15,150000
BEEF BASIN 2013,B1_1,3,9/4/2013,ATCA2,1,10000
BEEF BASIN 2013,B1_1,3,9/4/2013,ATCA2/D,1,10000
BEEF BASIN 2013,B1_1,3,9/4/2013,CHVI,0,0
BEEF BASIN 2013,B1_1,3,9/4/2013,CHVI/D,0,0
BEEF BASIN 2013,B1_1,3,9/4/2013,CHVI8,0,0
BEEF BASIN 2013,B1_1,3,9/4/2013,CHVI8/D,0,0
BEEF BASIN 2013,B1_1,3,9/4/2013,EPVI,0,0
BEEF BASIN 2013,B1_1,3,9/4/2013,EPVI/D,0,0
BEEF BASIN 2013,B1_1,3,9/4/2013,JUOS,0,0
BEEF BASIN 2013,B1_1,3,9/4/2013,JUOS/D,0,0
BEEF BASIN 2013,B1_1,3,9/4/2013,KRLA2,19,190000
BEEF BASIN 2013,B1_1,3,9/4/2013,KRLA2/D,1,10000
BEEF BASIN 2013,B1_1,3,9/4/2013,MAFR3,0,0
BEEF BASIN 2013,B1_1,3,9/4/2013,PIED,0,0
BEEF BASIN 2013,B1_1,3,9/4/2013,PIED/D,0,0
BEEF BASIN 2013,B1_1,3,9/4/2013,YUBA,0,0
BEEF BASIN 2013,B1_1,3,9/4/2013,YUBA/D,0,0
BEEF BASIN 2013,B1_1,4,9/4/2013,ARTR2,7,70000
BEEF BASIN 2013,B1_1,4,9/4/2013,ARTR2/D,14,140000
BEEF BASIN 2013,B1_1,4,9/4/2013,ATCA2,0,0
BEEF BASIN 2013,B1_1,4,9/4/2013,ATCA2/D,0,0
BEEF BASIN 2013,B1_1,4,9/4/2013,CHVI,0,0
BEEF BASIN 2013,B1_1,4,9/4/2013,CHVI/D,0,0
BEEF BASIN 2013,B1_1,4,9/4/2013,CHVI8,0,0
BEEF BASIN 2013,B1_1,4,9/4/2013,CHVI8/D,0,0
BEEF BASIN 2013,B1_1,4,9/4/2013,EPVI,0,0
BEEF BASIN 2013,B1_1,4,9/4/2013,EPVI/D,0,0
BEEF BASIN 2013,B1_1,4,9/4/2013,JUOS,0,0
BEEF BASIN 2013,B1_1,4,9/4/2013,JUOS/D,0,0
BEEF BASIN 2013,B1_1,4,9/4/2013,KRLA2,22,220000
BEEF BASIN 2013,B1_1,4,9/4/2013,KRLA2/D,0,0
BEEF BASIN 2013,B1_1,4,9/4/2013,MAFR3,0,0
BEEF BASIN 2013,B1_1,4,9/4/2013,PIED,0,0
BEEF BASIN 2013,B1_1,4,9/4/2013,PIED/D,0,0
BEEF BASIN 2013,B1_1,4,9/4/2013,YUBA,0,0
BEEF BASIN 2013,B1_1,4,9/4/2013,YUBA/D,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,AMUT,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,ARTR2,3,30000
BEEF BASIN 2013,B1_10,2,1/2/2014,ARTR2/D,6,60000
BEEF BASIN 2013,B1_10,2,1/2/2014,ARTRW8,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,ATCA2,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,ATCA2/D,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,CEMO,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,CHVI8,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,CHVI8/D,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,CRAN4,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,EPVI,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,EPVI/D,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,JUOS,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,JUOS/D,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,KRLA2,42,420000
BEEF BASIN 2013,B1_10,2,1/2/2014,KRLA2/D,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,MAFR3,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,PIED,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,PIED/D,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,SHRO,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,SHRO/D,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,SYOR,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,SYOR/D,0,0
BEEF BASIN 2013,B1_10,2,1/2/2014,YUBA,0,0
