"","AMUT","AMUT/D","ARBI3","ARBI3/D","ARFR4","ARNO4","ARNO4/D","ARTR2","ARTR2/D","ATCA2","ATCA2/D","ATCO","ATCO/D","BRMI","CEIN7","CEMO2","CEMO2/D","CHNAA3","CHNAA3/D","CHVI8","CHVI8/D","CRAN4","EPVI","EPVI/D","FRAN2","GUMI","GUSA2","GUSA2/D","JUOS","JUOS/D","KRLA2","KRLA2/D","MAFR3","MAFR3/D","PIED","PIED/D","SAVE4","SHRO","SHRO/D","SYOR","SYOR/D","YUAN2","YUAN2/D","YUBA","YUBA/D"
"1",0,0.00555555555555556,0.0833333333333333,0.0388888888888889,0,0,0,0,0,0,0,0,0,0.1,0.0388888888888889,0,0,0,0,0.25,0.0166666666666667,0,0.0166666666666667,0,0.0222222222222222,0.0388888888888889,0,0,0.0111111111111111,0.00555555555555556,0,0,0.00555555555555556,0,0.0222222222222222,0,0,0,0.00555555555555556,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0.155555555555556,0,0,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0,0,0,0,0.583333333333333,0.0777777777777778,0.0111111111111111,0.0166666666666667,0,0.00555555555555556,0,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0.00555555555555556,0.0888888888888889,0.0611111111111111,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0.00555555555555556,0.0166666666666667,0,0,0,0,0,0,0,0.0111111111111111,0,0,0,0,0.0111111111111111,0,0,0,0,0,0,0.127777777777778,0.0444444444444444,0.0222222222222222,0,0,0,0,0,0.0111111111111111,0,0,0,0,0.00555555555555556,0,0,0,0,0
"14",0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0.0111111111111111,0,0,0.0166666666666667,0,0,0,0.538888888888889,0.155555555555556,0.0111111111111111,0.00555555555555556,0,0,0,0,0.0222222222222222,0,0,0.00555555555555556,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0.0888888888888889,0.0166666666666667,0,0.0166666666666667,0.00555555555555556,0,0,0.911111111111111,0.15,0.0222222222222222,0,0,0,0.00555555555555556,0,0.0555555555555556,0.00555555555555556,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0.0277777777777778,0.0666666666666667,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.05,0.00555555555555556,0,0.144444444444444,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0.00555555555555556,0
"17",0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0.383333333333333,0.45,0.0333333333333333,0,0,0,0,0,0.0777777777777778,0.00555555555555556,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0.05,0.00555555555555556,0,0,0,0,0,0.483333333333333,0.25,0,0,0,0,0,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0.388888888888889,0.127777777777778,0.0333333333333333,0.00555555555555556,0,0,0,0,0,0,0,0,0.0111111111111111,0,0,0.35,0.00555555555555556,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0.0277777777777778,0.122222222222222,0.0166666666666667,0,0,0,0,0,0,0,0,0,0.116666666666667,0.0277777777777778,0,0,0,0,0,0.127777777777778,0.0222222222222222,0.00555555555555556,0,0.0833333333333333,0.0111111111111111,0,0,0.0111111111111111,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0.00555555555555556,0,0,0,0.00555555555555556,0.0222222222222222,0,0,0,0,0,0,0,0,0.333333333333333,0.0222222222222222,0,0,0,0,0,0.0722222222222222,0.0277777777777778,0,0,0.0555555555555556,0,0,0,0.0166666666666667,0,0,0,0,0,0,0,0,0.0166666666666667,0
"21",0,0,0,0,0,0,0,0,0.188888888888889,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0.127777777777778,0,0,0.15,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0.0277777777777778,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888888888888889,0.0666666666666667,0,0,0.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0.127777777777778,0.211111111111111,0.05,0,0,0,0,0,0,0,0,0,0.0444444444444444,0,0,0.111111111111111,0,0,0,0,0,0.00555555555555556,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0.0111111111111111,0.0666666666666667,0.0555555555555556,0.00555555555555556,0,0,0,0,0,0,0.00555555555555556,0,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0.433333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",0.00555555555555556,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0.0166666666666667,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0.0722222222222222,0.0166666666666667,0,0.05,0.0333333333333333,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0.144444444444444,0.105555555555556,0.0444444444444444,0,0,0,0,0,0,0,0,0,0.394444444444444,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0.0722222222222222,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0.0333333333333333,0.0111111111111111,0,0,0,0,0,0,0.0111111111111111,0,0
"40",0,0,0,0,0,0,0,0.0444444444444444,0.0777777777777778,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
