Site,Plot,Line,Date,Species,Total,Density
BEEF BASIN 2013,1,2,2/16/2014,ARBI3,6,60000
BEEF BASIN 2013,1,2,2/16/2014,ARBI3/D,1,10000
BEEF BASIN 2013,1,2,2/16/2014,BRMI,10,100000
BEEF BASIN 2013,1,2,2/16/2014,CEMO2,6,60000
BEEF BASIN 2013,1,2,2/16/2014,CHVI8,17,170000
BEEF BASIN 2013,1,2,2/16/2014,CHVI8/D,1,10000
BEEF BASIN 2013,1,2,2/16/2014,FRAN2,2,20000
BEEF BASIN 2013,1,2,2/16/2014,PIED,1,10000
BEEF BASIN 2013,1,3,2/16/2014,ARBI3,1,10000
BEEF BASIN 2013,1,3,2/16/2014,ARBI3/D,0,0
BEEF BASIN 2013,1,3,2/16/2014,BRMI,6,60000
BEEF BASIN 2013,1,3,2/16/2014,CEMO2,0,0
BEEF BASIN 2013,1,3,2/16/2014,CHVI8,16,160000
BEEF BASIN 2013,1,3,2/16/2014,CHVI8/D,2,20000
BEEF BASIN 2013,1,3,2/16/2014,FRAN2,2,20000
BEEF BASIN 2013,1,3,2/16/2014,JUOS,1,10000
BEEF BASIN 2013,1,3,2/16/2014,JUOS/D,1,10000
BEEF BASIN 2013,1,3,2/16/2014,MAFR3,1,10000
BEEF BASIN 2013,1,3,2/16/2014,PIED,1,10000
BEEF BASIN 2013,1,3,2/16/2014,SH01,0,0
BEEF BASIN 2013,1,3,2/16/2014,SH01/D,1,10000
BEEF BASIN 2013,1,4,2/16/2014,AMUT/D,1,10000
BEEF BASIN 2013,1,4,2/16/2014,ARBI3,8,80000
BEEF BASIN 2013,1,4,2/16/2014,ARBI3/D,6,60000
BEEF BASIN 2013,1,4,2/16/2014,BRMI,2,20000
BEEF BASIN 2013,1,4,2/16/2014,CEMO2,1,10000
BEEF BASIN 2013,1,4,2/16/2014,CHVI8,12,120000
BEEF BASIN 2013,1,4,2/16/2014,CHVI8/D,0,0
BEEF BASIN 2013,1,4,2/16/2014,EPVI,3,30000
BEEF BASIN 2013,1,4,2/16/2014,FRAN2,0,0
BEEF BASIN 2013,1,4,2/16/2014,GUMI,7,70000
