,ARTR2,ARTR2/D,Class
B1_1,1,1,1
B1_10,1,1,1
B1_2,1,1,1
B1_3,1,0,1
B1_4,0,1,2
B1_5,0,1,2
B1_6,1,1,1
B1_7,1,1,1
B1_8,0,1,2
B1_9,0,1,2
B2_1,0,0,3
B2_10,1,1,1
B2_2,1,1,1
B2_4,1,1,1
B2_5,1,1,1
B2_6,1,1,1
B2_7,1,1,1
B2_8,0,1,2
B2_9,1,1,1
B3_1,1,1,1
B3_10,1,1,1
B3_2,1,1,1
B3_3,0,0,3
B3_4,0,1,2
B3_5,1,0,1
B3_6,1,1,1
B3_7,1,1,1
B3_8,1,1,1
B3_9,0,0,3
B4_1,1,1,1
B4_10,0,1,2
B4_2,1,1,1
B4_3,1,1,1
B4_4,0,1,2
B4_6,1,1,1
B4_7,0,1,2
B4_8,0,0,3
B4_9,1,1,1
IL1_1,1,1,1
IL1_10,0,1,2
IL1_3,0,0,3
IL1_4,1,1,1
IL1_5,1,1,1
IL1_8,1,1,1
IL1_9,1,1,1
IL2_1,1,1,1
IL2_10,1,1,1
IL2_2,0,0,3
IL2_3,1,1,1
IL2_4,0,1,2
IL2_5,0,0,3
IL2_7,1,1,1
IL2_8,1,1,1
IL3_1,1,1,1
IL3_10,1,1,1
IL3_2,1,1,1
IL3_3,0,1,2
IL3_4,1,1,1
IL3_6,1,1,1
IL3_7,1,1,1
IL3_9,1,1,1
IL4_10,1,1,1
IL4_2,1,1,1
IL4_3,0,1,2
IL4_4,1,1,1
IL4_5,1,1,1
IL4_7,0,1,2
IL4_8,1,1,1
IL4_9,1,1,1
M1_1,1,0,1
M1_10,0,1,2
M1_2,1,1,1
M1_4,1,1,1
M1_5,1,1,1
M1_6,0,0,3
M1_7,1,0,1
M1_8,0,0,3
M2_1,1,1,1
M2_10,0,0,3
M2_3,0,1,2
M2_5,0,0,3
M2_6,0,0,3
M2_7,0,0,3
M2_8,0,1,2
M2_9,1,1,1
M3_1,0,0,3
M3_2,1,1,1
M3_3,1,1,1
M3_5,0,1,2
M3_7,1,1,1
M3_8,0,1,2
M4_2,1,1,1
M4_3,1,1,1
M4_4,0,1,2
M4_5,0,0,3
M4_6,1,1,1
M4_7,1,1,1
M4_9,1,1,1
