,ARTR2,ARTR2/D,Class,ARTR2,ARTR2/D,,ARTR2,ARTR2/D
B1_1,1,1,1,0.047680412,0.051546392,,0.037,0.04
B1_10,1,1,1,0.014925373,0.034328358,,0.01,0.023
B1_2,1,1,1,0,0,,0,0
B1_3,1,0,1,0,0,,0,0
B1_5,0,1,1,0.075736325,0.056100982,,0,0.007
B1_6,1,1,1,0.04040404,0.066666667,,0,0.007
B1_7,1,1,1,0,0.043731778,,0,0.01
B1_8,0,1,1,0.011627907,0.016611296,,0.054,0.04
B2_10,1,1,1,0,0.098039216,,0,0
B2_2,1,1,1,0.016778523,0.033557047,,0,0.023
B2_4,1,1,1,0.01208981,0.034542314,,0,0
B2_5,1,1,1,0.087412587,0.04020979,,0.02,0.033
B2_6,1,1,1,0,0.012939002,,0,0.03
B2_7,1,1,1,0,0,,0.007,0.01
B2_9,1,1,1,0.004385965,0.06871345,,0,0.02
B3_1,1,1,1,0,0.015486726,,0,0.003
B3_10,1,1,1,0,0.030627871,,0,0.06
B3_2,1,1,1,0.006726457,0.051569507,,0,0
B3_3,0,0,1,0.004950495,0.094059406,,0.01,0.02
B3_4,0,1,1,0.050613497,0.02607362,,0.007,0.02
B3_5,1,0,1,0,0.042105263,,0.05,0.023
B3_6,1,1,1,0.157360406,0.03891709,,0,0.007
B3_7,1,1,1,0.062402496,0.031201248,,0,0
B3_8,1,1,1,0,0.041818182,,0,0
B3_9,0,0,1,0.013384321,0.026768642,,0,0
B4_1,1,1,1,0.019305019,0.038610039,,0,0.077
B4_10,0,1,1,0.020895522,0.055223881,,0.003,0.047
B4_2,1,1,1,0.009296149,0.039840637,,0,0.007
B4_3,1,1,1,0.100175747,0.087873462,,0,0
B4_4,0,1,1,0.043071161,0.024344569,,0,0.02
B4_6,1,1,1,0,0.04745167,,0,0.017
B4_8,0,0,1,0.066006601,0.044554455,,0.003,0.023
B4_9,1,1,1,0,0.063703704,,0.003,0.057
IL1_1,1,1,1,0.134851138,0.03502627,,0,0.033
IL1_10,0,1,1,0.080321285,0.040160643,,0.033,0.017
IL1_3,0,0,1,0.004444444,0.025185185,,0,0.01
IL1_4,1,1,1,0.082683307,0.067082683,,0,0
IL1_5,1,1,1,0.093904448,0.021416804,,0,0.02
IL1_8,1,1,1,0,0.016474465,,0.093,0.023
IL1_9,1,1,1,0,0.038116592,,0,0
IL2_1,1,1,1,0,0.085843373,,0,0.003
IL2_10,1,1,1,0.025179856,0.010791367,,0.04,0.02
IL2_2,0,0,1,0.004267425,0.038406828,,0,0.023
IL2_3,1,1,1,0,0,,0.007,0.014
IL2_4,0,1,1,0.029772329,0.064798599,,0,0.003
IL2_5,0,0,1,0.005524862,0.023941068,,0.01,0.02
IL2_7,1,1,1,0,0,,0.014,0.037
IL2_8,1,1,1,0,0,,0,0.003
IL3_1,1,1,1,0,0,,0.007,0.03
IL3_10,1,1,1,0,0,,0,0.013
IL3_2,1,1,1,0.0155521,0.135303266,,0,0
IL3_4,1,1,1,0,0.121640736,,0.057,0.05
IL3_6,1,1,1,0.023977433,0,,0.023,0.013
IL3_7,1,1,1,0,0,,0,0.02
IL3_9,1,1,1,0.005338078,0.112099644,,0.04,0.027
IL4_10,1,1,1,0,0.052631579,,0.017,0.017
IL4_2,1,1,1,0,0.011864407,,0,0.043
IL4_4,1,1,1,0,0,,0.077,0.02
IL4_5,1,1,1,0,0.034277198,,0.04,0.02
IL4_8,1,1,1,0,0,,0.003,0.017
IL4_9,1,1,1,0,0.033138402,,0.053,0.043
M1_1,1,0,1,0,0.054455446,,0.057,0.013
M1_2,1,1,1,0,0,,0.003,0.023
M1_4,1,1,1,0,0.025242718,,0,0.01
M1_5,1,1,1,0.029982363,0.029982363,,0,0.017
M1_6,0,0,1,0.004761905,0.036507937,,0.003,0.013
M1_7,1,0,1,0.004724409,0.020472441,,0,0.057
M2_1,1,1,1,0.0075,0,,0.007,0.003
M2_9,1,1,1,0,0,,0.003,0.027
M3_2,1,1,1,0,0.004724409,,0,0.007
M3_3,1,1,1,0,0.005847953,,0,0
M3_7,1,1,1,0.015015015,0.07957958,,0.017,0.037
M4_2,1,1,1,0.009957326,0.075391181,,0.003,0.013
M4_3,1,1,1,0,0.084489281,,0.01,0.053
M4_6,1,1,1,0,0.033596838,,0,0
M4_7,1,1,1,0,0.004983389,,0,0
M4_9,1,1,1,0.179130435,0.022608696,,0,0
B1_4,0,1,2,0,0.014204545,,0.007,0.053
B1_9,0,1,2,0,0.03003003,,0.003,0
B2_1,0,0,2,0,0.005309735,,0,0.067
B2_8,0,1,2,0,0.107541899,,0,0
B4_7,0,1,2,0,0.034013605,,0,0
IL3_3,0,1,2,0,0.078947368,,0,0
IL4_3,0,1,2,0,0.012915129,,0,0
IL4_7,0,1,2,0,0,,0,0.017
M1_10,0,1,2,0,0.015432099,,0,0
M1_8,0,0,2,0,0.014256619,,0.01,0.087
M2_3,0,1,2,0,0.004021448,,0,0.003
M2_5,0,0,2,0,0.006726457,,0,0.06
M2_6,0,0,2,0,0.052955665,,0,0.003
M2_8,0,1,2,0,0,,0,0.086
M3_5,0,1,2,0,0,,0.017,0
M3_8,0,1,2,0,0,,0,0.043
M4_4,0,1,2,0,0,,0,0.003
M2_10,0,0,3,0,0,,0,0
M2_7,0,0,3,0,0,,0.003,0.063
M3_1,0,0,3,0,0,,0,0.03
M4_5,0,0,3,0,0,,0.103,0.013
