"","x"
"1",1
"2",1
"3",1
"4",1
"5",0
"6",0
"7",1
"8",1
"9",0
"10",0
"11",0
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",0
"19",1
"20",1
"21",1
"22",1
"23",0
"24",0
"25",1
"26",1
"27",1
"28",1
"29",0
"30",1
"31",0
"32",1
"33",1
"34",0
"35",1
"36",0
"37",0
"38",1
"39",1
"40",0
"41",0
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",0
"49",1
"50",0
"51",0
"52",1
"53",1
"54",1
"55",1
"56",1
"57",0
"58",1
"59",1
"60",1
"61",1
"62",1
"63",1
"64",0
"65",1
"66",1
"67",0
"68",1
"69",1
"70",1
"71",0
"72",1
"73",1
"74",1
"75",0
"76",1
"77",0
"78",1
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",1
"86",0
"87",1
"88",1
"89",0
"90",1
"91",0
"92",1
"93",1
"94",0
"95",0
"96",1
"97",1
"98",1
"99",2
"100",2
"101",2
"102",0
"103",2
"104",2
"105",2
"106",2
"107",2
"108",2
"109",0
"110",2
"111",2
"112",2
"113",2
"114",2
"115",2
"116",2
"117",2
"118",2
"119",2
"120",2
"121",0
"122",2
"123",0
"124",2
"125",2
"126",2
"127",0
"128",2
"129",2
"130",2
"131",2
"132",2
"133",2
"134",2
"135",0
"136",2
"137",2
"138",2
"139",0
"140",2
"141",2
"142",2
"143",2
"144",2
"145",2
"146",0
"147",2
"148",2
"149",0
"150",2
"151",2
"152",2
"153",2
"154",2
"155",2
"156",2
"157",2
"158",2
"159",2
"160",2
"161",2
"162",2
"163",2
"164",2
"165",2
"166",2
"167",2
"168",0
"169",2
"170",2
"171",2
"172",2
"173",0
"174",0
"175",0
"176",2
"177",0
"178",2
"179",0
"180",0
"181",0
"182",2
"183",2
"184",0
"185",2
"186",2
"187",2
"188",2
"189",2
"190",2
"191",2
"192",2
"193",0
"194",2
"195",2
"196",2
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",3
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",3
"220",0
"221",0
"222",0
"223",0
"224",0
"225",3
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",3
"234",0
"235",0
"236",0
"237",3
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",3
"245",0
"246",0
"247",3
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",3
"272",0
"273",3
"274",0
"275",3
"276",0
"277",3
"278",3
"279",3
"280",0
"281",0
"282",3
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",3
"292",0
"293",0
"294",0
