id,Elevation,maxClay,maxSand,minClay,minSand,maxDepth,maxpH,minpH,maxDryValue,minDryValue,maxDryChroma,minDryChroma,maxMoistValue,minMoistValue,maxMoistChroma,minMoistChroma,CarbonateStage,BioticCrustClass
B1_1,6220,7,85,4,40,188,8.2,7.8,7,5,6,4,4,3,4,4,0,1
B1_10,6191,15,75,4,30,44,8.2,7.8,6,5,6,4,4,3,4,3,0,0
B1_2,6150,5,70,4,60,51,8.4,7.8,6,6,4,4,5,4,4,4,0,1
B1_3,6158,10,80,4,60,200,8.6,7.8,7,6,4,4,5,4,4,4,1,1
B1_4,6187,10,75,4,55,187,7.8,7.6,7,6,6,4,5,4,6,4,0,1
B1_5,6177,5,70,4,55,153,8.5,6.8,7,5,6,4,5,4,6,4,1,0
B1_6,6168,7,75,3,65,59,8.4,7.8,8,6,4,3,7,4,4,4,1,0
B1_7,6206,5,65,2,60,116,8.6,7,8,5,4,2,6,3,4,3,1,1
B1_8,6146,10,80,4,60,200,8.1,7.8,7,6,4,4,6,4,4,3,0,1
B1_9,6208,10,60,4,45,180,8.6,7.6,7,5,6,4,5,4,6,4,0,1
B2_1,6171,5,75,3,55,200,8.4,7.6,7,6,4,3,5,4,4,4,0,0
B2_10,6169,8,75,4,45,200,8.6,6.4,7,4,6,4,5,3,4,4,1,1
B2_2,6173,7,80,1,50,200,8.4,7.8,8,6,8,1,7,5,6,4,0,2
B2_4,6222,7,80,2,50,107,8.6,7.3,8,5,6,2,7,3,4,3,1,1
B2_5,6155,5,70,4,60,185,8.6,7.4,8,6,6,4,6,4,6,4,0,1
B2_6,6158,23,70,4,50,200,8.6,7.2,7,5,6,4,6,4,6,4,1,1
B2_7,6121,7,60,4,60,106,8.3,7.8,7,6,6,4,5,4,6,4,1,1
B2_8,6164,18,75,4,50,156,8.3,8.1,6,5,6,4,4,3,6,3,0,1
B2_9,6215,7,70,4,60,27,7.8,7.5,6,5,6,4,4,4,4,4,1,1
