"id","maxClay","minClay","maxSand","minSand","maxDepth","maxpH","minpH","maxDryValue","minDryValue","maxDryChroma","minDryChroma","maxMoistValue","minMoistValue","maxMoistChroma","minMoistChroma","Surface","Subsurface","Depth50","Depth100","Depth150","Depth200","AWC25","AWC50","AWC100","MaxAWC","TotalAWC","Elevation","Slope","SlopeShape","CarbonateStage","BioticCrustClass"
"CLHS01P",3,2,95,95,30,8.3,8.2,6,6,3,3,5,4,3,3,3,3,0,0,0,0,0.10694363196,0.1043873698,0.1043873698,0.123559336,0.215165395,2003.498047,15,"CL",0,1
"CLHS02P",10,5,85,75,157,8.4,7.6,7,6,4,3,5,3,6,4,4,6,1,1,1,0,5.9398887514,5.6467886902,5.16292638412,8.284689241,16.18113087,1992.443115,7,"LL",1,2
"CLHS03P",10,4,85,80,168,8.3,8.1,7,6,6,6,5,5,6,4,4,6,1,1,1,0,3.80755935312,3.26355600276,2.99776615577,6.523321172,17.004927468,1972.015381,6,"VV",2,3
"CLHS04P",8,6,85,85,48,8.4,8.3,6,6,6,6,4,4,6,6,6,6,0,0,0,0,3.19218407028,3.3287472534375,3.3287472534375,3.477185496,9.783825975,1886.939209,6,"LV",1,3
"CLHS05P",10,8,85,80,91,8.8,8.4,8,8,4,3,5,5,6,6,6,6,1,0,0,0,5.06117604752,4.26918077176,3.91234773542857,6.523321172,13.477692164,1900.397461,4,"VV",1,3
"CLHS06P",21,5,85,50,161,8.2,8,8,6,6,4,5,4,6,3,3,4,1,1,1,0,3.5538657154,4.31153533072,5.67878037346,12.3898659,44.722408573,1956.634277,1,"LL",2,1
"CLHS07P",8,8,85,85,27,8.2,8.2,7,7,4,4,5,4,6,6,6,6,0,0,0,0,3.477185496,3.477185496,3.477185496,3.477185496,6.954370992,1936.446533,5,"LV",0,3
"CLHS08P",7,4,85,80,150,8.6,8.1,7,7,6,4,5,4,6,6,6,6,1,1,0,0,2.829454983,2.53716155055319,2.40457483892783,5.635062899,13.573916195,1948.463135,2,"CL",2,1
"CLHS09P",15,5,85,70,45,8.6,8.1,7,6,6,4,5,4,6,6,6,6,0,0,0,0,6.99111232928,8.25144655288889,8.25144655288889,9.885726076,21.921793528,1944.137207,6,"CL",1,2
"CLHS100P",15,9,76,70,155,8.2,7.8,6,5,6,4,4,3,6,3,3,4,1,1,1,0,9.151730576,9.322522514,9.47992114028,9.643319988,35.921697035,1898,3,"CL",1,1
"CLHS10P",10,4,87,75,53,8.6,8.1,7,5,6,4,5,4,4,4,4,4,1,0,0,0,6.21759219424,4.26573113838,4.10916149677359,8.284689241,12.327109711,1953.990723,5,"VV",1,1
