PedonID,HzNum,Method,Top,Bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,RF_knd,RF_perc,RF_sz,Texture,Psand,SandSize,Pclay,pH,Effer
CLHS01P,1,Soil pit,0,12,A,7.5YR,6,3,7.5YR,5,3,SST,10,GR,S,95,M,3,8.2,SL
CLHS01P,2,Soil pit,12,30,AB,7.5YR,6,3,7.5YR,4,3,SST,5,GR,S,95,F,2,8.3,VE
CLHS01P,3,NA,30,30,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS02P,1,Soil pit,0,5,A,7.5YR,7,4,7.5YR,3,4,CAN,2,GR,SL,75,VF,10,7.6,VS
CLHS02P,2,Soil pit/auger,5,88,Bk1,7.5YR,6,4,7.5YR,4,6,CAN,1,GR,FLS,80,F,6,8.2,VE
CLHS02P,3,auger,88,157,Bk2,7.5YR,7,3,7.5YR,5,6,CAN,2,GR,FLS,85,VF,5,8.4,VE
CLHS03P,1,Soil pit,0,9,A,5YR,6,6,5YR,5,4,NA,0,NA,VFSL,80,VFS,10,8.1,ST
CLHS03P,2,Soil pit,9,30,Bw,5YR,6,6,5YR,5,6,NA,0,NA,FLS,85,F,4,8.3,VE
CLHS03P,3,Soil pit/auger,30,83,Bk1,5YR,6,6,5YR,5,6,NA,0,NA,FLS,85,F,6,8.3,VE
CLHS03P,4,auger,83,110,Bk2,5YR,6,6,5YR,5,6,CAN,1,GR,FLS,85,F,5,8.2,VE
CLHS03P,5,auger,110,168,Bk3,5YR,7,6,5YR,5,6,NA,NA,NA,FLS,85,F,6,8.3,VE
CLHS04P,1,Soil Pit,0,11,A,5YR,6,6,5YR,4,6,CAN,5,GR,LS,85,VF,6,8.3,VE
CLHS04P,2,Soil Pit,11,29,Bk1,5YR,6,6,5YR,4,6,SST,10,GR,LS,85,VF,8,8.4,VE
CLHS04P,3,Soil Pit,29,48,Bk2,5YR,6,6,5YR,4,6,SST,15,GR,LS,85,F,8,8.4,VE
CLHS04P,4,NA,48,48,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS05P,1,Soil Pit,0,10,A,7.5YR,8,4,7.5YR,5,6,CAN,2.5,GR,LS,85,VF,8,8.5,VE
