"id","top","bottom","Horizon","DryRed","DryValue","DryCClass","MoistRed","MoistValue","MoistCClass","Texture","SandPercent","SandSize","ClayPercent","pH","EfferScale","Theta_fc","Theta_pwp","AWHC","HzNum",".id","Depth","DryHue","MoistHue","DryChroma","MoistChroma","Effervescence"
"B1_1",0,5,"A1","2",6,"2","2",4,"2","SiL",40,"VF",5,7.8,"3",0.253328306,0.058631164,19.46971424,NA,1,5,"7.5YR","7.5YR","4",4,"ST"
"B1_1",5,20,"A2","2",6,"2","2",3,"2","SiL",40,"VF",5,8,"4",0.253328306,0.058631164,19.46971424,NA,2,15,"7.5YR","7.5YR","4",4,"VE"
"B1_1",20,25,"BA","3",7,"3","2",4,"2","LS",85,"MIX",5,8,"4",0.070626535,0.045199005,2.542753,NA,3,5,"5YR","7.5YR","6",4,"VE"
"B1_1",25,40,"B","2",5,"2","2",4,"2","LS",85,"MIX",5,8,"4",0.070626535,0.045199005,2.542753,NA,4,15,"7.5YR","7.5YR","4",4,"VE"
"B1_1",40,95,"B2","2",5,"2","2",4,"2","SL",55,"F",7,8,"4",0.194530427,0.066222367,12.83080608,NA,5,55,"7.5YR","7.5YR","4",4,"VE"
"B1_1",95,150,"B3","3",7,"2","2",4,"2","SL",60,"F",7,8,"4",0.181338524,0.065918486,11.54200385,NA,6,55,"5YR","7.5YR","4",4,"VE"
"B1_1",150,188,"Ab","2",6,"2","2",4,"2","LS",85,"MIX",7,8.2,"4",0.081049151,0.049641242,3.140790895,NA,7,38,"7.5YR","7.5YR","4",4,"VE"
"B1_2",0,6,"A","2",6,"2","2",4,"2","SL",60,"F",5,7.8,"0",0.178911483,0.06204064,11.68708431,NA,1,6,"7.5YR","7.5YR","4",4,"NE"
"B1_2",6,15,"B","2",6,"2","2",5,"2","SL",65,"F",5,8.2,"1",0.16366872,0.059024459,10.46442617,NA,2,9,"7.5YR","7.5YR","4",4,"VS"
"B1_2",15,51,"B","2",6,"2","2",4,"2","SL",70,"F",5,8.4,"3",0.144918306,0.053365269,9.155303766,NA,3,36,"7.5YR","7.5YR","4",4,"ST"
"B1_2",51,51,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA
"B1_3",0,7,"A","3",6,"2","3",4,"2","SL",60,"F",5,7.8,"2",0.178911483,0.06204064,11.68708431,NA,1,7,"5YR","5YR","4",4,"SL"
"B1_3",7,65,"B","3",6,"2","3",4,"2","SL",65,"F",5,8,"3",0.16366872,0.059024459,10.46442617,NA,2,58,"5YR","5YR","4",4,"ST"
"B1_3",65,114,"BC","3",7,"2","3",5,"2","SL",75,"F",10,8.6,"3",0.142929541,0.060082649,8.284689241,NA,3,49,"5YR","5YR","4",4,"ST"
"B1_3",114,200,"C","3",7,"2","3",5,"2","LS",80,"MIX",3,8.1,"3",0.083890239,0.038355544,4.553469578,NA,4,86,"5YR","5YR","4",4,"ST"
"B1_4",0,6,"A","2",6,"2","2",4,"2","SL",55,"F",7,7.6,"2",0.194530427,0.066222367,12.83080608,NA,1,6,"7.5YR","7.5YR","4",4,"SL"
